X    Y
0.0000000000e+00   0.0000000000e+00
2.0000000000e-02   -4.9369528351e-03
4.0000000000e-02   -1.4876846261e-02
6.0000000000e-02   -2.3529328524e-02
8.0000000000e-02   -3.1617250225e-02
1.0000000000e-01   -4.0769927681e-02
1.2000000000e-01   -4.9510063601e-02
1.4000000000e-01   -5.7814396734e-02
1.6000000000e-01   -6.6750369840e-02
1.8000000000e-01   -7.5548477824e-02
2.0000000000e-01   -8.3940848036e-02
2.2000000000e-01   -9.2761819819e-02
2.4000000000e-01   -1.0159413015e-01
2.6000000000e-01   -1.1004575904e-01
2.8000000000e-01   -1.1878808659e-01
3.0000000000e-01   -1.2763926907e-01
3.2000000000e-01   -1.3614140168e-01
3.4000000000e-01   -1.4482384829e-01
3.6000000000e-01   -1.5368200103e-01
3.8000000000e-01   -1.6223172272e-01
4.0000000000e-01   -1.7086707423e-01
4.2000000000e-01   -1.7972197332e-01
4.4000000000e-01   -1.8831795198e-01
4.6000000000e-01   -1.9691688513e-01
4.8000000000e-01   -2.0575946730e-01
5.0000000000e-01   -2.1440024096e-01
5.2000000000e-01   -2.2297278855e-01
5.4000000000e-01   -2.3179512250e-01
5.6000000000e-01   -2.4047828931e-01
5.8000000000e-01   -2.4903435344e-01
6.0000000000e-01   -2.5782981447e-01
6.2000000000e-01   -2.6655164313e-01
6.4000000000e-01   -2.7510105619e-01
6.6000000000e-01   -2.8386457337e-01
6.8000000000e-01   -2.9261986568e-01
7.0000000000e-01   -3.0117220831e-01
7.2000000000e-01   -3.0990051119e-01
7.4000000000e-01   -3.1868264827e-01
7.6000000000e-01   -3.2724693131e-01
7.8000000000e-01   -3.3593874879e-01
8.0000000000e-01   -3.4473988634e-01
8.2000000000e-01   -3.5332416402e-01
8.4000000000e-01   -3.6198034143e-01
8.6000000000e-01   -3.7079172929e-01
8.8000000000e-01   -3.7940269472e-01
9.0000000000e-01   -3.8802620542e-01
9.2000000000e-01   -3.9683860714e-01
9.4000000000e-01   -4.0548121291e-01
9.6000000000e-01   -4.1407704920e-01
9.8000000000e-01   -4.2288123448e-01
1.0000000000e+00   -4.3155837619e-01
1.0200000000e+00   -4.4013331370e-01
1.0400000000e+00   -4.4892059194e-01
1.0600000000e+00   -4.5763288722e-01
1.0800000000e+00   -4.6619512609e-01
1.1000000000e+00   -4.7495788612e-01
1.1200000000e+00   -4.8370357558e-01
1.1400000000e+00   -4.9226227124e-01
1.1600000000e+00   -5.0099448969e-01
1.1800000000e+00   -5.0976947852e-01
1.2000000000e+00   -5.1833418409e-01
1.2200000000e+00   -5.2703186473e-01
1.2400000000e+00   -5.3582991466e-01
1.2600000000e+00   -5.4440996528e-01
1.2800000000e+00   -5.5307147349e-01
1.3000000000e+00   -5.6188454467e-01
1.3200000000e+00   -5.7048842060e-01
1.3400000000e+00   -5.7911468221e-01
1.3600000000e+00   -5.8793341325e-01
1.3800000000e+00   -5.9656812384e-01
1.4000000000e+00   -6.0516266400e-01
1.4200000000e+00   -6.1397696809e-01
1.4400000000e+00   -6.2264750012e-01
1.4600000000e+00   -6.3121630787e-01
1.4800000000e+00   -6.4001605230e-01
1.5000000000e+00   -6.4872492590e-01
1.5200000000e+00   -6.5727614071e-01
1.5400000000e+00   -6.6605186869e-01
1.5600000000e+00   -6.7479883958e-01
1.5800000000e+00   -6.8334226905e-01
1.6000000000e+00   -6.9208591629e-01
1.6200000000e+00   -7.0086785584e-01
1.6400000000e+00   -7.0941434608e-01
1.6600000000e+00   -7.1811990127e-01
1.6800000000e+00   -7.2693087574e-01
1.7000000000e+00   -7.3549156868e-01
1.7200000000e+00   -7.4415562671e-01
1.7400000000e+00   -7.5298718414e-01
1.7600000000e+00   -7.6157270693e-01
1.7800000000e+00   -7.7019486758e-01
1.8000000000e+00   -7.7903652644e-01
1.8200000000e+00   -7.8765616661e-01
1.8400000000e+00   -7.9623923869e-01
1.8600000000e+00   -8.0507915721e-01
1.8800000000e+00   -8.1374008300e-01
1.9000000000e+00   -8.2229006480e-01
1.9200000000e+00   -8.3111585497e-01
1.9400000000e+00   -8.3982244145e-01
1.9600000000e+00   -8.4834826257e-01
1.9800000000e+00   -8.5714789918e-01
2.0000000000e+00   -8.6590121814e-01
2.0200000000e+00   -8.7441424394e-01
2.0400000000e+00   -8.8317700830e-01
2.0600000000e+00   -8.9197453221e-01
2.0800000000e+00   -9.0048784991e-01
2.1000000000e+00   -9.0920524024e-01
2.1200000000e+00   -9.1804079862e-01
2.1400000000e+00   -9.2656832207e-01
2.1600000000e+00   -9.3523485978e-01
2.1800000000e+00   -9.4409887058e-01
2.2000000000e+00   -9.5265431708e-01
2.2200000000e+00   -9.6126818030e-01
2.2400000000e+00   -9.7014815951e-01
2.2600000000e+00   -9.7874396673e-01
2.2800000000e+00   -9.8730738957e-01
2.3000000000e+00   -9.9618872186e-01
2.3200000000e+00   -1.0048349827e+00
2.3400000000e+00   -1.0133543716e+00
2.3600000000e+00   -1.0222213031e+00
2.3800000000e+00   -1.0309248018e+00
2.4000000000e+00   -1.0394105380e+00
2.4200000000e+00   -1.0482473321e+00
2.4400000000e+00   -1.0570107646e+00
2.4600000000e+00   -1.0654766813e+00
2.4800000000e+00   -1.0742688623e+00
2.5000000000e+00   -1.0830903155e+00
2.5200000000e+00   -1.0915528657e+00
2.5400000000e+00   -1.1002884593e+00
2.5600000000e+00   -1.1091612114e+00
2.5800000000e+00   -1.1176383639e+00
2.6000000000e+00   -1.1263090403e+00
2.6200000000e+00   -1.1352217236e+00
2.6400000000e+00   -1.1437316507e+00
2.6600000000e+00   -1.1523336717e+00
2.6800000000e+00   -1.1612708158e+00
2.7000000000e+00   -1.1698304591e+00
2.7200000000e+00   -1.1783653396e+00
2.7400000000e+00   -1.1873082825e+00
2.7600000000e+00   -1.1959318978e+00
2.7800000000e+00   -1.2044067069e+00
2.8000000000e+00   -1.2133348340e+00
2.8200000000e+00   -1.2220326297e+00
2.8400000000e+00   -1.2304598753e+00
2.8600000000e+00   -1.2393521155e+00
2.8800000000e+00   -1.2481290993e+00
2.9000000000e+00   -1.2565261716e+00
2.9200000000e+00   -1.2653626540e+00
2.9400000000e+00   -1.2742177991e+00
2.9600000000e+00   -1.2826059765e+00
2.9800000000e+00   -1.2913697304e+00
3.0000000000e+00   -1.3002955538e+00
3.0200000000e+00   -1.3086986131e+00
3.0400000000e+00   -1.3173771807e+00
3.0600000000e+00   -1.3263598048e+00
3.0800000000e+00   -1.3348023103e+00
3.1000000000e+00   -1.3433891363e+00
3.1200000000e+00   -1.3524088694e+00
3.1400000000e+00   -1.3609142488e+00
3.1600000000e+00   -1.3694097170e+00
3.1800000000e+00   -1.3784421533e+00
3.2000000000e+00   -1.3870306960e+00
3.2200000000e+00   -1.3954426990e+00
3.2400000000e+00   -1.4044602940e+00
3.2600000000e+00   -1.4131472258e+00
3.2800000000e+00   -1.4214911807e+00
3.3000000000e+00   -1.4304652184e+00
3.3200000000e+00   -1.4392590144e+00
3.3400000000e+00   -1.4475572726e+00
3.3600000000e+00   -1.4564601006e+00
3.3800000000e+00   -1.4653611951e+00
3.4000000000e+00   -1.4736418386e+00
3.4200000000e+00   -1.4824492159e+00
3.4400000000e+00   -1.4914492507e+00
3.4600000000e+00   -1.4997443130e+00
3.4800000000e+00   -1.5084376923e+00
3.5000000000e+00   -1.5175194128e+00
3.5200000000e+00   -1.5258626162e+00
3.5400000000e+00   -1.5344311706e+00
3.5600000000e+00   -1.5435690383e+00
3.5800000000e+00   -1.5519931841e+00
3.6000000000e+00   -1.5604353928e+00
3.6200000000e+00   -1.5695969291e+00
3.6400000000e+00   -1.5781311200e+00
3.6600000000e+00   -1.5864557440e+00
3.6800000000e+00   -1.5956035639e+00
3.7000000000e+00   -1.6042704695e+00
3.7200000000e+00   -1.6124967817e+00
3.7400000000e+00   -1.6215912136e+00
3.7600000000e+00   -1.6304046076e+00
3.7800000000e+00   -1.6385617878e+00
3.8000000000e+00   -1.6475639220e+00
3.8200000000e+00   -1.6565267181e+00
3.8400000000e+00   -1.6646523817e+00
3.8600000000e+00   -1.6735273390e+00
3.8800000000e+00   -1.6826303354e+00
3.9000000000e+00   -1.6907682315e+00
3.9200000000e+00   -1.6994884072e+00
3.9400000000e+00   -1.7087099102e+00
3.9600000000e+00   -1.7169068948e+00
3.9800000000e+00   -1.7254549133e+00
4.0000000000e+00   -1.7347613551e+00
4.0200000000e+00   -1.7430638162e+00
4.0400000000e+00   -1.7514349296e+00
4.0600000000e+00   -1.7607825226e+00
4.0800000000e+00   -1.7692324962e+00
4.1000000000e+00   -1.7774361795e+00
4.1200000000e+00   -1.7867735685e+00
4.1400000000e+00   -1.7954048359e+00
4.1600000000e+00   -1.8034653710e+00
4.1800000000e+00   -1.8127371606e+00
4.2000000000e+00   -1.8215716477e+00
4.2200000000e+00   -1.8295275496e+00
4.2400000000e+00   -1.8386784991e+00
4.2600000000e+00   -1.8477233072e+00
4.2800000000e+00   -1.8556255240e+00
4.3000000000e+00   -1.8646051300e+00
4.3200000000e+00   -1.8738505069e+00
4.3400000000e+00   -1.8817594170e+00
4.3600000000e+00   -1.8905265464e+00
4.3800000000e+00   -1.8999450613e+00
4.4000000000e+00   -1.9079263906e+00
4.4200000000e+00   -1.9164535926e+00
4.4400000000e+00   -1.9260006986e+00
