X    Y
1.0000000000e+00   -1.2203927124e+01
2.0000000000e+00   -1.2263375622e+01
3.0000000000e+00   -1.2331702543e+01
4.0000000000e+00   -1.2412262387e+01
5.0000000000e+00   -1.2509842548e+01
6.0000000000e+00   -1.2634028090e+01
7.0000000000e+00   -1.2805832919e+01
8.0000000000e+00   -1.3087122282e+01
9.0000000000e+00   -1.4059720113e+01
1.0000000000e+01   -1.3201965208e+01
1.1000000000e+01   -1.2877403616e+01
1.2000000000e+01   -1.2697571537e+01
1.3000000000e+01   -1.2573881184e+01
1.4000000000e+01   -1.2480446380e+01
1.5000000000e+01   -1.2406046810e+01
1.6000000000e+01   -1.2344861999e+01
1.7000000000e+01   -1.2293226751e+01
1.8000000000e+01   -1.2248929147e+01
1.9000000000e+01   -1.2210688220e+01
2.0000000000e+01   -1.2177271716e+01
2.1000000000e+01   -1.2147951993e+01
2.2000000000e+01   -1.2122136745e+01
2.3000000000e+01   -1.2099358422e+01
2.4000000000e+01   -1.2079296945e+01
2.5000000000e+01   -1.2061643422e+01
2.6000000000e+01   -1.2046185184e+01
2.7000000000e+01   -1.2032729417e+01
2.8000000000e+01   -1.2021121464e+01
2.9000000000e+01   -1.2011252950e+01
3.0000000000e+01   -1.2003053048e+01
3.1000000000e+01   -1.6000000000e+01
3.2000000000e+01   -1.1991191197e+01
3.3000000000e+01   -1.1987447819e+01
3.4000000000e+01   -1.1985118526e+01
3.5000000000e+01   -1.1984131022e+01
3.6000000000e+01   -1.1984487079e+01
3.7000000000e+01   -1.1986185632e+01
3.8000000000e+01   -1.1989235175e+01
3.9000000000e+01   -1.1993634665e+01
4.0000000000e+01   -1.1999392260e+01
4.1000000000e+01   -1.2006540703e+01
4.2000000000e+01   -1.2015120439e+01
4.3000000000e+01   -1.2025190005e+01
4.4000000000e+01   -1.2036811927e+01
4.5000000000e+01   -1.2050063560e+01
4.6000000000e+01   -1.2065049971e+01
4.7000000000e+01   -1.2081880052e+01
4.8000000000e+01   -1.2100682521e+01
4.9000000000e+01   -1.2121630032e+01
5.0000000000e+01   -1.2144992183e+01
5.1000000000e+01   -1.2171007745e+01
5.2000000000e+01   -1.2199983458e+01
5.3000000000e+01   -1.2232382744e+01
5.4000000000e+01   -1.2268758496e+01
5.5000000000e+01   -1.2309800489e+01
5.6000000000e+01   -1.2356497211e+01
5.7000000000e+01   -1.2410234876e+01
5.8000000000e+01   -1.2473030700e+01
5.9000000000e+01   -1.2547948479e+01
6.0000000000e+01   -1.2640106989e+01
6.1000000000e+01   -1.2758897633e+01
6.2000000000e+01   -1.2924600761e+01
6.3000000000e+01   -1.3198307359e+01
6.4000000000e+01   -1.6000000000e+01
6.5000000000e+01   -1.3314609409e+01
6.6000000000e+01   -1.2981942245e+01
6.7000000000e+01   -1.2796514829e+01
6.8000000000e+01   -1.2667803607e+01
6.9000000000e+01   -1.2569603881e+01
7.0000000000e+01   -1.2490552227e+01
7.1000000000e+01   -1.2424666398e+01
7.2000000000e+01   -1.2368466824e+01
7.3000000000e+01   -1.2319841780e+01
7.4000000000e+01   -1.2277210973e+01
7.5000000000e+01   -1.2239448563e+01
7.6000000000e+01   -1.2205854373e+01
7.7000000000e+01   -1.2175769498e+01
7.8000000000e+01   -1.2148783178e+01
7.9000000000e+01   -1.2124514604e+01
8.0000000000e+01   -1.2102685812e+01
8.1000000000e+01   -1.2083086158e+01
8.2000000000e+01   -1.2065519286e+01
8.3000000000e+01   -1.2049782968e+01
8.4000000000e+01   -1.2035796286e+01
8.5000000000e+01   -1.2023481663e+01
8.6000000000e+01   -1.2012715128e+01
8.7000000000e+01   -1.2003428385e+01
8.8000000000e+01   -1.1995572241e+01
8.9000000000e+01   -1.1989120541e+01
9.0000000000e+01   -1.1984024988e+01
9.1000000000e+01   -1.1980265214e+01
9.2000000000e+01   -1.1977807203e+01
9.3000000000e+01   -1.1976664779e+01
9.4000000000e+01   -1.1976840451e+01
9.5000000000e+01   -1.1978368792e+01
9.6000000000e+01   -1.1981271016e+01
9.7000000000e+01   -1.6000000000e+01
9.8000000000e+01   -1.1991259122e+01
9.9000000000e+01   -1.1998475390e+01
1.0000000000e+02   -1.2007224985e+01
1.0100000000e+02   -1.2017578370e+01
1.0200000000e+02   -1.2029709867e+01
1.0300000000e+02   -1.2043742007e+01
1.0400000000e+02   -1.2059810024e+01
1.0500000000e+02   -1.2078119338e+01
1.0600000000e+02   -1.2098873803e+01
1.0700000000e+02   -1.2122360365e+01
1.0800000000e+02   -1.2148902049e+01
1.0900000000e+02   -1.2179097650e+01
1.1000000000e+02   -1.2213556416e+01
1.1100000000e+02   -1.2253129725e+01
1.1200000000e+02   -1.2298875221e+01
1.1300000000e+02   -1.2352339817e+01
1.1400000000e+02   -1.2415984622e+01
1.1500000000e+02   -1.2493729498e+01
1.1600000000e+02   -1.2592295832e+01
1.1700000000e+02   -1.2724013134e+01
1.1800000000e+02   -1.2921367124e+01
1.1900000000e+02   -1.3309659062e+01
1.2000000000e+02   -1.3629279398e+01
1.2100000000e+02   -1.3011095254e+01
1.2200000000e+02   -1.2762022317e+01
1.2300000000e+02   -1.2603083347e+01
1.2400000000e+02   -1.2485578212e+01
1.2500000000e+02   -1.2391999546e+01
1.2600000000e+02   -1.2314456306e+01
1.2700000000e+02   -1.1844673907e+01
