X    Y
1.0000000000e+00   -1.4976866165e+01
2.0000000000e+00   -1.4849079585e+01
3.0000000000e+00   -1.4778498511e+01
4.0000000000e+00   -1.4717800671e+01
5.0000000000e+00   -1.4648164743e+01
6.0000000000e+00   -1.4607259755e+01
7.0000000000e+00   -1.4558826681e+01
8.0000000000e+00   -1.4513287483e+01
9.0000000000e+00   -1.4477468515e+01
1.0000000000e+01   -1.4446060051e+01
1.1000000000e+01   -1.4419929194e+01
1.2000000000e+01   -1.4393786768e+01
1.3000000000e+01   -1.4370541382e+01
1.4000000000e+01   -1.4351174725e+01
1.5000000000e+01   -1.4334583919e+01
1.6000000000e+01   -1.4318603658e+01
1.7000000000e+01   -1.4300172555e+01
1.8000000000e+01   -1.4288891545e+01
1.9000000000e+01   -1.4279613873e+01
2.0000000000e+01   -1.4272219028e+01
2.1000000000e+01   -1.4263840096e+01
2.2000000000e+01   -1.4257796685e+01
2.3000000000e+01   -1.4254264712e+01
2.4000000000e+01   -1.4252374711e+01
2.5000000000e+01   -1.4249153724e+01
2.6000000000e+01   -1.4250761231e+01
2.7000000000e+01   -1.4254941710e+01
2.8000000000e+01   -1.4257728491e+01
2.9000000000e+01   -1.4262252433e+01
3.0000000000e+01   -1.4269408050e+01
3.1000000000e+01   -1.6000000000e+01
3.2000000000e+01   -1.4286881511e+01
3.3000000000e+01   -1.4300623927e+01
3.4000000000e+01   -1.4313379117e+01
3.5000000000e+01   -1.4327159901e+01
3.6000000000e+01   -1.4345295576e+01
3.7000000000e+01   -1.4365268620e+01
3.8000000000e+01   -1.4383463493e+01
3.9000000000e+01   -1.4407623198e+01
4.0000000000e+01   -1.4439171314e+01
4.1000000000e+01   -1.4470289931e+01
4.2000000000e+01   -1.4504051998e+01
4.3000000000e+01   -1.4542234239e+01
4.4000000000e+01   -1.4587583476e+01
4.5000000000e+01   -1.4637571669e+01
4.6000000000e+01   -1.4694816764e+01
4.7000000000e+01   -1.4764258072e+01
4.8000000000e+01   -1.4848016441e+01
4.9000000000e+01   -1.4953234716e+01
5.0000000000e+01   -1.5101804902e+01
5.1000000000e+01   -1.5313611713e+01
5.2000000000e+01   -1.5719377059e+01
5.3000000000e+01   -1.5989917733e+01
5.4000000000e+01   -1.5384192787e+01
5.5000000000e+01   -1.5152243711e+01
5.6000000000e+01   -1.5006421408e+01
5.7000000000e+01   -1.4899235333e+01
5.8000000000e+01   -1.4818265638e+01
5.9000000000e+01   -1.4749410790e+01
6.0000000000e+01   -1.4689255939e+01
6.1000000000e+01   -1.4641678892e+01
6.2000000000e+01   -1.4605813501e+01
6.3000000000e+01   -1.4570262963e+01
6.4000000000e+01   -1.6000000000e+01
6.5000000000e+01   -1.4516616372e+01
6.6000000000e+01   -1.4496128979e+01
6.7000000000e+01   -1.4479850081e+01
6.8000000000e+01   -1.4465202644e+01
6.9000000000e+01   -1.4452525567e+01
7.0000000000e+01   -1.4445009254e+01
7.1000000000e+01   -1.4440831304e+01
7.2000000000e+01   -1.4437930471e+01
7.3000000000e+01   -1.4439171314e+01
7.4000000000e+01   -1.4442706409e+01
7.5000000000e+01   -1.4452632366e+01
7.6000000000e+01   -1.4464104554e+01
7.7000000000e+01   -1.4477694769e+01
7.8000000000e+01   -1.4496424237e+01
7.9000000000e+01   -1.4517235642e+01
8.0000000000e+01   -1.4549649203e+01
8.1000000000e+01   -1.4584099812e+01
8.2000000000e+01   -1.4629793053e+01
8.3000000000e+01   -1.4686685055e+01
8.4000000000e+01   -1.4753876036e+01
8.5000000000e+01   -1.4850145339e+01
8.6000000000e+01   -1.4981173253e+01
8.7000000000e+01   -1.5178706381e+01
8.8000000000e+01   -1.5590508029e+01
8.9000000000e+01   -1.5700071904e+01
9.0000000000e+01   -1.5180986148e+01
9.1000000000e+01   -1.4947856388e+01
9.2000000000e+01   -1.4780766373e+01
9.3000000000e+01   -1.4656966023e+01
9.4000000000e+01   -1.4559919246e+01
9.5000000000e+01   -1.4479622702e+01
9.6000000000e+01   -1.4407671349e+01
9.7000000000e+01   -1.6000000000e+01
9.8000000000e+01   -1.4291205437e+01
9.9000000000e+01   -1.4240089743e+01
1.0000000000e+02   -1.4195039956e+01
1.0100000000e+02   -1.4150322523e+01
1.0200000000e+02   -1.4110267949e+01
1.0300000000e+02   -1.4074133475e+01
1.0400000000e+02   -1.4040775918e+01
1.0500000000e+02   -1.4011033429e+01
1.0600000000e+02   -1.3980020513e+01
1.0700000000e+02   -1.3952153709e+01
1.0800000000e+02   -1.3924698935e+01
1.0900000000e+02   -1.3901271186e+01
1.1000000000e+02   -1.3877221865e+01
1.1100000000e+02   -1.3853573434e+01
1.1200000000e+02   -1.3835664017e+01
1.1300000000e+02   -1.3816484523e+01
1.1400000000e+02   -1.3797737869e+01
1.1500000000e+02   -1.3780675430e+01
1.1600000000e+02   -1.3766364597e+01
1.1700000000e+02   -1.3751148903e+01
1.1800000000e+02   -1.3734481682e+01
1.1900000000e+02   -1.3721911243e+01
1.2000000000e+02   -1.3709385660e+01
1.2100000000e+02   -1.3699317265e+01
1.2200000000e+02   -1.3689477010e+01
1.2300000000e+02   -1.3681299065e+01
1.2400000000e+02   -1.3673272272e+01
1.2500000000e+02   -1.3665112304e+01
1.2600000000e+02   -1.3661227215e+01
1.2700000000e+02   -1.4120487114e+01
