X    Y
1.0000000000e+00   -1.3901002754e-01
2.0000000000e+00   -1.3313453715e-01
3.0000000000e+00   -1.2726452719e-01
4.0000000000e+00   -1.2140983866e-01
5.0000000000e+00   -1.1558020415e-01
6.0000000000e+00   -1.0978522690e-01
7.0000000000e+00   -1.0403436030e-01
8.0000000000e+00   -9.8336887570e-02
9.0000000000e+00   -9.2701901970e-02
1.0000000000e+01   -8.7138287400e-02
1.1000000000e+01   -8.1654699481e-02
1.2000000000e+01   -7.6259547180e-02
1.3000000000e+01   -7.0960974989e-02
1.4000000000e+01   -6.5766845717e-02
1.5000000000e+01   -6.0684723929e-02
1.6000000000e+01   -5.5721860058e-02
1.7000000000e+01   -5.0885175244e-02
1.8000000000e+01   -4.6181246919e-02
1.9000000000e+01   -4.1616295170e-02
2.0000000000e+01   -3.7196169925e-02
2.1000000000e+01   -3.2926338967e-02
2.2000000000e+01   -2.8811876831e-02
2.3000000000e+01   -2.4857454576e-02
2.4000000000e+01   -2.1067330486e-02
2.5000000000e+01   -1.7445341695e-02
2.6000000000e+01   -1.3994896772e-02
2.7000000000e+01   -1.0718969277e-02
2.8000000000e+01   -7.6200922907e-03
2.9000000000e+01   -4.7003539509e-03
3.0000000000e+01   -1.9613939894e-03
3.1000000000e+01   0.0000000000e+00
3.2000000000e+01   -2.9698875886e-03
3.3000000000e+01   -5.1611887327e-03
3.4000000000e+01   -7.1696703554e-03
3.5000000000e+01   -8.9959511207e-03
3.6000000000e+01   -1.0641097507e-02
3.7000000000e+01   -1.2106620153e-02
3.8000000000e+01   -1.3394469199e-02
3.9000000000e+01   -1.4507028644e-02
4.0000000000e+01   -1.5447109718e-02
4.1000000000e+01   -1.6217943298e-02
4.2000000000e+01   -1.6823171376e-02
4.3000000000e+01   -1.7266837599e-02
4.4000000000e+01   -1.7553376914e-02
4.5000000000e+01   -1.7687604318e-02
4.6000000000e+01   -1.7674702767e-02
4.7000000000e+01   -1.7520210244e-02
4.8000000000e+01   -1.7230006038e-02
4.9000000000e+01   -1.6810296253e-02
5.0000000000e+01   -1.6267598573e-02
5.1000000000e+01   -1.5608726343e-02
5.2000000000e+01   -1.4840771965e-02
5.3000000000e+01   -1.3971089684e-02
5.4000000000e+01   -1.3007277773e-02
5.5000000000e+01   -1.1957160178e-02
5.6000000000e+01   -1.0828767646e-02
5.7000000000e+01   -9.6303183977e-03
5.8000000000e+01   -8.3701983711e-03
5.9000000000e+01   -7.0569410935e-03
6.0000000000e+01   -5.6992072179e-03
6.1000000000e+01   -4.3057637754e-03
6.2000000000e+01   -2.8854631879e-03
6.3000000000e+01   -1.4472220889e-03
6.4000000000e+01   0.0000000000e+00
6.5000000000e+01   -1.4472220889e-03
6.6000000000e+01   -2.8854631879e-03
6.7000000000e+01   -4.3057637754e-03
6.8000000000e+01   -5.6992072179e-03
6.9000000000e+01   -7.0569410935e-03
7.0000000000e+01   -8.3701983711e-03
7.1000000000e+01   -9.6303183977e-03
7.2000000000e+01   -1.0828767646e-02
7.3000000000e+01   -1.1957160178e-02
7.4000000000e+01   -1.3007277773e-02
7.5000000000e+01   -1.3971089684e-02
7.6000000000e+01   -1.4840771965e-02
7.7000000000e+01   -1.5608726343e-02
7.8000000000e+01   -1.6267598573e-02
7.9000000000e+01   -1.6810296253e-02
8.0000000000e+01   -1.7230006038e-02
8.1000000000e+01   -1.7520210244e-02
8.2000000000e+01   -1.7674702767e-02
8.3000000000e+01   -1.7687604318e-02
8.4000000000e+01   -1.7553376914e-02
8.5000000000e+01   -1.7266837599e-02
8.6000000000e+01   -1.6823171376e-02
8.7000000000e+01   -1.6217943298e-02
8.8000000000e+01   -1.5447109718e-02
8.9000000000e+01   -1.4507028644e-02
9.0000000000e+01   -1.3394469199e-02
9.1000000000e+01   -1.2106620153e-02
9.2000000000e+01   -1.0641097507e-02
9.3000000000e+01   -8.9959511207e-03
9.4000000000e+01   -7.1696703554e-03
9.5000000000e+01   -5.1611887327e-03
9.6000000000e+01   -2.9698875886e-03
9.7000000000e+01   0.0000000000e+00
9.8000000000e+01   -1.9613939894e-03
9.9000000000e+01   -4.7003539509e-03
1.0000000000e+02   -7.6200922907e-03
1.0100000000e+02   -1.0718969277e-02
1.0200000000e+02   -1.3994896772e-02
1.0300000000e+02   -1.7445341695e-02
1.0400000000e+02   -2.1067330486e-02
1.0500000000e+02   -2.4857454576e-02
1.0600000000e+02   -2.8811876831e-02
1.0700000000e+02   -3.2926338967e-02
1.0800000000e+02   -3.7196169925e-02
1.0900000000e+02   -4.1616295170e-02
1.1000000000e+02   -4.6181246919e-02
1.1100000000e+02   -5.0885175244e-02
1.1200000000e+02   -5.5721860058e-02
1.1300000000e+02   -6.0684723929e-02
1.1400000000e+02   -6.5766845717e-02
1.1500000000e+02   -7.0960974989e-02
1.1600000000e+02   -7.6259547180e-02
1.1700000000e+02   -8.1654699481e-02
1.1800000000e+02   -8.7138287400e-02
1.1900000000e+02   -9.2701901970e-02
1.2000000000e+02   -9.8336887570e-02
1.2100000000e+02   -1.0403436030e-01
1.2200000000e+02   -1.0978522690e-01
1.2300000000e+02   -1.1558020415e-01
1.2400000000e+02   -1.2140983866e-01
1.2500000000e+02   -1.2726452719e-01
1.2600000000e+02   -1.3313453715e-01
1.2700000000e+02   -1.9658986625e-01
