X    Y
0.0000000000e+00   -3.6110231741e-01
1.0000000000e+00   -3.4583972641e-01
2.0000000000e+00   -3.3059137176e-01
3.0000000000e+00   -3.1538281715e-01
4.0000000000e+00   -3.0023934461e-01
5.0000000000e+00   -2.8518590028e-01
6.0000000000e+00   -2.7024704087e-01
7.0000000000e+00   -2.5544688118e-01
8.0000000000e+00   -2.4080904250e-01
9.0000000000e+00   -2.2635660227e-01
1.0000000000e+01   -2.1211204495e-01
1.1000000000e+01   -1.9809721427e-01
1.2000000000e+01   -1.8433326694e-01
1.3000000000e+01   -1.7084062795e-01
1.4000000000e+01   -1.5763894756e-01
1.5000000000e+01   -1.4474706000e-01
1.6000000000e+01   -1.3218294412e-01
1.7000000000e+01   -1.1996368592e-01
1.8000000000e+01   -1.0810544314e-01
1.9000000000e+01   -9.6623411965e-02
2.0000000000e+01   -8.5531795908e-02
2.1000000000e+01   -7.4843776931e-02
2.2000000000e+01   -6.4571488914e-02
2.3000000000e+01   -5.4725993473e-02
2.4000000000e+01   -4.5317258224e-02
2.5000000000e+01   -3.6354137509e-02
2.6000000000e+01   -2.7844355652e-02
2.7000000000e+01   -1.9794492769e-02
2.8000000000e+01   -1.2209973152e-02
2.9000000000e+01   -5.0950562870e-03
3.0000000000e+01   0.0000000000e+00
3.1000000000e+01   7.7147908664e-03
3.2000000000e+01   1.3407070303e-02
3.3000000000e+01   1.8624444771e-02
3.4000000000e+01   2.3368521355e-02
3.5000000000e+01   2.7642070416e-02
3.6000000000e+01   3.1449016094e-02
3.7000000000e+01   3.4794424216e-02
3.8000000000e+01   3.7684487623e-02
3.9000000000e+01   4.0126508968e-02
4.0000000000e+01   4.2128881005e-02
4.1000000000e+01   4.3701064430e-02
4.2000000000e+01   4.4853563314e-02
4.3000000000e+01   4.5597898182e-02
4.4000000000e+01   4.5946576818e-02
4.5000000000e+01   4.5913062832e-02
4.6000000000e+01   4.5511742085e-02
4.7000000000e+01   4.4757887036e-02
4.8000000000e+01   4.3667619097e-02
4.9000000000e+01   4.2257869073e-02
5.0000000000e+01   4.0546335786e-02
5.1000000000e+01   3.8551442968e-02
5.2000000000e+01   3.6292294526e-02
5.3000000000e+01   3.3788628276e-02
5.4000000000e+01   3.1060768251e-02
5.5000000000e+01   2.8129575693e-02
5.6000000000e+01   2.5016398834e-02
5.7000000000e+01   2.1743021583e-02
5.8000000000e+01   1.8331611235e-02
5.9000000000e+01   1.4804665320e-02
6.0000000000e+01   1.1184957697e-02
6.1000000000e+01   7.4954840482e-03
6.2000000000e+01   3.7594068525e-03
6.3000000000e+01   0.0000000000e+00
6.4000000000e+01   -3.7594068525e-03
6.5000000000e+01   -7.4954840482e-03
6.6000000000e+01   -1.1184957697e-02
6.7000000000e+01   -1.4804665320e-02
6.8000000000e+01   -1.8331611235e-02
6.9000000000e+01   -2.1743021583e-02
7.0000000000e+01   -2.5016398834e-02
7.1000000000e+01   -2.8129575693e-02
7.2000000000e+01   -3.1060768251e-02
7.3000000000e+01   -3.3788628276e-02
7.4000000000e+01   -3.6292294526e-02
7.5000000000e+01   -3.8551442968e-02
7.6000000000e+01   -4.0546335786e-02
7.7000000000e+01   -4.2257869073e-02
7.8000000000e+01   -4.3667619097e-02
7.9000000000e+01   -4.4757887036e-02
8.0000000000e+01   -4.5511742085e-02
8.1000000000e+01   -4.5913062832e-02
8.2000000000e+01   -4.5946576818e-02
8.3000000000e+01   -4.5597898182e-02
8.4000000000e+01   -4.4853563314e-02
8.5000000000e+01   -4.3701064430e-02
8.6000000000e+01   -4.2128881005e-02
8.7000000000e+01   -4.0126508968e-02
8.8000000000e+01   -3.7684487623e-02
8.9000000000e+01   -3.4794424216e-02
9.0000000000e+01   -3.1449016094e-02
9.1000000000e+01   -2.7642070416e-02
9.2000000000e+01   -2.3368521355e-02
9.3000000000e+01   -1.8624444771e-02
9.4000000000e+01   -1.3407070303e-02
9.5000000000e+01   -7.7147908665e-03
9.6000000000e+01   0.0000000000e+00
9.7000000000e+01   5.0950562870e-03
9.8000000000e+01   1.2209973152e-02
9.9000000000e+01   1.9794492768e-02
1.0000000000e+02   2.7844355652e-02
1.0100000000e+02   3.6354137509e-02
1.0200000000e+02   4.5317258224e-02
1.0300000000e+02   5.4725993473e-02
1.0400000000e+02   6.4571488914e-02
1.0500000000e+02   7.4843776931e-02
1.0600000000e+02   8.5531795908e-02
1.0700000000e+02   9.6623411965e-02
1.0800000000e+02   1.0810544314e-01
1.0900000000e+02   1.1996368592e-01
1.1000000000e+02   1.3218294412e-01
1.1100000000e+02   1.4474706000e-01
1.1200000000e+02   1.5763894756e-01
1.1300000000e+02   1.7084062795e-01
1.1400000000e+02   1.8433326694e-01
1.1500000000e+02   1.9809721427e-01
1.1600000000e+02   2.1211204495e-01
1.1700000000e+02   2.2635660227e-01
1.1800000000e+02   2.4080904250e-01
1.1900000000e+02   2.5544688118e-01
1.2000000000e+02   2.7024704087e-01
1.2100000000e+02   2.8518590028e-01
1.2200000000e+02   3.0023934461e-01
1.2300000000e+02   3.1538281715e-01
1.2400000000e+02   3.3059137176e-01
1.2500000000e+02   3.4583972641e-01
1.2600000000e+02   3.6110231741e-01
