X    Y
0.0000000000e+00   -0.0000000000e+00
1.0000000000e+00   -1.2303149606e+02
2.0000000000e+00   -1.1912598425e+02
3.0000000000e+00   -1.1528346457e+02
4.0000000000e+00   -1.1150393701e+02
5.0000000000e+00   -1.0778740157e+02
6.0000000000e+00   -1.0413385827e+02
7.0000000000e+00   -1.0054330709e+02
8.0000000000e+00   -9.7015748031e+01
9.0000000000e+00   -9.3551181102e+01
1.0000000000e+01   -9.0149606299e+01
1.1000000000e+01   -8.6811023622e+01
1.2000000000e+01   -8.3535433071e+01
1.3000000000e+01   -8.0322834646e+01
1.4000000000e+01   -7.7173228346e+01
1.5000000000e+01   -7.4086614173e+01
1.6000000000e+01   -7.1062992126e+01
1.7000000000e+01   -6.8102362205e+01
1.8000000000e+01   -6.5204724409e+01
1.9000000000e+01   -6.2370078740e+01
2.0000000000e+01   -5.9598425197e+01
2.1000000000e+01   -5.6889763780e+01
2.2000000000e+01   -5.4244094488e+01
2.3000000000e+01   -5.1661417323e+01
2.4000000000e+01   -4.9141732283e+01
2.5000000000e+01   -4.6685039370e+01
2.6000000000e+01   -4.4291338583e+01
2.7000000000e+01   -4.1960629921e+01
2.8000000000e+01   -3.9692913386e+01
2.9000000000e+01   -3.7488188976e+01
3.0000000000e+01   -3.5346456693e+01
3.1000000000e+01   -3.3267716535e+01
3.2000000000e+01   -3.1251968504e+01
3.3000000000e+01   -2.9299212598e+01
3.4000000000e+01   -2.7409448819e+01
3.5000000000e+01   -2.5582677165e+01
3.6000000000e+01   -2.3818897638e+01
3.7000000000e+01   -2.2118110236e+01
3.8000000000e+01   -2.0480314961e+01
3.9000000000e+01   -1.8905511811e+01
4.0000000000e+01   -1.7393700787e+01
4.1000000000e+01   -1.5944881890e+01
4.2000000000e+01   -1.4559055118e+01
4.3000000000e+01   -1.3236220472e+01
4.4000000000e+01   -1.1976377953e+01
4.5000000000e+01   -1.0779527559e+01
4.6000000000e+01   -9.6456692913e+00
4.7000000000e+01   -8.5748031496e+00
4.8000000000e+01   -7.5669291339e+00
4.9000000000e+01   -6.6220472441e+00
5.0000000000e+01   -5.7401574803e+00
5.1000000000e+01   -4.9212598425e+00
5.2000000000e+01   -4.1653543307e+00
5.3000000000e+01   -3.4724409449e+00
5.4000000000e+01   -2.8425196850e+00
5.5000000000e+01   -2.2755905512e+00
5.6000000000e+01   -1.7716535433e+00
5.7000000000e+01   -1.3307086614e+00
5.8000000000e+01   -9.5275590551e-01
5.9000000000e+01   -6.3779527559e-01
6.0000000000e+01   -3.8582677165e-01
6.1000000000e+01   -1.9685039370e-01
6.2000000000e+01   -7.0866141732e-02
6.3000000000e+01   -7.8740157480e-03
6.4000000000e+01   -7.8740157480e-03
6.5000000000e+01   -7.0866141732e-02
6.6000000000e+01   -1.9685039370e-01
6.7000000000e+01   -3.8582677165e-01
6.8000000000e+01   -6.3779527559e-01
6.9000000000e+01   -9.5275590551e-01
7.0000000000e+01   -1.3307086614e+00
7.1000000000e+01   -1.7716535433e+00
7.2000000000e+01   -2.2755905512e+00
7.3000000000e+01   -2.8425196850e+00
7.4000000000e+01   -3.4724409449e+00
7.5000000000e+01   -4.1653543307e+00
7.6000000000e+01   -4.9212598425e+00
7.7000000000e+01   -5.7401574803e+00
7.8000000000e+01   -6.6220472441e+00
7.9000000000e+01   -7.5669291339e+00
8.0000000000e+01   -8.5748031496e+00
8.1000000000e+01   -9.6456692913e+00
8.2000000000e+01   -1.0779527559e+01
8.3000000000e+01   -1.1976377953e+01
8.4000000000e+01   -1.3236220472e+01
8.5000000000e+01   -1.4559055118e+01
8.6000000000e+01   -1.5944881890e+01
8.7000000000e+01   -1.7393700787e+01
8.8000000000e+01   -1.8905511811e+01
8.9000000000e+01   -2.0480314961e+01
9.0000000000e+01   -2.2118110236e+01
9.1000000000e+01   -2.3818897638e+01
9.2000000000e+01   -2.5582677165e+01
9.3000000000e+01   -2.7409448819e+01
9.4000000000e+01   -2.9299212598e+01
9.5000000000e+01   -3.1251968504e+01
9.6000000000e+01   -3.3267716535e+01
9.7000000000e+01   -3.5346456693e+01
9.8000000000e+01   -3.7488188976e+01
9.9000000000e+01   -3.9692913386e+01
1.0000000000e+02   -4.1960629921e+01
1.0100000000e+02   -4.4291338583e+01
1.0200000000e+02   -4.6685039370e+01
1.0300000000e+02   -4.9141732283e+01
1.0400000000e+02   -5.1661417323e+01
1.0500000000e+02   -5.4244094488e+01
1.0600000000e+02   -5.6889763780e+01
1.0700000000e+02   -5.9598425197e+01
1.0800000000e+02   -6.2370078740e+01
1.0900000000e+02   -6.5204724409e+01
1.1000000000e+02   -6.8102362205e+01
1.1100000000e+02   -7.1062992126e+01
1.1200000000e+02   -7.4086614173e+01
1.1300000000e+02   -7.7173228346e+01
1.1400000000e+02   -8.0322834646e+01
1.1500000000e+02   -8.3535433071e+01
1.1600000000e+02   -8.6811023622e+01
1.1700000000e+02   -9.0149606299e+01
1.1800000000e+02   -9.3551181102e+01
1.1900000000e+02   -9.7015748031e+01
1.2000000000e+02   -1.0054330709e+02
1.2100000000e+02   -1.0413385827e+02
1.2200000000e+02   -1.0778740157e+02
1.2300000000e+02   -1.1150393701e+02
1.2400000000e+02   -1.1528346457e+02
1.2500000000e+02   -1.1912598425e+02
1.2600000000e+02   -1.2303149606e+02
1.2700000000e+02   -0.0000000000e+00
