X    Y
-1.0000000000e+00   0.0000000000e+00
-9.8425196850e-01   4.4804840418e-85
-9.6850393701e-01   4.0144890358e-79
-9.5275590551e-01   1.2452753675e-73
-9.3700787402e-01   1.8018247476e-68
-9.2125984252e-01   1.3816822744e-63
-9.0551181102e-01   6.0424642087e-59
-8.8976377953e-01   1.5814938968e-54
-8.7401574803e-01   2.5626161541e-50
-8.5826771654e-01   2.6349478605e-46
-8.4251968504e-01   1.7510842130e-42
-8.2677165354e-01   7.6272439096e-39
-8.1102362205e-01   2.2015711670e-35
-7.9527559055e-01   4.2491266010e-32
-7.7952755906e-01   5.5254064450e-29
-7.6377952756e-01   4.8729645070e-26
-7.4803149606e-01   2.9316927215e-23
-7.3228346457e-01   1.2094127376e-20
-7.1653543307e-01   3.4363536809e-18
-7.0078740157e-01   6.7498639273e-16
-6.8503937008e-01   9.1914711106e-14
-6.6929133858e-01   8.6918661415e-12
-6.5354330709e-01   5.7098971504e-10
-6.3779527559e-01   2.6020253585e-08
-6.2204724409e-01   8.1945462149e-07
-6.0629921260e-01   1.7710704761e-05
-5.9055118110e-01   2.5966979648e-04
-5.7480314961e-01   2.5354878757e-03
-5.5905511811e-01   1.6005951146e-02
-5.4330708661e-01   6.2156581918e-02
-5.2755905512e-01   1.3542841350e-01
-5.1181102362e-01   1.3405820792e-01
-4.9606299213e-01   1.3877898247e-02
-4.8031496063e-01   5.4813119607e-02
-4.6456692913e-01   1.0569771112e-01
-4.4881889764e-01   1.4690945599e-01
-4.3307086614e-01   1.6807973119e-01
-4.1732283465e-01   1.6896461311e-01
-4.0157480315e-01   1.5495220068e-01
-3.8582677165e-01   1.3273264196e-01
-3.7007874016e-01   1.0788352043e-01
-3.5433070866e-01   8.4106966404e-02
-3.3858267717e-01   6.3376433923e-02
-3.2283464567e-01   4.6410682731e-02
-3.0708661417e-01   3.3159604414e-02
-2.9133858268e-01   2.3180382437e-02
-2.7559055118e-01   1.5885594260e-02
-2.5984251969e-01   1.0686272669e-02
-2.4409448819e-01   7.0620701437e-03
-2.2834645669e-01   4.5864793233e-03
-2.1259842520e-01   2.9273264190e-03
-1.9685039370e-01   1.8355796139e-03
-1.8110236220e-01   1.1301281204e-03
-1.6535433071e-01   6.8258978729e-04
-1.4960629921e-01   4.0399993978e-04
-1.3385826772e-01   2.3398662914e-04
-1.1811023622e-01   1.3239610968e-04
-1.0236220472e-01   7.3048927225e-05
-8.6614173228e-02   3.9220331362e-05
-7.0866141732e-02   2.0450633417e-05
-5.5118110236e-02   1.0345264063e-05
-3.9370078740e-02   5.0903567694e-06
-2.3622047244e-02   2.4728637739e-06
-7.8740157480e-03   1.2483408496e-06
7.8740157480e-03   1.2483408496e-06
2.3622047244e-02   2.4728637739e-06
3.9370078740e-02   5.0903567694e-06
5.5118110236e-02   1.0345264063e-05
7.0866141732e-02   2.0450633417e-05
8.6614173228e-02   3.9220331362e-05
1.0236220472e-01   7.3048927225e-05
1.1811023622e-01   1.3239610968e-04
1.3385826772e-01   2.3398662914e-04
1.4960629921e-01   4.0399993978e-04
1.6535433071e-01   6.8258978729e-04
1.8110236220e-01   1.1301281204e-03
1.9685039370e-01   1.8355796139e-03
2.1259842520e-01   2.9273264190e-03
2.2834645669e-01   4.5864793233e-03
2.4409448819e-01   7.0620701437e-03
2.5984251969e-01   1.0686272669e-02
2.7559055118e-01   1.5885594260e-02
2.9133858268e-01   2.3180382437e-02
3.0708661417e-01   3.3159604414e-02
3.2283464567e-01   4.6410682731e-02
3.3858267717e-01   6.3376433923e-02
3.5433070866e-01   8.4106966404e-02
3.7007874016e-01   1.0788352043e-01
3.8582677165e-01   1.3273264196e-01
4.0157480315e-01   1.5495220068e-01
4.1732283465e-01   1.6896461311e-01
4.3307086614e-01   1.6807973119e-01
4.4881889764e-01   1.4690945599e-01
4.6456692913e-01   1.0569771112e-01
4.8031496063e-01   5.4813119607e-02
4.9606299213e-01   1.3877898247e-02
5.1181102362e-01   1.3405820792e-01
5.2755905512e-01   1.3542841350e-01
5.4330708661e-01   6.2156581918e-02
5.5905511811e-01   1.6005951146e-02
5.7480314961e-01   2.5354878757e-03
5.9055118110e-01   2.5966979648e-04
6.0629921260e-01   1.7710704761e-05
6.2204724409e-01   8.1945462149e-07
6.3779527559e-01   2.6020253585e-08
6.5354330709e-01   5.7098971504e-10
6.6929133858e-01   8.6918661415e-12
6.8503937008e-01   9.1914711106e-14
7.0078740157e-01   6.7498639273e-16
7.1653543307e-01   3.4363536809e-18
7.3228346457e-01   1.2094127376e-20
7.4803149606e-01   2.9316927215e-23
7.6377952756e-01   4.8729645070e-26
7.7952755906e-01   5.5254064450e-29
7.9527559055e-01   4.2491266010e-32
8.1102362205e-01   2.2015711670e-35
8.2677165354e-01   7.6272439096e-39
8.4251968504e-01   1.7510842130e-42
8.5826771654e-01   2.6349478605e-46
8.7401574803e-01   2.5626161541e-50
8.8976377953e-01   1.5814938968e-54
9.0551181102e-01   6.0424642087e-59
9.2125984252e-01   1.3816822744e-63
9.3700787402e-01   1.8018247476e-68
9.5275590551e-01   1.2452753675e-73
9.6850393701e-01   4.0144890358e-79
9.8425196850e-01   4.4804840418e-85
1.0000000000e+00   0.0000000000e+00
