X    Y
-1.0000000000e+00   0.0000000000e+00
-9.8425196850e-01   2.4703282292e-323
-9.6850393701e-01   2.2660303726e-307
-9.5275590551e-01   2.1069518578e-287
-9.3700787402e-01   2.1747962384e-268
-9.2125984252e-01   2.9514519003e-250
-9.0551181102e-01   5.9024387691e-233
-8.8976377953e-01   1.9004157019e-216
-8.7401574803e-01   1.0609500889e-200
-8.5826771654e-01   1.0959659116e-185
-8.4251968504e-01   2.2212606728e-171
-8.2677165354e-01   9.3211178690e-158
-8.1102362205e-01   8.5139581708e-145
-7.9527559055e-01   1.7740945799e-132
-7.7952755906e-01   8.8156001939e-121
-7.6377952756e-01   1.0894603336e-109
-7.4803149606e-01   3.4851450380e-99
-7.3228346457e-01   2.9979959194e-89
-7.1653543307e-01   7.1916498384e-80
-7.0078740157e-01   4.9804042254e-71
-6.8503937008e-01   1.0291125538e-62
-6.6929133858e-01   6.5464146566e-55
-6.5354330709e-01   1.3203156432e-47
-6.3779527559e-01   8.6776641104e-41
-6.2204724409e-01   1.9058033941e-34
-6.0629921260e-01   1.4300454386e-28
-5.9055118110e-01   3.7344175398e-23
-5.7480314961e-01   3.4387256305e-18
-5.5905511811e-01   1.1221991280e-13
-5.4330708661e-01   1.2869454988e-09
-5.2755905512e-01   5.0111959922e-06
-5.1181102362e-01   6.0229346435e-03
-4.9606299213e-01   3.7910945131e-01
-4.8031496063e-01   9.8494596597e-02
-4.6456692913e-01   5.8380935821e-02
-4.4881889764e-01   4.3247594327e-02
-4.3307086614e-01   3.5156299095e-02
-4.1732283465e-01   3.0060106420e-02
-4.0157480315e-01   2.6532790542e-02
-3.8582677165e-01   2.3937378689e-02
-3.7007874016e-01   2.1944331668e-02
-3.5433070866e-01   2.0365111896e-02
-3.3858267717e-01   1.9083636017e-02
-3.2283464567e-01   1.8024315931e-02
-3.0708661417e-01   1.7135713240e-02
-2.9133858268e-01   1.6381555278e-02
-2.7559055118e-01   1.5735504071e-02
-2.5984251969e-01   1.5177962916e-02
-2.4409448819e-01   1.4694048307e-02
-2.2834645669e-01   1.4272258067e-02
-2.1259842520e-01   1.3903571221e-02
-1.9685039370e-01   1.3580824354e-02
-1.8110236220e-01   1.3298270114e-02
-1.6535433071e-01   1.3051258708e-02
-1.4960629921e-01   1.2836004365e-02
-1.3385826772e-01   1.2649411676e-02
-1.1811023622e-01   1.2488944936e-02
-1.0236220472e-01   1.2352528923e-02
-8.6614173228e-02   1.2238473065e-02
-7.0866141732e-02   1.2145413306e-02
-5.5118110236e-02   1.2072267619e-02
-3.9370078740e-02   1.2018202268e-02
-2.3622047244e-02   1.1982606734e-02
-7.8740157480e-03   1.1965075830e-02
7.8740157480e-03   1.1965075830e-02
2.3622047244e-02   1.1982606734e-02
3.9370078740e-02   1.2018202268e-02
5.5118110236e-02   1.2072267619e-02
7.0866141732e-02   1.2145413306e-02
8.6614173228e-02   1.2238473065e-02
1.0236220472e-01   1.2352528923e-02
1.1811023622e-01   1.2488944936e-02
1.3385826772e-01   1.2649411676e-02
1.4960629921e-01   1.2836004365e-02
1.6535433071e-01   1.3051258708e-02
1.8110236220e-01   1.3298270114e-02
1.9685039370e-01   1.3580824354e-02
2.1259842520e-01   1.3903571221e-02
2.2834645669e-01   1.4272258067e-02
2.4409448819e-01   1.4694048307e-02
2.5984251969e-01   1.5177962916e-02
2.7559055118e-01   1.5735504071e-02
2.9133858268e-01   1.6381555278e-02
3.0708661417e-01   1.7135713240e-02
3.2283464567e-01   1.8024315931e-02
3.3858267717e-01   1.9083636017e-02
3.5433070866e-01   2.0365111896e-02
3.7007874016e-01   2.1944331668e-02
3.8582677165e-01   2.3937378689e-02
4.0157480315e-01   2.6532790542e-02
4.1732283465e-01   3.0060106420e-02
4.3307086614e-01   3.5156299095e-02
4.4881889764e-01   4.3247594327e-02
4.6456692913e-01   5.8380935821e-02
4.8031496063e-01   9.8494596597e-02
4.9606299213e-01   3.7910945131e-01
5.1181102362e-01   6.0229346435e-03
5.2755905512e-01   5.0111959922e-06
5.4330708661e-01   1.2869454988e-09
5.5905511811e-01   1.1221991280e-13
5.7480314961e-01   3.4387256305e-18
5.9055118110e-01   3.7344175398e-23
6.0629921260e-01   1.4300454386e-28
6.2204724409e-01   1.9058033941e-34
6.3779527559e-01   8.6776641104e-41
6.5354330709e-01   1.3203156432e-47
6.6929133858e-01   6.5464146566e-55
6.8503937008e-01   1.0291125538e-62
7.0078740157e-01   4.9804042254e-71
7.1653543307e-01   7.1916498384e-80
7.3228346457e-01   2.9979959194e-89
7.4803149606e-01   3.4851450380e-99
7.6377952756e-01   1.0894603336e-109
7.7952755906e-01   8.8156001939e-121
7.9527559055e-01   1.7740945799e-132
8.1102362205e-01   8.5139581708e-145
8.2677165354e-01   9.3211178690e-158
8.4251968504e-01   2.2212606728e-171
8.5826771654e-01   1.0959659116e-185
8.7401574803e-01   1.0609500889e-200
8.8976377953e-01   1.9004157019e-216
9.0551181102e-01   5.9024387691e-233
9.2125984252e-01   2.9514519003e-250
9.3700787402e-01   2.1747962384e-268
9.5275590551e-01   2.1069518578e-287
9.6850393701e-01   2.2660303726e-307
9.8425196850e-01   2.4703282292e-323
1.0000000000e+00   0.0000000000e+00
