X    Y
0.0000000000e+00   -5.0467439674e-01
1.0000000000e+00   -7.0753970376e-01
2.0000000000e+00   -1.1235609223e+00
3.0000000000e+00   -1.4087582406e+00
4.0000000000e+00   -1.6250417119e+00
5.0000000000e+00   -1.7971849887e+00
6.0000000000e+00   -1.9423944792e+00
7.0000000000e+00   -2.0682913543e+00
8.0000000000e+00   -2.1744340877e+00
9.0000000000e+00   -2.2732881521e+00
1.0000000000e+01   -2.3633019911e+00
1.1000000000e+01   -2.4376091292e+00
1.2000000000e+01   -2.5151088752e+00
1.3000000000e+01   -2.5857698793e+00
1.4000000000e+01   -2.6402685091e+00
1.5000000000e+01   -2.7073992961e+00
1.6000000000e+01   -2.7651992544e+00
1.7000000000e+01   -2.8056364931e+00
1.8000000000e+01   -2.8687216498e+00
1.9000000000e+01   -2.9161161353e+00
2.0000000000e+01   -2.9460646522e+00
2.1000000000e+01   -3.0093720992e+00
2.2000000000e+01   -3.0467281113e+00
2.3000000000e+01   -3.0690803218e+00
2.4000000000e+01   -3.1357244649e+00
2.5000000000e+01   -3.1621470964e+00
2.6000000000e+01   -3.1797822481e+00
2.7000000000e+01   -3.2520574071e+00
2.8000000000e+01   -3.2658335877e+00
2.9000000000e+01   -3.2819562915e+00
3.0000000000e+01   -3.3614443625e+00
3.1000000000e+01   -3.3603387674e+00
3.2000000000e+01   -3.3786709865e+00
3.3000000000e+01   -3.4662455199e+00
3.4000000000e+01   -3.4477317166e+00
3.5000000000e+01   -3.4726501726e+00
3.6000000000e+01   -3.5684217849e+00
3.7000000000e+01   -3.5298740803e+00
3.8000000000e+01   -3.5665667947e+00
3.9000000000e+01   -3.6697793087e+00
4.0000000000e+01   -3.6086225800e+00
4.1000000000e+01   -3.6633583376e+00
4.2000000000e+01   -3.7722175779e+00
4.3000000000e+01   -3.6860119509e+00
4.4000000000e+01   -3.7666867610e+00
4.5000000000e+01   -3.8780606102e+00
4.6000000000e+01   -3.7644716071e+00
4.7000000000e+01   -3.8817897171e+00
4.8000000000e+01   -3.9906099941e+00
4.9000000000e+01   -3.8471597135e+00
5.0000000000e+01   -4.0173965650e+00
5.1000000000e+01   -4.1152493817e+00
5.2000000000e+01   -3.9385912426e+00
5.3000000000e+01   -4.1910972672e+00
5.4000000000e+01   -4.2620879091e+00
5.5000000000e+01   -4.0460209733e+00
5.6000000000e+01   -4.4505158489e+00
5.7000000000e+01   -4.7550705164e+00
5.8000000000e+01   -4.4841115392e+00
5.9000000000e+01   -5.3707736505e+00
6.0000000000e+01   -5.0656878887e+00
6.1000000000e+01   -4.6833423386e+00
6.2000000000e+01   -5.0720998464e+00
6.3000000000e+01   -1.3623583046e+01
6.4000000000e+01   -5.0721074273e+00
6.5000000000e+01   -4.6833378253e+00
6.6000000000e+01   -5.0656986712e+00
6.7000000000e+01   -5.3707986324e+00
6.8000000000e+01   -4.4841077379e+00
6.9000000000e+01   -4.7550497500e+00
