X    Y
0.0000000000e+00   -3.3923947890e+00
1.0000000000e+00   -2.8608065359e+00
2.0000000000e+00   -2.6763118692e+00
3.0000000000e+00   -2.9183731386e+00
4.0000000000e+00   -3.2785226826e+00
5.0000000000e+00   -2.7850529405e+00
6.0000000000e+00   -2.9019064423e+00
7.0000000000e+00   -3.6234486945e+00
8.0000000000e+00   -2.8133097955e+00
9.0000000000e+00   -2.8083344640e+00
1.0000000000e+01   -3.5139923442e+00
1.1000000000e+01   -2.9433322110e+00
1.2000000000e+01   -2.8007587656e+00
1.3000000000e+01   -3.1580290456e+00
1.4000000000e+01   -3.1371700091e+00
1.5000000000e+01   -2.8324799292e+00
1.6000000000e+01   -3.0388460591e+00
1.7000000000e+01   -3.3473167498e+00
1.8000000000e+01   -2.8351736226e+00
1.9000000000e+01   -2.8921210975e+00
2.0000000000e+01   -4.0331085685e+00
2.1000000000e+01   -2.9702398359e+00
2.2000000000e+01   -2.9181309051e+00
2.3000000000e+01   -3.6951839840e+00
2.4000000000e+01   -2.9676447522e+00
2.5000000000e+01   -2.8191350521e+00
2.6000000000e+01   -3.1454377167e+00
2.7000000000e+01   -3.1915533774e+00
2.8000000000e+01   -2.8763781433e+00
2.9000000000e+01   -3.2401660723e+00
3.0000000000e+01   -2.8983704385e+00
3.1000000000e+01   -2.2985405163e+00
3.2000000000e+01   -2.4822869972e+00
3.3000000000e+01   -2.6789198406e+00
3.4000000000e+01   -3.6140725299e+00
3.5000000000e+01   -3.0118871733e+00
3.6000000000e+01   -3.0644892977e+00
3.7000000000e+01   -3.6988543194e+00
3.8000000000e+01   -2.9367118302e+00
3.9000000000e+01   -2.9326479543e+00
4.0000000000e+01   -3.5730569581e+00
4.1000000000e+01   -3.1368508440e+00
4.2000000000e+01   -3.0180003222e+00
4.3000000000e+01   -3.6133451993e+00
4.4000000000e+01   -3.1066197989e+00
4.5000000000e+01   -2.9096139552e+00
4.6000000000e+01   -3.1403084750e+00
4.7000000000e+01   -3.5227439933e+00
4.8000000000e+01   -3.0141363493e+00
4.9000000000e+01   -3.1426103156e+00
5.0000000000e+01   -3.6572389591e+00
5.1000000000e+01   -2.9810918362e+00
5.2000000000e+01   -2.9789962528e+00
5.3000000000e+01   -3.6363995935e+00
5.4000000000e+01   -3.1435984897e+00
5.5000000000e+01   -3.0001221179e+00
5.6000000000e+01   -3.4161844773e+00
5.7000000000e+01   -3.2226769763e+00
5.8000000000e+01   -2.9552445245e+00
5.9000000000e+01   -3.1491381847e+00
6.0000000000e+01   -3.5770882776e+00
6.1000000000e+01   -3.0024756048e+00
6.2000000000e+01   -3.0614357774e+00
6.3000000000e+01   -1.5270313806e+01
6.4000000000e+01   -3.0614357774e+00
6.5000000000e+01   -3.0024756048e+00
6.6000000000e+01   -3.5770882776e+00
6.7000000000e+01   -3.1491381847e+00
6.8000000000e+01   -2.9552445245e+00
6.9000000000e+01   -3.2226769763e+00
7.0000000000e+01   -3.4161844773e+00
7.1000000000e+01   -3.0001221179e+00
7.2000000000e+01   -3.1435984897e+00
7.3000000000e+01   -3.6363995935e+00
7.4000000000e+01   -2.9789962528e+00
7.5000000000e+01   -2.9810918362e+00
7.6000000000e+01   -3.6572389591e+00
7.7000000000e+01   -3.1426103156e+00
7.8000000000e+01   -3.0141363493e+00
7.9000000000e+01   -3.5227439933e+00
8.0000000000e+01   -3.1403084750e+00
8.1000000000e+01   -2.9096139552e+00
8.2000000000e+01   -3.1066197989e+00
8.3000000000e+01   -3.6133451993e+00
8.4000000000e+01   -3.0180003222e+00
8.5000000000e+01   -3.1368508440e+00
8.6000000000e+01   -3.5730569581e+00
8.7000000000e+01   -2.9326479543e+00
8.8000000000e+01   -2.9367118302e+00
8.9000000000e+01   -3.6988543194e+00
9.0000000000e+01   -3.0644892977e+00
9.1000000000e+01   -3.0118871733e+00
9.2000000000e+01   -3.6140725299e+00
9.3000000000e+01   -2.6789198406e+00
9.4000000000e+01   -2.4822869972e+00
9.5000000000e+01   -2.2985405163e+00
9.6000000000e+01   -2.8983704385e+00
9.7000000000e+01   -3.2401660723e+00
9.8000000000e+01   -2.8763781433e+00
9.9000000000e+01   -3.1915533774e+00
1.0000000000e+02   -3.1454377167e+00
1.0100000000e+02   -2.8191350521e+00
1.0200000000e+02   -2.9676447522e+00
1.0300000000e+02   -3.6951839840e+00
1.0400000000e+02   -2.9181309051e+00
1.0500000000e+02   -2.9702398359e+00
1.0600000000e+02   -4.0331085685e+00
1.0700000000e+02   -2.8921210975e+00
1.0800000000e+02   -2.8351736226e+00
1.0900000000e+02   -3.3473167498e+00
1.1000000000e+02   -3.0388460591e+00
1.1100000000e+02   -2.8324799292e+00
1.1200000000e+02   -3.1371700091e+00
1.1300000000e+02   -3.1580290456e+00
1.1400000000e+02   -2.8007587656e+00
1.1500000000e+02   -2.9433322110e+00
1.1600000000e+02   -3.5139923442e+00
1.1700000000e+02   -2.8083344640e+00
1.1800000000e+02   -2.8133097955e+00
1.1900000000e+02   -3.6234486945e+00
1.2000000000e+02   -2.9019064423e+00
1.2100000000e+02   -2.7850529405e+00
1.2200000000e+02   -3.2785226826e+00
1.2300000000e+02   -2.9183731386e+00
1.2400000000e+02   -2.6763118692e+00
1.2500000000e+02   -2.8608065359e+00
1.2600000000e+02   -3.3923947890e+00
