X    Y
0.0000000000e+00   -3.7790454432e+00
1.0000000000e+00   -3.4713170045e+00
2.0000000000e+00   -3.5360129166e+00
3.0000000000e+00   -3.9484181414e+00
4.0000000000e+00   -3.6017045903e+00
5.0000000000e+00   -3.6171790886e+00
6.0000000000e+00   -3.9664812138e+00
7.0000000000e+00   -3.7764370795e+00
8.0000000000e+00   -3.7949465448e+00
9.0000000000e+00   -3.8915762853e+00
1.0000000000e+01   -3.9411902475e+00
1.1000000000e+01   -4.2341691608e+00
1.2000000000e+01   -3.8500262506e+00
1.3000000000e+01   -4.0079474069e+00
1.4000000000e+01   -4.4377605708e+00
1.5000000000e+01   -3.9064276356e+00
1.6000000000e+01   -3.9901128585e+00
1.7000000000e+01   -4.0274468432e+00
1.8000000000e+01   -4.1212331542e+00
1.9000000000e+01   -4.0142762663e+00
2.0000000000e+01   -4.0124262635e+00
2.1000000000e+01   -4.7781559701e+00
2.2000000000e+01   -4.2863061514e+00
2.3000000000e+01   -4.2985737864e+00
2.4000000000e+01   -4.7070159337e+00
2.5000000000e+01   -4.2638890422e+00
2.6000000000e+01   -4.5278218406e+00
2.7000000000e+01   -5.1138545219e+00
2.8000000000e+01   -3.5819924457e+00
2.9000000000e+01   -3.8275911994e+00
3.0000000000e+01   -3.6070405040e+00
3.1000000000e+01   -2.6242417017e+00
3.2000000000e+01   -2.6783715067e+00
3.3000000000e+01   -3.2011926576e+00
3.4000000000e+01   -3.5013379115e+00
3.5000000000e+01   -4.0682180403e+00
3.6000000000e+01   -3.7555922923e+00
3.7000000000e+01   -5.4511974461e+00
3.8000000000e+01   -4.2367614719e+00
3.9000000000e+01   -4.1463173699e+00
4.0000000000e+01   -4.1509005230e+00
4.1000000000e+01   -4.1457941382e+00
4.2000000000e+01   -4.5403014567e+00
4.3000000000e+01   -4.0888870909e+00
4.4000000000e+01   -4.0774365119e+00
4.5000000000e+01   -4.7191616897e+00
4.6000000000e+01   -4.1579838182e+00
4.7000000000e+01   -4.0826869338e+00
4.8000000000e+01   -4.5952785638e+00
4.9000000000e+01   -4.2668693659e+00
5.0000000000e+01   -4.1605706359e+00
5.1000000000e+01   -4.4663743039e+00
5.2000000000e+01   -4.3663112555e+00
5.3000000000e+01   -4.3082142993e+00
5.4000000000e+01   -4.4281783100e+00
5.5000000000e+01   -4.4381345270e+00
5.6000000000e+01   -4.5350344902e+00
5.7000000000e+01   -4.4862863295e+00
5.8000000000e+01   -4.5028974955e+00
5.9000000000e+01   -4.9049696724e+00
6.0000000000e+01   -4.6611083158e+00
6.1000000000e+01   -4.6019654572e+00
6.2000000000e+01   -6.4074818892e+00
6.3000000000e+01   -5.1099999025e+00
6.4000000000e+01   -4.8077164733e+00
6.5000000000e+01   -5.0003024618e+00
6.6000000000e+01   -5.1715846482e+00
6.7000000000e+01   -5.6791297297e+00
6.8000000000e+01   -4.7610125545e+00
6.9000000000e+01   -4.7243204945e+00
7.0000000000e+01   -4.7927684166e+00
7.1000000000e+01   -4.6185420521e+00
7.2000000000e+01   -4.5899090719e+00
7.3000000000e+01   -4.4146215860e+00
7.4000000000e+01   -4.4809275924e+00
7.5000000000e+01   -4.5926029566e+00
7.6000000000e+01   -4.2097746918e+00
7.7000000000e+01   -4.3250628876e+00
7.8000000000e+01   -4.6880813940e+00
7.9000000000e+01   -4.0999854389e+00
8.0000000000e+01   -4.1751954791e+00
8.1000000000e+01   -4.7290684407e+00
8.2000000000e+01   -4.0687110670e+00
8.3000000000e+01   -4.0762528078e+00
8.4000000000e+01   -4.4729793163e+00
8.5000000000e+01   -4.1045734477e+00
8.6000000000e+01   -4.1008725132e+00
8.7000000000e+01   -4.0830008445e+00
8.8000000000e+01   -4.1513146797e+00
8.9000000000e+01   -4.9079348625e+00
9.0000000000e+01   -3.7096897039e+00
9.1000000000e+01   -3.9893574355e+00
9.2000000000e+01   -3.5348127982e+00
9.3000000000e+01   -3.1748931209e+00
9.4000000000e+01   -2.6715746974e+00
9.5000000000e+01   -2.6210666116e+00
9.6000000000e+01   -3.6594051104e+00
9.7000000000e+01   -3.9745263846e+00
9.8000000000e+01   -3.5197479492e+00
9.9000000000e+01   -4.4660598613e+00
1.0000000000e+02   -4.7276350765e+00
1.0100000000e+02   -3.9790609598e+00
1.0200000000e+02   -4.1311615361e+00
1.0300000000e+02   -3.9669801755e+00
1.0400000000e+02   -5.0496402840e+00
1.0500000000e+02   -4.3011210343e+00
1.0600000000e+02   -3.7801181211e+00
1.0700000000e+02   -4.5994214188e+00
1.0800000000e+02   -5.4753199134e+00
1.0900000000e+02   -3.7567807678e+00
1.1000000000e+02   -4.7338065200e+00
1.1100000000e+02   -4.4863863532e+00
1.1200000000e+02   -3.8826986139e+00
1.1300000000e+02   -6.1894285718e+00
1.1400000000e+02   -4.4320628318e+00
1.1500000000e+02   -4.3012212015e+00
1.1600000000e+02   -5.7149241011e+00
1.1700000000e+02   -4.9848249566e+00
1.1800000000e+02   -4.4213650474e+00
1.1900000000e+02   -4.4113990215e+00
1.2000000000e+02   -4.6033291688e+00
1.2100000000e+02   -3.9817981449e+00
1.2200000000e+02   -3.9779735937e+00
1.2300000000e+02   -4.4372536312e+00
1.2400000000e+02   -3.8595915753e+00
1.2500000000e+02   -3.7541276028e+00
1.2600000000e+02   -1.2904403421e+01
