X    Y
0.0000000000e+00   3.6367666416e-01
1.0000000000e+00   3.4261739768e-01
2.0000000000e+00   3.2250177997e-01
3.0000000000e+00   3.0323155831e-01
4.0000000000e+00   2.8434729084e-01
5.0000000000e+00   2.6629967433e-01
6.0000000000e+00   2.4905532192e-01
7.0000000000e+00   2.3228514389e-01
8.0000000000e+00   2.1623644897e-01
9.0000000000e+00   2.0085625800e-01
1.0000000000e+01   1.8608973754e-01
1.1000000000e+01   1.7198563876e-01
1.2000000000e+01   1.5835083667e-01
1.3000000000e+01   1.4543871602e-01
1.4000000000e+01   1.3320321852e-01
1.5000000000e+01   1.2124579977e-01
1.6000000000e+01   1.1003225939e-01
1.7000000000e+01   9.9543056606e-02
1.8000000000e+01   8.9226356581e-02
1.9000000000e+01   7.9584550912e-02
2.0000000000e+01   7.0672613834e-02
2.1000000000e+01   6.1955985028e-02
2.2000000000e+01   5.3809543845e-02
2.3000000000e+01   4.6279867751e-02
2.4000000000e+01   3.9085532753e-02
2.5000000000e+01   3.2412979348e-02
2.6000000000e+01   2.6066069597e-02
2.7000000000e+01   2.0258150719e-02
2.8000000000e+01   1.5118981608e-02
2.9000000000e+01   9.7092390422e-03
3.0000000000e+01   5.0094366189e-03
3.1000000000e+01   2.3755178510e-03
3.2000000000e+01   -7.0244298802e-04
3.3000000000e+01   -5.6485487160e-03
3.4000000000e+01   -9.7202186446e-03
3.5000000000e+01   -1.2107387978e-02
3.6000000000e+01   -1.4477587404e-02
3.7000000000e+01   -1.6801067278e-02
3.8000000000e+01   -1.8579743211e-02
3.9000000000e+01   -2.0114009733e-02
4.0000000000e+01   -2.1381648742e-02
4.1000000000e+01   -2.2378602912e-02
4.2000000000e+01   -2.3161656089e-02
4.3000000000e+01   -2.3603674968e-02
4.4000000000e+01   -2.3862188185e-02
4.5000000000e+01   -2.3965156143e-02
4.6000000000e+01   -2.3742533322e-02
4.7000000000e+01   -2.3358265934e-02
4.8000000000e+01   -2.2857226980e-02
4.9000000000e+01   -2.2094719987e-02
5.0000000000e+01   -2.1182110851e-02
5.1000000000e+01   -2.0167326174e-02
5.2000000000e+01   -1.8968364517e-02
5.3000000000e+01   -1.7643398443e-02
5.4000000000e+01   -1.6219460322e-02
5.5000000000e+01   -1.4679197905e-02
5.6000000000e+01   -1.3051782118e-02
5.7000000000e+01   -1.1331708954e-02
5.8000000000e+01   -9.5461259156e-03
5.9000000000e+01   -7.7197846554e-03
6.0000000000e+01   -5.8183011109e-03
6.1000000000e+01   -3.8879098516e-03
6.2000000000e+01   -1.9626989493e-03
6.3000000000e+01   7.7624729096e-06
6.4000000000e+01   1.9778774595e-03
6.5000000000e+01   3.9029222560e-03
6.6000000000e+01   5.8333867609e-03
6.7000000000e+01   7.7343241576e-03
6.8000000000e+01   9.5602008770e-03
6.9000000000e+01   1.1345480227e-02
7.0000000000e+01   1.3064839024e-02
7.1000000000e+01   1.4691593008e-02
7.2000000000e+01   1.6231060676e-02
7.3000000000e+01   1.7654085420e-02
7.4000000000e+01   1.8978343871e-02
7.5000000000e+01   2.0175944296e-02
7.6000000000e+01   2.1189511608e-02
7.7000000000e+01   2.2101503412e-02
7.8000000000e+01   2.2862112636e-02
7.9000000000e+01   2.3361493809e-02
8.0000000000e+01   2.3745234027e-02
8.1000000000e+01   2.3965586710e-02
8.2000000000e+01   2.3860490189e-02
8.3000000000e+01   2.3601269433e-02
8.4000000000e+01   2.3156823633e-02
8.5000000000e+01   2.2371485696e-02
8.6000000000e+01   2.1373023277e-02
8.7000000000e+01   2.0102803537e-02
8.8000000000e+01   1.8567137318e-02
8.9000000000e+01   1.6785167586e-02
9.0000000000e+01   1.4458016360e-02
9.1000000000e+01   1.2090370917e-02
9.2000000000e+01   9.6968320518e-03
9.3000000000e+01   5.6092672892e-03
9.4000000000e+01   6.6936400863e-04
9.5000000000e+01   -2.3929487006e-03
9.6000000000e+01   -5.0375099384e-03
9.7000000000e+01   -9.7519315917e-03
9.8000000000e+01   -1.5159329244e-02
9.9000000000e+01   -2.0300037831e-02
1.0000000000e+02   -2.6114452623e-02
1.0100000000e+02   -3.2463454682e-02
1.0200000000e+02   -3.9139832894e-02
1.0300000000e+02   -4.6337483766e-02
1.0400000000e+02   -5.3870187947e-02
1.0500000000e+02   -6.2022641033e-02
1.0600000000e+02   -7.0741348099e-02
1.0700000000e+02   -7.9656164772e-02
1.0800000000e+02   -8.9305346438e-02
1.0900000000e+02   -9.9624253937e-02
1.1000000000e+02   -1.1011610372e-01
1.1100000000e+02   -1.2133721306e-01
1.1200000000e+02   -1.3329773208e-01
1.1300000000e+02   -1.4553625620e-01
1.1400000000e+02   -1.5845510442e-01
1.1500000000e+02   -1.7209393854e-01
1.1600000000e+02   -1.8620231080e-01
1.1700000000e+02   -2.0097426064e-01
1.1800000000e+02   -2.1635889362e-01
1.1900000000e+02   -2.3241369030e-01
1.2000000000e+02   -2.4918827260e-01
1.2100000000e+02   -2.6643684063e-01
1.2200000000e+02   -2.8449229292e-01
1.2300000000e+02   -3.0338070771e-01
1.2400000000e+02   -3.2265467472e-01
1.2500000000e+02   -3.4277907000e-01
1.2600000000e+02   -3.6384298802e-01
