X    Y
0.0000000000e+00   -8.8638867670e+00
1.0000000000e+00   -3.7541254082e+00
2.0000000000e+00   -3.8595892436e+00
3.0000000000e+00   -4.4372299005e+00
4.0000000000e+00   -3.9779696167e+00
5.0000000000e+00   -3.9817916850e+00
6.0000000000e+00   -4.6032845228e+00
7.0000000000e+00   -4.4113926242e+00
8.0000000000e+00   -4.4213389660e+00
9.0000000000e+00   -4.9849337168e+00
1.0000000000e+01   -5.7149427597e+00
1.1000000000e+01   -4.3012440890e+00
1.2000000000e+01   -4.4320878093e+00
1.3000000000e+01   -6.1899006078e+00
1.4000000000e+01   -3.8827069031e+00
1.5000000000e+01   -4.4864048186e+00
1.6000000000e+01   -4.7338310759e+00
1.7000000000e+01   -3.7567856436e+00
1.8000000000e+01   -5.4752334455e+00
1.9000000000e+01   -4.5994392793e+00
2.0000000000e+01   -3.7801214646e+00
2.1000000000e+01   -4.3011195172e+00
2.2000000000e+01   -5.0496013898e+00
2.3000000000e+01   -3.9669830243e+00
2.4000000000e+01   -4.1311618741e+00
2.5000000000e+01   -3.9790585775e+00
2.6000000000e+01   -4.7276445629e+00
2.7000000000e+01   -4.4660620561e+00
2.8000000000e+01   -3.5197471296e+00
2.9000000000e+01   -3.9745249860e+00
3.0000000000e+01   -3.6594043610e+00
3.1000000000e+01   -2.6210664614e+00
3.2000000000e+01   -2.6715747623e+00
3.3000000000e+01   -3.1748936360e+00
3.4000000000e+01   -3.5348145800e+00
3.5000000000e+01   -3.9893580388e+00
3.6000000000e+01   -3.7096927015e+00
3.7000000000e+01   -4.9078848175e+00
3.8000000000e+01   -4.1513131702e+00
3.9000000000e+01   -4.0830102567e+00
4.0000000000e+01   -4.1008653515e+00
4.1000000000e+01   -4.1045696418e+00
4.2000000000e+01   -4.4730028547e+00
4.3000000000e+01   -4.0762484305e+00
4.4000000000e+01   -4.0687066174e+00
4.5000000000e+01   -4.7290982322e+00
4.6000000000e+01   -4.1751936567e+00
4.7000000000e+01   -4.0999827211e+00
4.8000000000e+01   -4.6880867521e+00
4.9000000000e+01   -4.3250629545e+00
5.0000000000e+01   -4.2097785771e+00
5.1000000000e+01   -4.5925876377e+00
5.2000000000e+01   -4.4809235491e+00
5.3000000000e+01   -4.4146450059e+00
5.4000000000e+01   -4.5898801729e+00
5.5000000000e+01   -4.6185185682e+00
5.6000000000e+01   -4.7928659097e+00
5.7000000000e+01   -4.7242787972e+00
5.8000000000e+01   -4.7609443652e+00
5.9000000000e+01   -5.6781673467e+00
6.0000000000e+01   -5.1715115164e+00
6.1000000000e+01   -5.0001254759e+00
6.2000000000e+01   -4.8075829037e+00
6.3000000000e+01   -5.1099975383e+00
6.4000000000e+01   -6.4021585387e+00
6.5000000000e+01   -4.6018955992e+00
6.6000000000e+01   -4.6610842017e+00
6.7000000000e+01   -4.9051323808e+00
6.8000000000e+01   -4.5028606005e+00
6.9000000000e+01   -4.4862614507e+00
7.0000000000e+01   -4.5350883735e+00
7.1000000000e+01   -4.4381195477e+00
7.2000000000e+01   -4.4281579960e+00
7.3000000000e+01   -4.3082325864e+00
7.4000000000e+01   -4.3663083977e+00
7.5000000000e+01   -4.4663626765e+00
7.6000000000e+01   -4.1605740960e+00
7.7000000000e+01   -4.2668694461e+00
7.8000000000e+01   -4.5952828679e+00
7.9000000000e+01   -4.0826843702e+00
8.0000000000e+01   -4.1579819761e+00
8.1000000000e+01   -4.7191908350e+00
8.2000000000e+01   -4.0774320800e+00
8.3000000000e+01   -4.0888824635e+00
8.4000000000e+01   -4.5403288962e+00
8.5000000000e+01   -4.1457901235e+00
8.6000000000e+01   -4.1508923529e+00
8.7000000000e+01   -4.1463282058e+00
8.8000000000e+01   -4.2367598451e+00
8.9000000000e+01   -5.4513742048e+00
9.0000000000e+01   -3.7555955942e+00
9.1000000000e+01   -4.0682188781e+00
9.2000000000e+01   -3.5013395718e+00
9.3000000000e+01   -3.2011931968e+00
9.4000000000e+01   -2.6783715757e+00
9.5000000000e+01   -2.6242415500e+00
9.6000000000e+01   -3.6070398559e+00
9.7000000000e+01   -3.8275901769e+00
9.8000000000e+01   -3.5819915014e+00
9.9000000000e+01   -5.1138452325e+00
1.0000000000e+02   -4.5278157651e+00
1.0100000000e+02   -4.2638844845e+00
1.0200000000e+02   -4.7070169629e+00
1.0300000000e+02   -4.2985799475e+00
1.0400000000e+02   -4.2863127771e+00
1.0500000000e+02   -4.7781609742e+00
1.0600000000e+02   -4.0124319916e+00
1.0700000000e+02   -4.0142808222e+00
1.0800000000e+02   -4.1212371228e+00
1.0900000000e+02   -4.0274559359e+00
1.1000000000e+02   -3.9901171573e+00
1.1100000000e+02   -3.9064325948e+00
1.1200000000e+02   -4.4377902246e+00
1.1300000000e+02   -4.0079503306e+00
1.1400000000e+02   -3.8500328749e+00
1.1500000000e+02   -4.2341496900e+00
1.1600000000e+02   -3.9411903870e+00
1.1700000000e+02   -3.8915851287e+00
1.1800000000e+02   -3.7949404534e+00
1.1900000000e+02   -3.7764354853e+00
1.2000000000e+02   -3.9664915590e+00
1.2100000000e+02   -3.6171763510e+00
1.2200000000e+02   -3.6017028612e+00
1.2300000000e+02   -3.9484258480e+00
1.2400000000e+02   -3.5360118446e+00
1.2500000000e+02   -3.4713158358e+00
1.2600000000e+02   -3.7790482244e+00
