X    Y
0.0000000000e+00   -3.6384298938e-01
1.0000000000e+00   -3.4277906911e-01
2.0000000000e+00   -3.2265467398e-01
3.0000000000e+00   -3.0338070971e-01
4.0000000000e+00   -2.8449229196e-01
5.0000000000e+00   -2.6643683908e-01
6.0000000000e+00   -2.4918827516e-01
7.0000000000e+00   -2.3241368973e-01
8.0000000000e+00   -2.1635889134e-01
9.0000000000e+00   -2.0097426323e-01
1.0000000000e+01   -1.8620231088e-01
1.1000000000e+01   -1.7209393590e-01
1.2000000000e+01   -1.5845510655e-01
1.3000000000e+01   -1.4553625690e-01
1.4000000000e+01   -1.3329772958e-01
1.5000000000e+01   -1.2133721445e-01
1.6000000000e+01   -1.1011610477e-01
1.7000000000e+01   -9.9624251971e-02
1.8000000000e+01   -8.9305347105e-02
1.9000000000e+01   -7.9656165806e-02
2.0000000000e+01   -7.0741346822e-02
2.1000000000e+01   -6.2022641208e-02
2.2000000000e+01   -5.3870188746e-02
2.3000000000e+01   -4.6337483058e-02
2.4000000000e+01   -3.9139832836e-02
2.5000000000e+01   -3.2463455257e-02
2.6000000000e+01   -2.6114452214e-02
2.7000000000e+01   -2.0300037659e-02
2.8000000000e+01   -1.5159329814e-02
2.9000000000e+01   -9.7519312502e-03
3.0000000000e+01   -5.0375095604e-03
3.1000000000e+01   -2.3929495279e-03
3.2000000000e+01   6.6936432724e-04
3.3000000000e+01   5.6092680821e-03
3.4000000000e+01   9.6968308543e-03
3.5000000000e+01   1.2090371060e-02
3.6000000000e+01   1.4458017707e-02
3.7000000000e+01   1.6785166161e-02
3.8000000000e+01   1.8567137072e-02
3.9000000000e+01   2.0102805327e-02
4.0000000000e+01   2.1373021970e-02
4.1000000000e+01   2.2371485007e-02
4.2000000000e+01   2.3156825457e-02
4.3000000000e+01   2.3601268588e-02
4.4000000000e+01   2.3860489314e-02
4.5000000000e+01   2.3965587990e-02
4.6000000000e+01   2.3745233747e-02
4.7000000000e+01   2.3361493312e-02
4.8000000000e+01   2.2862112889e-02
4.9000000000e+01   2.2101503420e-02
5.0000000000e+01   2.1189512160e-02
5.1000000000e+01   2.0175943395e-02
5.2000000000e+01   1.8978343563e-02
5.3000000000e+01   1.7654087496e-02
5.4000000000e+01   1.6231058966e-02
5.5000000000e+01   1.4691591707e-02
5.6000000000e+01   1.3064842641e-02
5.7000000000e+01   1.1345478415e-02
5.8000000000e+01   9.5601981546e-03
5.9000000000e+01   7.7343288019e-03
6.0000000000e+01   5.8333856265e-03
6.1000000000e+01   3.9029181827e-03
6.2000000000e+01   1.9778822488e-03
6.3000000000e+01   7.7625151658e-06
6.4000000000e+01   -1.9627037752e-03
6.5000000000e+01   -3.8879058290e-03
6.6000000000e+01   -5.8182998992e-03
6.7000000000e+01   -7.7197893174e-03
6.8000000000e+01   -9.5461232468e-03
6.9000000000e+01   -1.1331707084e-02
7.0000000000e+01   -1.3051785737e-02
7.1000000000e+01   -1.4679196647e-02
7.2000000000e+01   -1.6219458577e-02
7.3000000000e+01   -1.7643400514e-02
7.4000000000e+01   -1.8968364234e-02
7.5000000000e+01   -2.0167325260e-02
7.6000000000e+01   -2.1182111401e-02
7.7000000000e+01   -2.2094719997e-02
7.8000000000e+01   -2.2857227232e-02
7.9000000000e+01   -2.3358265446e-02
8.0000000000e+01   -2.3742533027e-02
8.1000000000e+01   -2.3965157424e-02
8.2000000000e+01   -2.3862187331e-02
8.3000000000e+01   -2.3603674100e-02
8.4000000000e+01   -2.3161657910e-02
8.5000000000e+01   -2.2378602252e-02
8.6000000000e+01   -2.1381647413e-02
8.7000000000e+01   -2.0114011515e-02
8.8000000000e+01   -1.8579742994e-02
8.9000000000e+01   -1.6801065838e-02
9.0000000000e+01   -1.4477588739e-02
9.1000000000e+01   -1.2107388143e-02
9.2000000000e+01   -9.7202174394e-03
9.3000000000e+01   -5.6485494973e-03
9.4000000000e+01   -7.0244332138e-04
9.5000000000e+01   2.3755186805e-03
9.6000000000e+01   5.0094362501e-03
9.7000000000e+01   9.7092386920e-03
9.8000000000e+01   1.5118982177e-02
9.9000000000e+01   2.0258150555e-02
1.0000000000e+02   2.6066069182e-02
1.0100000000e+02   3.2412979920e-02
1.0200000000e+02   3.9085532707e-02
1.0300000000e+02   4.6279867038e-02
1.0400000000e+02   5.3809544634e-02
1.0500000000e+02   6.1955985220e-02
1.0600000000e+02   7.0672612552e-02
1.0700000000e+02   7.9584551927e-02
1.0800000000e+02   8.9226357272e-02
1.0900000000e+02   9.9543054641e-02
1.1000000000e+02   1.1003226040e-01
1.1100000000e+02   1.2124580119e-01
1.1200000000e+02   1.3320321602e-01
1.1300000000e+02   1.4543871668e-01
1.1400000000e+02   1.5835083883e-01
1.1500000000e+02   1.7198563614e-01
1.1600000000e+02   1.8608973757e-01
1.1700000000e+02   2.0085626062e-01
1.1800000000e+02   2.1623644672e-01
1.1900000000e+02   2.3228514327e-01
1.2000000000e+02   2.4905532449e-01
1.2100000000e+02   2.6629967281e-01
1.2200000000e+02   2.8434728984e-01
1.2300000000e+02   3.0323156030e-01
1.2400000000e+02   3.2250177925e-01
1.2500000000e+02   3.4261739677e-01
1.2600000000e+02   3.6367666522e-01
