X    Y
0.0000000000e+00   -8.7373538740e-01
1.0000000000e+00   -6.9043225167e-01
2.0000000000e+00   -9.9005852289e-01
3.0000000000e+00   -1.4049219818e+00
4.0000000000e+00   -1.6499567481e+00
5.0000000000e+00   -1.7534531820e+00
6.0000000000e+00   -2.0648358616e+00
7.0000000000e+00   -2.0682604217e+00
8.0000000000e+00   -2.2113914955e+00
9.0000000000e+00   -2.3775419609e+00
1.0000000000e+01   -2.3972407611e+00
1.1000000000e+01   -2.4724036578e+00
1.2000000000e+01   -2.6641510952e+00
1.3000000000e+01   -2.5905103219e+00
1.4000000000e+01   -2.7279366444e+00
1.5000000000e+01   -2.8205017747e+00
1.6000000000e+01   -2.7965758022e+00
1.7000000000e+01   -2.8810950698e+00
1.8000000000e+01   -3.0131914966e+00
1.9000000000e+01   -2.9191336750e+00
2.0000000000e+01   -3.0708201966e+00
2.1000000000e+01   -3.1116347412e+00
2.2000000000e+01   -3.0764759323e+00
2.3000000000e+01   -3.1777775394e+00
2.4000000000e+01   -3.2615406691e+00
2.5000000000e+01   -3.1665743848e+00
2.6000000000e+01   -3.3371333663e+00
2.7000000000e+01   -3.3315891176e+00
2.8000000000e+01   -3.2997604994e+00
2.9000000000e+01   -3.4197410606e+00
3.0000000000e+01   -3.4581184154e+00
3.1000000000e+01   -3.3731673932e+00
3.2000000000e+01   -3.5644300884e+00
3.3000000000e+01   -3.5134944367e+00
3.4000000000e+01   -3.4942230568e+00
3.5000000000e+01   -3.6344460243e+00
3.6000000000e+01   -3.6269957134e+00
3.7000000000e+01   -3.5600259575e+00
3.8000000000e+01   -3.7751491434e+00
3.9000000000e+01   -3.6762516331e+00
4.0000000000e+01   -3.6772086382e+00
4.1000000000e+01   -3.8423925626e+00
4.2000000000e+01   -3.7840329514e+00
4.3000000000e+01   -3.7431515555e+00
4.4000000000e+01   -3.9913440067e+00
4.5000000000e+01   -3.8344987615e+00
4.6000000000e+01   -3.8652333634e+00
4.7000000000e+01   -4.0698004614e+00
4.8000000000e+01   -3.9437694092e+00
4.9000000000e+01   -3.9421472878e+00
5.0000000000e+01   -4.2517293792e+00
5.1000000000e+01   -4.0048997559e+00
5.2000000000e+01   -4.0847557440e+00
5.3000000000e+01   -4.3780124935e+00
5.4000000000e+01   -4.1265861195e+00
5.5000000000e+01   -4.1982269463e+00
5.6000000000e+01   -4.6960441820e+00
5.7000000000e+01   -4.2177711520e+00
5.8000000000e+01   -4.4113043973e+00
5.9000000000e+01   -5.5097355888e+00
6.0000000000e+01   -4.6806399324e+00
6.1000000000e+01   -4.9932353145e+00
6.2000000000e+01   -5.2524217730e+00
6.3000000000e+01   -4.8737544776e+00
6.4000000000e+01   -1.4317479892e+01
6.5000000000e+01   -4.8737512418e+00
6.6000000000e+01   -5.2524328735e+00
6.7000000000e+01   -4.9932287251e+00
6.8000000000e+01   -4.6806330798e+00
6.9000000000e+01   -5.5097819951e+00
