X    Y
0.0000000000e+00   -9.8258700690e+00
1.0000000000e+00   -4.7467803500e+00
2.0000000000e+00   -4.9121188039e+00
3.0000000000e+00   -4.5769727759e+00
4.0000000000e+00   -4.8034418801e+00
5.0000000000e+00   -5.3134800699e+00
6.0000000000e+00   -4.2393740267e+00
7.0000000000e+00   -4.4647568632e+00
8.0000000000e+00   -4.8075456775e+00
9.0000000000e+00   -4.0885727638e+00
1.0000000000e+01   -4.4635851247e+00
1.1000000000e+01   -4.4050018239e+00
1.2000000000e+01   -4.0513709806e+00
1.3000000000e+01   -4.6997237997e+00
1.4000000000e+01   -4.2636352238e+00
1.5000000000e+01   -4.1197035953e+00
1.6000000000e+01   -5.9990522473e+00
1.7000000000e+01   -4.2945533395e+00
1.8000000000e+01   -4.3362294664e+00
1.9000000000e+01   -5.0218382208e+00
2.0000000000e+01   -4.6519802540e+00
2.1000000000e+01   -5.0699608468e+00
2.2000000000e+01   -5.7684190140e+00
2.3000000000e+01   -4.4847321808e+00
2.4000000000e+01   -4.6050057866e+00
2.5000000000e+01   -4.3049904725e+00
2.6000000000e+01   -3.9225365256e+00
2.7000000000e+01   -4.3916943374e+00
2.8000000000e+01   -3.7628889469e+00
2.9000000000e+01   -3.5405459677e+00
3.0000000000e+01   -5.1185087778e+00
3.1000000000e+01   -3.1392115554e+00
3.2000000000e+01   -4.2577821706e+00
3.3000000000e+01   -4.1902028488e+00
3.4000000000e+01   -3.6651207960e+00
3.5000000000e+01   -4.0122896552e+00
3.6000000000e+01   -4.3185979755e+00
3.7000000000e+01   -4.1171666868e+00
3.8000000000e+01   -4.6922820977e+00
3.9000000000e+01   -4.7422485544e+00
4.0000000000e+01   -4.8559912690e+00
4.1000000000e+01   -6.2865794625e+00
4.2000000000e+01   -5.1230356937e+00
4.3000000000e+01   -4.8794091583e+00
4.4000000000e+01   -7.5184978317e+00
4.5000000000e+01   -4.6216764699e+00
4.6000000000e+01   -4.6997252254e+00
4.7000000000e+01   -5.1557765893e+00
4.8000000000e+01   -4.5283074956e+00
4.9000000000e+01   -4.7989740392e+00
5.0000000000e+01   -4.8939451932e+00
5.1000000000e+01   -4.5710650765e+00
5.2000000000e+01   -5.0769931866e+00
5.3000000000e+01   -4.8373972096e+00
5.4000000000e+01   -4.6961035180e+00
5.5000000000e+01   -5.6613009527e+00
5.6000000000e+01   -4.8476700004e+00
5.7000000000e+01   -4.8122311332e+00
5.8000000000e+01   -5.6854911883e+00
5.9000000000e+01   -4.6775751887e+00
6.0000000000e+01   -4.6351097429e+00
6.1000000000e+01   -4.7608284443e+00
6.2000000000e+01   -3.9595079657e+00
6.3000000000e+01   -3.7575238642e+00
6.4000000000e+01   -3.7575238642e+00
6.5000000000e+01   -3.9595079657e+00
6.6000000000e+01   -4.7608284445e+00
6.7000000000e+01   -4.6351097430e+00
6.8000000000e+01   -4.6775751885e+00
6.9000000000e+01   -5.6854911895e+00
7.0000000000e+01   -4.8122311334e+00
7.1000000000e+01   -4.8476700002e+00
7.2000000000e+01   -5.6613009517e+00
7.3000000000e+01   -4.6961035181e+00
7.4000000000e+01   -4.8373972095e+00
7.5000000000e+01   -5.0769931865e+00
7.6000000000e+01   -4.5710650765e+00
7.7000000000e+01   -4.8939451931e+00
7.8000000000e+01   -4.7989740391e+00
7.9000000000e+01   -4.5283074956e+00
8.0000000000e+01   -5.1557765892e+00
8.1000000000e+01   -4.6997252254e+00
8.2000000000e+01   -4.6216764699e+00
8.3000000000e+01   -7.5184978202e+00
8.4000000000e+01   -4.8794091583e+00
8.5000000000e+01   -5.1230356936e+00
8.6000000000e+01   -6.2865794601e+00
8.7000000000e+01   -4.8559912688e+00
8.8000000000e+01   -4.7422485545e+00
8.9000000000e+01   -4.6922820978e+00
9.0000000000e+01   -4.1171666867e+00
9.1000000000e+01   -4.3185979756e+00
9.2000000000e+01   -4.0122896552e+00
9.3000000000e+01   -3.6651207960e+00
9.4000000000e+01   -4.1902028489e+00
9.5000000000e+01   -4.2577821706e+00
9.6000000000e+01   -3.1392115554e+00
9.7000000000e+01   -5.1185087768e+00
9.8000000000e+01   -3.5405459677e+00
9.9000000000e+01   -3.7628889468e+00
1.0000000000e+02   -4.3916943372e+00
1.0100000000e+02   -3.9225365257e+00
1.0200000000e+02   -4.3049904723e+00
1.0300000000e+02   -4.6050057862e+00
1.0400000000e+02   -4.4847321811e+00
1.0500000000e+02   -5.7684190079e+00
1.0600000000e+02   -5.0699608480e+00
1.0700000000e+02   -4.6519802535e+00
1.0800000000e+02   -5.0218382222e+00
1.0900000000e+02   -4.3362294667e+00
1.1000000000e+02   -4.2945533392e+00
1.1100000000e+02   -5.9990522324e+00
1.1200000000e+02   -4.1197035955e+00
1.1300000000e+02   -4.2636352235e+00
1.1400000000e+02   -4.6997237988e+00
1.1500000000e+02   -4.0513709808e+00
1.1600000000e+02   -4.4050018234e+00
1.1700000000e+02   -4.4635851241e+00
1.1800000000e+02   -4.0885727641e+00
1.1900000000e+02   -4.8075456760e+00
1.2000000000e+02   -4.4647568626e+00
1.2100000000e+02   -4.2393740271e+00
1.2200000000e+02   -5.3134800746e+00
1.2300000000e+02   -4.8034418786e+00
1.2400000000e+02   -4.5769727769e+00
1.2500000000e+02   -4.9121188061e+00
1.2600000000e+02   -4.7467803516e+00
1.2700000000e+02   -9.8232664559e+00
