X    Y
0.0000000000e+00   -2.8845022130e-01
1.0000000000e+00   -2.7209685940e-01
2.0000000000e+00   -2.5628318392e-01
3.0000000000e+00   -2.4104368622e-01
4.0000000000e+00   -2.2629298341e-01
5.0000000000e+00   -2.1214131045e-01
6.0000000000e+00   -1.9854904774e-01
7.0000000000e+00   -1.8533030584e-01
8.0000000000e+00   -1.7273140664e-01
9.0000000000e+00   -1.6071110127e-01
1.0000000000e+01   -1.4896890503e-01
1.1000000000e+01   -1.3781984436e-01
1.2000000000e+01   -1.2727709910e-01
1.3000000000e+01   -1.1696148308e-01
1.4000000000e+01   -1.0717527126e-01
1.5000000000e+01   -9.8000108707e-02
1.6000000000e+01   -8.9054729483e-02
1.7000000000e+01   -8.0564601175e-02
1.8000000000e+01   -7.2640156409e-02
1.9000000000e+01   -6.4992318685e-02
2.0000000000e+01   -5.7750334894e-02
2.1000000000e+01   -5.0962982275e-02
2.2000000000e+01   -4.4517641877e-02
2.3000000000e+01   -3.8490990700e-02
2.4000000000e+01   -3.2737297114e-02
2.5000000000e+01   -2.7372462851e-02
2.6000000000e+01   -2.2548392885e-02
2.7000000000e+01   -1.7733109209e-02
2.8000000000e+01   -1.3274834730e-02
2.9000000000e+01   -9.7292171473e-03
3.0000000000e+01   -5.7382053873e-03
3.1000000000e+01   -1.6266207025e-03
3.2000000000e+01   -8.0340413187e-04
3.3000000000e+01   -3.5002850542e-03
3.4000000000e+01   -6.3228059580e-03
3.5000000000e+01   -8.2852929825e-03
3.6000000000e+01   -1.0353540727e-02
3.7000000000e+01   -1.2249127861e-02
3.8000000000e+01   -1.3684850138e-02
3.9000000000e+01   -1.4989628599e-02
4.0000000000e+01   -1.6103431201e-02
4.1000000000e+01   -1.6959992962e-02
4.2000000000e+01   -1.7634207035e-02
4.3000000000e+01   -1.8086905381e-02
4.4000000000e+01   -1.8388814125e-02
4.5000000000e+01   -1.8525616165e-02
4.6000000000e+01   -1.8427962339e-02
4.7000000000e+01   -1.8229432287e-02
4.8000000000e+01   -1.7905831810e-02
4.9000000000e+01   -1.7360412388e-02
5.0000000000e+01   -1.6732947564e-02
5.1000000000e+01   -1.6020310557e-02
5.2000000000e+01   -1.5120178485e-02
5.3000000000e+01   -1.4145462981e-02
5.4000000000e+01   -1.3116957034e-02
5.5000000000e+01   -1.1945846050e-02
5.6000000000e+01   -1.0708423319e-02
5.7000000000e+01   -9.4450380162e-03
5.8000000000e+01   -8.0801162971e-03
5.9000000000e+01   -6.6558992368e-03
6.0000000000e+01   -5.2583774653e-03
6.1000000000e+01   -3.7793111173e-03
6.2000000000e+01   -2.1564200046e-03
6.3000000000e+01   -9.3167315969e-04
6.4000000000e+01   -9.3167315969e-04
6.5000000000e+01   -2.1564200046e-03
6.6000000000e+01   -3.7793111173e-03
6.7000000000e+01   -5.2583774653e-03
6.8000000000e+01   -6.6558992368e-03
6.9000000000e+01   -8.0801162971e-03
7.0000000000e+01   -9.4450380162e-03
7.1000000000e+01   -1.0708423319e-02
7.2000000000e+01   -1.1945846050e-02
7.3000000000e+01   -1.3116957034e-02
7.4000000000e+01   -1.4145462981e-02
7.5000000000e+01   -1.5120178485e-02
7.6000000000e+01   -1.6020310557e-02
7.7000000000e+01   -1.6732947564e-02
7.8000000000e+01   -1.7360412388e-02
7.9000000000e+01   -1.7905831810e-02
8.0000000000e+01   -1.8229432287e-02
8.1000000000e+01   -1.8427962339e-02
8.2000000000e+01   -1.8525616165e-02
8.3000000000e+01   -1.8388814125e-02
8.4000000000e+01   -1.8086905381e-02
8.5000000000e+01   -1.7634207035e-02
8.6000000000e+01   -1.6959992962e-02
8.7000000000e+01   -1.6103431201e-02
8.8000000000e+01   -1.4989628599e-02
8.9000000000e+01   -1.3684850138e-02
9.0000000000e+01   -1.2249127861e-02
9.1000000000e+01   -1.0353540727e-02
9.2000000000e+01   -8.2852929825e-03
9.3000000000e+01   -6.3228059580e-03
9.4000000000e+01   -3.5002850542e-03
9.5000000000e+01   -8.0340413188e-04
9.6000000000e+01   -1.6266207025e-03
9.7000000000e+01   -5.7382053873e-03
9.8000000000e+01   -9.7292171473e-03
9.9000000000e+01   -1.3274834730e-02
1.0000000000e+02   -1.7733109209e-02
1.0100000000e+02   -2.2548392885e-02
1.0200000000e+02   -2.7372462851e-02
1.0300000000e+02   -3.2737297114e-02
1.0400000000e+02   -3.8490990700e-02
1.0500000000e+02   -4.4517641877e-02
1.0600000000e+02   -5.0962982274e-02
1.0700000000e+02   -5.7750334894e-02
1.0800000000e+02   -6.4992318685e-02
1.0900000000e+02   -7.2640156409e-02
1.1000000000e+02   -8.0564601175e-02
1.1100000000e+02   -8.9054729483e-02
1.1200000000e+02   -9.8000108707e-02
1.1300000000e+02   -1.0717527126e-01
1.1400000000e+02   -1.1696148308e-01
1.1500000000e+02   -1.2727709910e-01
1.1600000000e+02   -1.3781984436e-01
1.1700000000e+02   -1.4896890503e-01
1.1800000000e+02   -1.6071110127e-01
1.1900000000e+02   -1.7273140664e-01
1.2000000000e+02   -1.8533030584e-01
1.2100000000e+02   -1.9854904774e-01
1.2200000000e+02   -2.1214131045e-01
1.2300000000e+02   -2.2629298341e-01
1.2400000000e+02   -2.4104368622e-01
1.2500000000e+02   -2.5628318392e-01
1.2600000000e+02   -2.7209685940e-01
1.2700000000e+02   -2.8845022130e-01
