X    Y
0.0000000000e+00   -4.1947731537e+00
1.0000000000e+00   -4.2454917476e+00
2.0000000000e+00   -4.2657412405e+00
3.0000000000e+00   -4.5025794585e+00
4.0000000000e+00   -4.2941211185e+00
5.0000000000e+00   -4.2727748714e+00
6.0000000000e+00   -5.3392783938e+00
7.0000000000e+00   -4.4273550777e+00
8.0000000000e+00   -4.2579262174e+00
9.0000000000e+00   -4.9040381242e+00
1.0000000000e+01   -4.7231378343e+00
1.1000000000e+01   -4.2672019595e+00
1.2000000000e+01   -4.7273786820e+00
1.3000000000e+01   -6.4722445924e+00
1.4000000000e+01   -4.3407914149e+00
1.5000000000e+01   -4.7788351658e+00
1.6000000000e+01   -4.8967494554e+00
1.7000000000e+01   -4.5459527079e+00
1.8000000000e+01   -4.9539881969e+00
1.9000000000e+01   -4.8143313078e+00
2.0000000000e+01   -5.4195730889e+00
2.1000000000e+01   -5.0857124952e+00
2.2000000000e+01   -5.3708057187e+00
2.3000000000e+01   -4.5971878804e+00
2.4000000000e+01   -4.8439761752e+00
2.5000000000e+01   -4.6215205606e+00
2.6000000000e+01   -4.2518823079e+00
2.7000000000e+01   -4.4174372573e+00
2.8000000000e+01   -4.1020085099e+00
2.9000000000e+01   -4.0560785745e+00
3.0000000000e+01   -4.0006754063e+00
3.1000000000e+01   -3.5090403403e+00
3.2000000000e+01   -3.0347267660e+00
3.3000000000e+01   -3.4427277787e+00
3.4000000000e+01   -3.6385317273e+00
3.5000000000e+01   -4.3836664415e+00
3.6000000000e+01   -3.8967716057e+00
3.7000000000e+01   -4.2481807973e+00
3.8000000000e+01   -4.8789427748e+00
3.9000000000e+01   -4.1442475408e+00
4.0000000000e+01   -5.2096369327e+00
4.1000000000e+01   -4.9526146239e+00
4.2000000000e+01   -4.3877025781e+00
4.3000000000e+01   -4.8450364403e+00
4.4000000000e+01   -4.7726477656e+00
4.5000000000e+01   -4.6955669279e+00
4.6000000000e+01   -4.6864443923e+00
4.7000000000e+01   -4.5969689550e+00
4.8000000000e+01   -5.2295234198e+00
4.9000000000e+01   -4.7371346887e+00
5.0000000000e+01   -4.4659982751e+00
5.1000000000e+01   -5.4587781959e+00
5.2000000000e+01   -4.9918278921e+00
5.3000000000e+01   -4.3646815385e+00
5.4000000000e+01   -5.0287893832e+00
5.5000000000e+01   -5.4858390625e+00
5.6000000000e+01   -4.2648521629e+00
5.7000000000e+01   -4.8838126378e+00
5.8000000000e+01   -4.5793897308e+00
5.9000000000e+01   -4.1135409003e+00
6.0000000000e+01   -4.8202096517e+00
6.1000000000e+01   -4.0486295295e+00
6.2000000000e+01   -3.7534984652e+00
6.3000000000e+01   -7.9903519396e+00
6.4000000000e+01   -3.7733339082e+00
6.5000000000e+01   -4.0169042563e+00
6.6000000000e+01   -4.7110124190e+00
6.7000000000e+01   -4.1485583055e+00
6.8000000000e+01   -4.4883555903e+00
6.9000000000e+01   -4.7542274277e+00
7.0000000000e+01   -4.3073364361e+00
7.1000000000e+01   -5.0665898508e+00
7.2000000000e+01   -4.8726732715e+00
7.3000000000e+01   -4.4073863736e+00
7.4000000000e+01   -5.2213909998e+00
7.5000000000e+01   -5.1800639056e+00
7.6000000000e+01   -4.5030790907e+00
7.7000000000e+01   -4.8068671559e+00
7.8000000000e+01   -5.3916419956e+00
7.9000000000e+01   -4.6203608689e+00
8.0000000000e+01   -4.7057697972e+00
8.1000000000e+01   -4.6990494122e+00
8.2000000000e+01   -4.7638642540e+00
8.3000000000e+01   -4.8077843125e+00
8.4000000000e+01   -4.3675351633e+00
8.5000000000e+01   -4.8757211326e+00
8.6000000000e+01   -5.6240518567e+00
8.7000000000e+01   -4.1172407627e+00
8.8000000000e+01   -4.7645268771e+00
8.9000000000e+01   -4.3022297102e+00
9.0000000000e+01   -3.8695198825e+00
9.1000000000e+01   -4.3321020787e+00
9.2000000000e+01   -3.6565279940e+00
9.3000000000e+01   -3.4221273869e+00
9.4000000000e+01   -3.0307275512e+00
9.5000000000e+01   -3.4948438681e+00
9.6000000000e+01   -3.9388441143e+00
9.7000000000e+01   -3.9977229686e+00
9.8000000000e+01   -4.1977546401e+00
9.9000000000e+01   -4.2502106288e+00
1.0000000000e+02   -4.1338465801e+00
1.0100000000e+02   -5.3438043600e+00
1.0200000000e+02   -4.4484801218e+00
1.0300000000e+02   -4.3248600508e+00
1.0400000000e+02   -4.5538865957e+00
1.0500000000e+02   -4.4773736952e+00
1.0600000000e+02   -4.6418361417e+00
1.0700000000e+02   -4.3592484700e+00
1.0800000000e+02   -4.3923016191e+00
1.0900000000e+02   -5.5434670543e+00
1.1000000000e+02   -4.3361838375e+00
1.1100000000e+02   -4.2938960709e+00
1.1200000000e+02   -5.0260158072e+00
1.1300000000e+02   -4.4160714684e+00
1.1400000000e+02   -4.2352886538e+00
1.1500000000e+02   -4.8979540587e+00
1.1600000000e+02   -4.5978726581e+00
1.1700000000e+02   -4.2397288608e+00
1.1800000000e+02   -5.0840783431e+00
1.1900000000e+02   -4.9061139430e+00
1.2000000000e+02   -4.3321773443e+00
1.2100000000e+02   -6.4328883690e+00
1.2200000000e+02   -5.3149963995e+00
1.2300000000e+02   -4.5858171237e+00
1.2400000000e+02   -5.2819510761e+00
1.2500000000e+02   -5.3040877708e+00
1.2600000000e+02   -1.0866802143e+01
