X    Y
0.0000000000e+00   1.4006843174e-01
1.0000000000e+00   1.3203065043e-01
2.0000000000e+00   1.2426780277e-01
3.0000000000e+00   1.1680004118e-01
4.0000000000e+00   1.0956048797e-01
5.0000000000e+00   1.0260360698e-01
6.0000000000e+00   9.5959427157e-02
7.0000000000e+00   8.9490515614e-02
8.0000000000e+00   8.3288916184e-02
9.0000000000e+00   7.7420683818e-02
1.0000000000e+01   7.1696705785e-02
1.1000000000e+01   6.6207813239e-02
1.2000000000e+01   6.1061159432e-02
1.3000000000e+01   5.6052466821e-02
1.4000000000e+01   5.1242866009e-02
1.5000000000e+01   4.6761623148e-02
1.6000000000e+01   4.2430454855e-02
1.7000000000e+01   3.8273902650e-02
1.8000000000e+01   3.4405332148e-02
1.9000000000e+01   3.0704191806e-02
2.0000000000e+01   2.7177966963e-02
2.1000000000e+01   2.3876663058e-02
2.2000000000e+01   2.0748653577e-02
2.3000000000e+01   1.7830373178e-02
2.4000000000e+01   1.5060356932e-02
2.5000000000e+01   1.2438814398e-02
2.6000000000e+01   1.0106629731e-02
2.7000000000e+01   7.8435317672e-03
2.8000000000e+01   5.6430934334e-03
2.9000000000e+01   3.8846347460e-03
3.0000000000e+01   2.1243921771e-03
3.1000000000e+01   3.0971316025e-04
3.2000000000e+01   1.5509521375e-04
3.3000000000e+01   2.0570489156e-03
3.4000000000e+01   3.8521368529e-03
3.5000000000e+01   4.6546788511e-03
3.6000000000e+01   5.5167511543e-03
3.7000000000e+01   6.5259537103e-03
3.8000000000e+01   7.1650083392e-03
3.9000000000e+01   7.7025692194e-03
4.0000000000e+01   8.2684149564e-03
4.1000000000e+01   8.6353846985e-03
4.2000000000e+01   8.8907408951e-03
4.3000000000e+01   9.1079346883e-03
4.4000000000e+01   9.2057468049e-03
4.5000000000e+01   9.2172546289e-03
4.6000000000e+01   9.1505012240e-03
4.7000000000e+01   9.0028608829e-03
4.8000000000e+01   8.8072309196e-03
4.9000000000e+01   8.5121856295e-03
5.0000000000e+01   8.1505955945e-03
5.1000000000e+01   7.7839808981e-03
5.2000000000e+01   7.3119495924e-03
5.3000000000e+01   6.7710236523e-03
5.4000000000e+01   6.2705715590e-03
5.5000000000e+01   5.6709300762e-03
5.6000000000e+01   4.9837199450e-03
5.7000000000e+01   4.3899879617e-03
5.8000000000e+01   3.7150802734e-03
5.9000000000e+01   2.9010352446e-03
6.0000000000e+01   2.2644222079e-03
6.1000000000e+01   1.5964463702e-03
6.2000000000e+01   5.7937168956e-04
6.3000000000e+01   1.0224640815e-08
6.4000000000e+01   5.8724720803e-04
6.5000000000e+01   1.6032220165e-03
6.6000000000e+01   2.2687469448e-03
6.7000000000e+01   2.9069996573e-03
6.8000000000e+01   3.7212227303e-03
6.9000000000e+01   4.3945311524e-03
7.0000000000e+01   4.9887842836e-03
7.1000000000e+01   5.6762414635e-03
7.2000000000e+01   6.2746198141e-03
7.3000000000e+01   6.7750678627e-03
7.4000000000e+01   7.3161332163e-03
7.5000000000e+01   7.7871097235e-03
7.6000000000e+01   8.1533943064e-03
7.7000000000e+01   8.5149027958e-03
7.8000000000e+01   8.8090673920e-03
7.9000000000e+01   9.0041872662e-03
8.0000000000e+01   9.1513971518e-03
8.1000000000e+01   9.2174156185e-03
8.2000000000e+01   9.2054019509e-03
8.3000000000e+01   9.1066550432e-03
8.4000000000e+01   8.8887942532e-03
8.5000000000e+01   8.6332244460e-03
8.6000000000e+01   8.2646204061e-03
8.7000000000e+01   7.6979665023e-03
8.8000000000e+01   7.1610252276e-03
8.9000000000e+01   6.5193455946e-03
9.0000000000e+01   5.5085375238e-03
9.1000000000e+01   4.6494676702e-03
9.2000000000e+01   3.8428064731e-03
9.3000000000e+01   2.0395220482e-03
9.4000000000e+01   1.4655507770e-04
9.5000000000e+01   3.2000453412e-04
9.6000000000e+01   2.1396689274e-03
9.7000000000e+01   3.8972740793e-03
9.8000000000e+01   5.6587369544e-03
9.9000000000e+01   7.8614946832e-03
1.0000000000e+02   1.0124116138e-02
1.0100000000e+02   1.2458187869e-02
1.0200000000e+02   1.5081639996e-02
1.0300000000e+02   1.7852421513e-02
1.0400000000e+02   2.0772328420e-02
1.0500000000e+02   2.3901768074e-02
1.0600000000e+02   2.7204584622e-02
1.0700000000e+02   3.0732584525e-02
1.0800000000e+02   3.4434737229e-02
1.0900000000e+02   3.8305211458e-02
1.1000000000e+02   4.2463883255e-02
1.1100000000e+02   4.6795810813e-02
1.1200000000e+02   5.1279073056e-02
1.1300000000e+02   5.6091168329e-02
1.1400000000e+02   6.1100597474e-02
1.1500000000e+02   6.6249214829e-02
1.1600000000e+02   7.1740865424e-02
1.1700000000e+02   7.7465791009e-02
1.1800000000e+02   8.3335893413e-02
1.1900000000e+02   8.9540309364e-02
1.2000000000e+02   9.6010545241e-02
1.2100000000e+02   1.0265659905e-01
1.2200000000e+02   1.0961613151e-01
1.2300000000e+02   1.1685742942e-01
1.2400000000e+02   1.2432725972e-01
1.2500000000e+02   1.3209243627e-01
1.2600000000e+02   1.4013229145e-01
