X    Y
1.0000000000e-01   7.7380000000e-02
2.0000000000e-01   5.9470000000e-02
3.0000000000e-01   3.9870000000e-02
4.0000000000e-01   1.9630000000e-02
4.4000000000e-01   1.1860000000e-02
4.8000000000e-01   4.6460000000e-03
5.0000000000e-01   3.1050000000e-03
5.4000000000e-01   4.4390000000e-03
5.4000000000e-01   8.6360000000e-03
6.0000000000e-01   1.0020000000e-02
7.0000000000e-01   7.8320000000e-03
7.2000000000e-01   5.4900000000e-03
7.4000000000e-01   2.6230000000e-03
7.6000000000e-01   1.4410000000e-03
7.8000000000e-01   4.1540000000e-03
8.0000000000e-01   7.3330000000e-03
9.0000000000e-01   6.2930000000e-03
