X    Y
5.0000000000e+00   2.5412943306e-02
5.0155015502e+00   2.5328048917e-02
5.0310031003e+00   2.5243516412e-02
5.0465046505e+00   2.5159343747e-02
5.0620062006e+00   2.5075528893e-02
5.0775077508e+00   2.4992069838e-02
5.0930093009e+00   2.4908964584e-02
5.1085108511e+00   2.4826211149e-02
5.1240124012e+00   2.4743807565e-02
5.1395139514e+00   2.4661751878e-02
5.1550155016e+00   2.4580042151e-02
5.1705170517e+00   2.4498676459e-02
5.1860186019e+00   2.4417652894e-02
5.2015201520e+00   2.4336969558e-02
5.2170217022e+00   2.4256624571e-02
5.2325232523e+00   2.4176616066e-02
5.2480248025e+00   2.4096942187e-02
5.2635263526e+00   2.4017601096e-02
5.2790279028e+00   2.3938590965e-02
5.2945294529e+00   2.3859909980e-02
5.3100310031e+00   2.3781556343e-02
5.3255325533e+00   2.3703528265e-02
5.3410341034e+00   2.3625823972e-02
5.3565356536e+00   2.3548441703e-02
5.3720372037e+00   2.3471379710e-02
5.3875387539e+00   2.3394636257e-02
5.4030403040e+00   2.3318209620e-02
5.4185418542e+00   2.3242098089e-02
5.4340434043e+00   2.3166299963e-02
5.4495449545e+00   2.3090813558e-02
5.4650465047e+00   2.3015637198e-02
5.4805480548e+00   2.2940769220e-02
5.4960496050e+00   2.2866207973e-02
5.5115511551e+00   2.2791951819e-02
5.5270527053e+00   2.2717999129e-02
5.5425542554e+00   2.2644348288e-02
5.5580558056e+00   2.2570997691e-02
5.5735573557e+00   2.2497945744e-02
5.5890589059e+00   2.2425190864e-02
5.6045604560e+00   2.2352731481e-02
5.6200620062e+00   2.2280566035e-02
5.6355635564e+00   2.2208692975e-02
5.6510651065e+00   2.2137110763e-02
5.6665666567e+00   2.2065817872e-02
5.6820682068e+00   2.1994812783e-02
5.6975697570e+00   2.1924093989e-02
5.7130713071e+00   2.1853659995e-02
5.7285728573e+00   2.1783509314e-02
5.7440744074e+00   2.1713640469e-02
5.7595759576e+00   2.1644051995e-02
5.7750775078e+00   2.1574742435e-02
5.7905790579e+00   2.1505710344e-02
5.8060806081e+00   2.1436954286e-02
5.8215821582e+00   2.1368472833e-02
5.8370837084e+00   2.1300264570e-02
5.8525852585e+00   2.1232328088e-02
5.8680868087e+00   2.1164661991e-02
5.8835883588e+00   2.1097264890e-02
5.8990899090e+00   2.1030135405e-02
5.9145914591e+00   2.0963272168e-02
5.9300930093e+00   2.0896673817e-02
5.9455945595e+00   2.0830339002e-02
5.9610961096e+00   2.0764266379e-02
5.9765976598e+00   2.0698454615e-02
5.9920992099e+00   2.0632902386e-02
6.0076007601e+00   2.0567608376e-02
6.0231023102e+00   2.0502571277e-02
6.0386038604e+00   2.0437789791e-02
6.0541054105e+00   2.0373262627e-02
6.0696069607e+00   2.0308988506e-02
6.0851085109e+00   2.0244966152e-02
6.1006100610e+00   2.0181194302e-02
6.1161116112e+00   2.0117671700e-02
6.1316131613e+00   2.0054397096e-02
6.1471147115e+00   1.9991369250e-02
6.1626162616e+00   1.9928586932e-02
6.1781178118e+00   1.9866048915e-02
6.1936193619e+00   1.9803753985e-02
6.2091209121e+00   1.9741700934e-02
6.2246224622e+00   1.9679888559e-02
6.2401240124e+00   1.9618315670e-02
6.2556255626e+00   1.9556981079e-02
6.2711271127e+00   1.9495883612e-02
6.2866286629e+00   1.9435022096e-02
6.3021302130e+00   1.9374395370e-02
6.3176317632e+00   1.9314002278e-02
6.3331333133e+00   1.9253841674e-02
6.3486348635e+00   1.9193912416e-02
6.3641364136e+00   1.9134213371e-02
6.3796379638e+00   1.9074743414e-02
6.3951395140e+00   1.9015501425e-02
6.4106410641e+00   1.8956486293e-02
6.4261426143e+00   1.8897696913e-02
6.4416441644e+00   1.8839132187e-02
6.4571457146e+00   1.8780791023e-02
6.4726472647e+00   1.8722672339e-02
6.4881488149e+00   1.8664775056e-02
6.5036503650e+00   1.8607098104e-02
6.5191519152e+00   1.8549640419e-02
6.5346534653e+00   1.8492400944e-02
6.5501550155e+00   1.8435378628e-02
6.5656565657e+00   1.8378572426e-02
6.5811581158e+00   1.8321981301e-02
6.5966596660e+00   1.8265604222e-02
6.6121612161e+00   1.8209440163e-02
6.6276627663e+00   1.8153488106e-02
6.6431643164e+00   1.8097747038e-02
6.6586658666e+00   1.8042215953e-02
6.6741674167e+00   1.7986893851e-02
6.6896689669e+00   1.7931779739e-02
6.7051705171e+00   1.7876872627e-02
6.7206720672e+00   1.7822171535e-02
6.7361736174e+00   1.7767675486e-02
6.7516751675e+00   1.7713383511e-02
6.7671767177e+00   1.7659294645e-02
6.7826782678e+00   1.7605407930e-02
6.7981798180e+00   1.7551722414e-02
6.8136813681e+00   1.7498237150e-02
6.8291829183e+00   1.7444951197e-02
6.8446844684e+00   1.7391863619e-02
6.8601860186e+00   1.7338973488e-02
6.8756875688e+00   1.7286279878e-02
6.8911891189e+00   1.7233781871e-02
6.9066906691e+00   1.7181478554e-02
6.9221922192e+00   1.7129369019e-02
6.9376937694e+00   1.7077452364e-02
6.9531953195e+00   1.7025727693e-02
6.9686968697e+00   1.6974194112e-02
6.9841984198e+00   1.6922850737e-02
6.9996999700e+00   1.6871696685e-02
7.0152015202e+00   1.6820731081e-02
7.0307030703e+00   1.6769953055e-02
7.0462046205e+00   1.6719361741e-02
7.0617061706e+00   1.6668956277e-02
7.0772077208e+00   1.6618735810e-02
7.0927092709e+00   1.6568699487e-02
7.1082108211e+00   1.6518846465e-02
7.1237123712e+00   1.6469175901e-02
7.1392139214e+00   1.6419686962e-02
7.1547154715e+00   1.6370378815e-02
7.1702170217e+00   1.6321250635e-02
7.1857185719e+00   1.6272301600e-02
7.2012201220e+00   1.6223530896e-02
7.2167216722e+00   1.6174937708e-02
7.2322232223e+00   1.6126521231e-02
7.2477247725e+00   1.6078280663e-02
7.2632263226e+00   1.6030215205e-02
7.2787278728e+00   1.5982324065e-02
7.2942294229e+00   1.5934606454e-02
7.3097309731e+00   1.5887061587e-02
7.3252325233e+00   1.5839688686e-02
7.3407340734e+00   1.5792486975e-02
7.3562356236e+00   1.5745455683e-02
7.3717371737e+00   1.5698594045e-02
7.3872387239e+00   1.5651901297e-02
7.4027402740e+00   1.5605376684e-02
7.4182418242e+00   1.5559019450e-02
7.4337433743e+00   1.5512828848e-02
7.4492449245e+00   1.5466804132e-02
7.4647464746e+00   1.5420944563e-02
7.4802480248e+00   1.5375249402e-02
7.4957495750e+00   1.5329717919e-02
7.5112511251e+00   1.5284349384e-02
7.5267526753e+00   1.5239143074e-02
7.5422542254e+00   1.5194098269e-02
7.5577557756e+00   1.5149214253e-02
7.5732573257e+00   1.5104490314e-02
7.5887588759e+00   1.5059925743e-02
