X    Y
-1.0000000000e+02   1.4951457225e-22
-9.9951159951e+01   1.8732633926e-09
-9.9902319902e+01   3.7465322972e-09
-9.9853479853e+01   5.6198122259e-09
-9.9804639805e+01   7.4931086907e-09
-9.9755799756e+01   9.3664272040e-09
-9.9706959707e+01   1.1239773278e-08
-9.9658119658e+01   1.3113152425e-08
-9.9609279609e+01   1.4986570159e-08
-9.9560439560e+01   1.6860031992e-08
-9.9511599512e+01   1.8733543438e-08
-9.9462759463e+01   2.0607110010e-08
-9.9413919414e+01   2.2480737223e-08
-9.9365079365e+01   2.4354430591e-08
-9.9316239316e+01   2.6228195630e-08
-9.9267399267e+01   2.8102037854e-08
-9.9218559219e+01   2.9975962781e-08
-9.9169719170e+01   3.1849975927e-08
-9.9120879121e+01   3.3724082809e-08
-9.9072039072e+01   3.5598288946e-08
-9.9023199023e+01   3.7472599855e-08
-9.8974358974e+01   3.9347021057e-08
-9.8925518926e+01   4.1221558073e-08
-9.8876678877e+01   4.3096216422e-08
-9.8827838828e+01   4.4971001627e-08
-9.8778998779e+01   4.6845919212e-08
-9.8730158730e+01   4.8720974699e-08
-9.8681318681e+01   5.0596173614e-08
-9.8632478632e+01   5.2471521483e-08
-9.8583638584e+01   5.4347023833e-08
-9.8534798535e+01   5.6222686191e-08
-9.8485958486e+01   5.8098514088e-08
-9.8437118437e+01   5.9974513053e-08
-9.8388278388e+01   6.1850688617e-08
-9.8339438339e+01   6.3727046315e-08
-9.8290598291e+01   6.5603591680e-08
-9.8241758242e+01   6.7480330248e-08
-9.8192918193e+01   6.9357267556e-08
-9.8144078144e+01   7.1234409141e-08
-9.8095238095e+01   7.3111760545e-08
-9.8046398046e+01   7.4989327308e-08
-9.7997557998e+01   7.6867114974e-08
-9.7948717949e+01   7.8745129086e-08
-9.7899877900e+01   8.0623375191e-08
-9.7851037851e+01   8.2501858837e-08
-9.7802197802e+01   8.4380585573e-08
-9.7753357753e+01   8.6259560951e-08
-9.7704517705e+01   8.8138790523e-08
-9.7655677656e+01   9.0018279845e-08
-9.7606837607e+01   9.1898034473e-08
-9.7557997558e+01   9.3778059966e-08
-9.7509157509e+01   9.5658361884e-08
-9.7460317460e+01   9.7538945790e-08
-9.7411477411e+01   9.9419817250e-08
-9.7362637363e+01   1.0130098183e-07
-9.7313797314e+01   1.0318244509e-07
-9.7264957265e+01   1.0506421262e-07
