X    Y
-2.0000000000e+01   7.4578316063e-22
-1.9990231990e+01   9.3438938470e-09
-1.9980463980e+01   1.8687815109e-08
-1.9970695971e+01   2.8031791201e-08
-1.9960927961e+01   3.7375849540e-08
-1.9951159951e+01   4.6720017540e-08
-1.9941391941e+01   5.6064322619e-08
-1.9931623932e+01   6.5408792196e-08
-1.9921855922e+01   7.4753453688e-08
-1.9912087912e+01   8.4098334518e-08
-1.9902319902e+01   9.3443462106e-08
-1.9892551893e+01   1.0278886388e-07
-1.9882783883e+01   1.1213456726e-07
-1.9873015873e+01   1.2148059967e-07
-1.9863247863e+01   1.3082698856e-07
-1.9853479853e+01   1.4017376134e-07
-1.9843711844e+01   1.4952094546e-07
-1.9833943834e+01   1.5886856835e-07
-1.9824175824e+01   1.6821665745e-07
-1.9814407814e+01   1.7756524022e-07
-1.9804639805e+01   1.8691434410e-07
-1.9794871795e+01   1.9626399654e-07
-1.9785103785e+01   2.0561422499e-07
-1.9775335775e+01   2.1496505693e-07
-1.9765567766e+01   2.2431651980e-07
-1.9755799756e+01   2.3366864109e-07
-1.9746031746e+01   2.4302144827e-07
-1.9736263736e+01   2.5237496881e-07
-1.9726495726e+01   2.6172923019e-07
-1.9716727717e+01   2.7108425992e-07
-1.9706959707e+01   2.8044008547e-07
-1.9697191697e+01   2.8979673436e-07
-1.9687423687e+01   2.9915423409e-07
-1.9677655678e+01   3.0851261217e-07
-1.9667887668e+01   3.1787189612e-07
-1.9658119658e+01   3.2723211347e-07
-1.9648351648e+01   3.3659329174e-07
-1.9638583639e+01   3.4595545847e-07
-1.9628815629e+01   3.5531864122e-07
-1.9619047619e+01   3.6468286753e-07
-1.9609279609e+01   3.7404816497e-07
-1.9599511600e+01   3.8341456110e-07
-1.9589743590e+01   3.9278208350e-07
-1.9579975580e+01   4.0215075975e-07
-1.9570207570e+01   4.1152061745e-07
-1.9560439560e+01   4.2089168419e-07
-1.9550671551e+01   4.3026398759e-07
-1.9540903541e+01   4.3963755526e-07
-1.9531135531e+01   4.4901241484e-07
-1.9521367521e+01   4.5838859395e-07
-1.9511599512e+01   4.6776612025e-07
-1.9501831502e+01   4.7714502138e-07
-1.9492063492e+01   4.8652532503e-07
-1.9482295482e+01   4.9590705885e-07
-1.9472527473e+01   5.0529025054e-07
-1.9462759463e+01   5.1467492780e-07
-1.9452991453e+01   5.2406111833e-07
-1.9443223443e+01   5.3344884984e-07
-1.9433455433e+01   5.4283815008e-07
-1.9423687424e+01   5.5222904677e-07
-1.9413919414e+01   5.6162156767e-07
-1.9404151404e+01   5.7101574054e-07
-1.9394383394e+01   5.8041159316e-07
-1.9384615385e+01   5.8980915332e-07
-1.9374847375e+01   5.9920844881e-07
-1.9365079365e+01   6.0860950745e-07
-1.9355311355e+01   6.1801235705e-07
-1.9345543346e+01   6.2741702547e-07
-1.9335775336e+01   6.3682354055e-07
-1.9326007326e+01   6.4623193015e-07
-1.9316239316e+01   6.5564222215e-07
-1.9306471306e+01   6.6505444444e-07
-1.9296703297e+01   6.7446862492e-07
-1.9286935287e+01   6.8388479153e-07
-1.9277167277e+01   6.9330297217e-07
-1.9267399267e+01   7.0272319482e-07
-1.9257631258e+01   7.1214548742e-07
-1.9247863248e+01   7.2156987796e-07
-1.9238095238e+01   7.3099639442e-07
-1.9228327228e+01   7.4042506482e-07
-1.9218559219e+01   7.4985591717e-07
-1.9208791209e+01   7.5928897952e-07
-1.9199023199e+01   7.6872427993e-07
