X    Y
-2.0000000000e+01   1.2255114209e-18
-1.9990231990e+01   1.5354401569e-05
-1.9980463980e+01   3.0708892487e-05
-1.9970695971e+01   4.6063562103e-05
-1.9960927961e+01   6.1418499769e-05
-1.9951159951e+01   7.6773794840e-05
-1.9941391941e+01   9.2129536673e-05
-1.9931623932e+01   1.0748581463e-04
-1.9921855922e+01   1.2284271808e-04
-1.9912087912e+01   1.3820033639e-04
-1.9902319902e+01   1.5355875895e-04
-1.9892551893e+01   1.6891807514e-04
-1.9882783883e+01   1.8427837436e-04
-1.9873015873e+01   1.9963974602e-04
-1.9863247863e+01   2.1500227954e-04
-1.9853479853e+01   2.3036606434e-04
-1.9843711844e+01   2.4573118987e-04
-1.9833943834e+01   2.6109774558e-04
-1.9824175824e+01   2.7646582093e-04
-1.9814407814e+01   2.9183550542e-04
-1.9804639805e+01   3.0720688855e-04
-1.9794871795e+01   3.2258005982e-04
-1.9785103785e+01   3.3795510878e-04
-1.9775335775e+01   3.5333212497e-04
-1.9765567766e+01   3.6871119796e-04
-1.9755799756e+01   3.8409241736e-04
-1.9746031746e+01   3.9947587277e-04
-1.9736263736e+01   4.1486165383e-04
-1.9726495726e+01   4.3024985019e-04
-1.9716727717e+01   4.4564055154e-04
-1.9706959707e+01   4.6103384759e-04
-1.9697191697e+01   4.7642982806e-04
-1.9687423687e+01   4.9182858273e-04
-1.9677655678e+01   5.0723020136e-04
-1.9667887668e+01   5.2263477378e-04
-1.9658119658e+01   5.3804238983e-04
-1.9648351648e+01   5.5345313939e-04
-1.9638583639e+01   5.6886711236e-04
-1.9628815629e+01   5.8428439867e-04
-1.9619047619e+01   5.9970508830e-04
-1.9609279609e+01   6.1512927125e-04
-1.9599511600e+01   6.3055703755e-04
-1.9589743590e+01   6.4598847728e-04
-1.9579975580e+01   6.6142368054e-04
-1.9570207570e+01   6.7686273749e-04
-1.9560439560e+01   6.9230573831e-04
-1.9550671551e+01   7.0775277321e-04
-1.9540903541e+01   7.2320393247e-04
-1.9531135531e+01   7.3865930638e-04
-1.9521367521e+01   7.5411898530e-04
-1.9511599512e+01   7.6958305960e-04
-1.9501831502e+01   7.8505161973e-04
-1.9492063492e+01   8.0052475615e-04
-1.9482295482e+01   8.1600255939e-04
-1.9472527473e+01   8.3148512000e-04
-1.9462759463e+01   8.4697252862e-04
-1.9452991453e+01   8.6246487590e-04
-1.9443223443e+01   8.7796225254e-04
-1.9433455433e+01   8.9346474931e-04
-1.9423687424e+01   9.0897245703e-04
-1.9413919414e+01   9.2448546654e-04
-1.9404151404e+01   9.4000386877e-04
-1.9394383394e+01   9.5552775469e-04
-1.9384615385e+01   9.7105721532e-04
-1.9374847375e+01   9.8659234173e-04
-1.9365079365e+01   1.0021332251e-03
-1.9355311355e+01   1.0176799565e-03
-1.9345543346e+01   1.0332326273e-03
-1.9335775336e+01   1.0487913287e-03
-1.9326007326e+01   1.0643561522e-03
-1.9316239316e+01   1.0799271892e-03
-1.9306471306e+01   1.0955045310e-03
-1.9296703297e+01   1.1110882694e-03
-1.9286935287e+01   1.1266784959e-03
-1.9277167277e+01   1.1422753022e-03
-1.9267399267e+01   1.1578787800e-03
-1.9257631258e+01   1.1734890212e-03
-1.9247863248e+01   1.1891061176e-03
-1.9238095238e+01   1.2047301611e-03
-1.9228327228e+01   1.2203612438e-03
-1.9218559219e+01   1.2359994578e-03
-1.9208791209e+01   1.2516448952e-03
-1.9199023199e+01   1.2672976483e-03
-1.9189255189e+01   1.2829578092e-03
-1.9179487179e+01   1.2986254705e-03
-1.9169719170e+01   1.3143007246e-03
-1.9159951160e+01   1.3299836639e-03
-1.9150183150e+01   1.3456743811e-03
-1.9140415140e+01   1.3613729688e-03
-1.9130647131e+01   1.3770795198e-03
-1.9120879121e+01   1.3927941270e-03
-1.9111111111e+01   1.4085168832e-03
-1.9101343101e+01   1.4242478814e-03
-1.9091575092e+01   1.4399872148e-03
-1.9081807082e+01   1.4557349764e-03
-1.9072039072e+01   1.4714912595e-03
-1.9062271062e+01   1.4872561574e-03
-1.9052503053e+01   1.5030297636e-03
-1.9042735043e+01   1.5188121715e-03
-1.9032967033e+01   1.5346034747e-03
-1.9023199023e+01   1.5504037670e-03
-1.9013431013e+01   1.5662131419e-03
-1.9003663004e+01   1.5820316935e-03
-1.8993894994e+01   1.5978595156e-03
-1.8984126984e+01   1.6136967023e-03
-1.8974358974e+01   1.6295433477e-03
-1.8964590965e+01   1.6453995461e-03
-1.8954822955e+01   1.6612653917e-03
-1.8945054945e+01   1.6771409789e-03
-1.8935286935e+01   1.6930264024e-03
-1.8925518926e+01   1.7089217566e-03
-1.8915750916e+01   1.7248271363e-03
-1.8905982906e+01   1.7407426363e-03
-1.8896214896e+01   1.7566683515e-03
-1.8886446886e+01   1.7726043769e-03
-1.8876678877e+01   1.7885508076e-03
-1.8866910867e+01   1.8045077389e-03
-1.8857142857e+01   1.8204752661e-03
-1.8847374847e+01   1.8364534845e-03
-1.8837606838e+01   1.8524424897e-03
-1.8827838828e+01   1.8684423774e-03
-1.8818070818e+01   1.8844532433e-03
