X    Y
-2.0000000000e+01   7.2336137518e-19
-1.9990231990e+01   9.0630067520e-06
-1.9980463980e+01   1.8126248608e-05
-1.9970695971e+01   2.7189960673e-05
-1.9960927961e+01   3.6254378053e-05
-1.9951159951e+01   4.5319735857e-05
-1.9941391941e+01   5.4386269196e-05
-1.9931623932e+01   6.3454213184e-05
-1.9921855922e+01   7.2523802941e-05
-1.9912087912e+01   8.1595273590e-05
-1.9902319902e+01   9.0668860262e-05
-1.9892551893e+01   9.9744798092e-05
-1.9882783883e+01   1.0882332222e-04
-1.9873015873e+01   1.1790466781e-04
-1.9863247863e+01   1.2698907000e-04
-1.9853479853e+01   1.3607676398e-04
-1.9843711844e+01   1.4516798491e-04
-1.9833943834e+01   1.5426296800e-04
-1.9824175824e+01   1.6336194843e-04
-1.9814407814e+01   1.7246516142e-04
-1.9804639805e+01   1.8157284219e-04
-1.9794871795e+01   1.9068522599e-04
-1.9785103785e+01   1.9980254807e-04
-1.9775335775e+01   2.0892504368e-04
-1.9765567766e+01   2.1805294812e-04
-1.9755799756e+01   2.2718649668e-04
-1.9746031746e+01   2.3632592467e-04
-1.9736263736e+01   2.4547146744e-04
-1.9726495726e+01   2.5462336032e-04
-1.9716727717e+01   2.6378183868e-04
-1.9706959707e+01   2.7294713792e-04
-1.9697191697e+01   2.8211949344e-04
-1.9687423687e+01   2.9129914066e-04
-1.9677655678e+01   3.0048631504e-04
-1.9667887668e+01   3.0968125205e-04
-1.9658119658e+01   3.1888418717e-04
-1.9648351648e+01   3.2809535593e-04
-1.9638583639e+01   3.3731499386e-04
-1.9628815629e+01   3.4654333653e-04
-1.9619047619e+01   3.5578061951e-04
-1.9609279609e+01   3.6502707844e-04
-1.9599511600e+01   3.7428294893e-04
-1.9589743590e+01   3.8354846667e-04
-1.9579975580e+01   3.9282386733e-04
-1.9570207570e+01   4.0210938665e-04
-1.9560439560e+01   4.1140526035e-04
-1.9550671551e+01   4.2071172423e-04
-1.9540903541e+01   4.3002901408e-04
-1.9531135531e+01   4.3935736574e-04
-1.9521367521e+01   4.4869701507e-04
-1.9511599512e+01   4.5804819796e-04
-1.9501831502e+01   4.6741115034e-04
-1.9492063492e+01   4.7678610816e-04
-1.9482295482e+01   4.8617330742e-04
-1.9472527473e+01   4.9557298412e-04
-1.9462759463e+01   5.0498537433e-04
-1.9452991453e+01   5.1441071413e-04
-1.9443223443e+01   5.2384923964e-04
-1.9433455433e+01   5.3330118701e-04
-1.9423687424e+01   5.4276679243e-04
-1.9413919414e+01   5.5224629211e-04
-1.9404151404e+01   5.6173992232e-04
-1.9394383394e+01   5.7124791935e-04
-1.9384615385e+01   5.8077051953e-04
-1.9374847375e+01   5.9030795921e-04
-1.9365079365e+01   5.9986047480e-04
-1.9355311355e+01   6.0942830274e-04
-1.9345543346e+01   6.1901167949e-04
-1.9335775336e+01   6.2861084157e-04
-1.9326007326e+01   6.3822602553e-04
-1.9316239316e+01   6.4785746795e-04
-1.9306471306e+01   6.5750540545e-04
-1.9296703297e+01   6.6717007470e-04
-1.9286935287e+01   6.7685171240e-04
-1.9277167277e+01   6.8655055527e-04
-1.9267399267e+01   6.9626684011e-04
-1.9257631258e+01   7.0600080372e-04
-1.9247863248e+01   7.1575268297e-04
-1.9238095238e+01   7.2552271473e-04
-1.9228327228e+01   7.3531113595e-04
-1.9218559219e+01   7.4511818360e-04
-1.9208791209e+01   7.5494409468e-04
-1.9199023199e+01   7.6478910626e-04
-1.9189255189e+01   7.7465345541e-04
-1.9179487179e+01   7.8453737927e-04
-1.9169719170e+01   7.9444111500e-04
-1.9159951160e+01   8.0436489982e-04
-1.9150183150e+01   8.1430897097e-04
-1.9140415140e+01   8.2427356574e-04
-1.9130647131e+01   8.3425892145e-04
-1.9120879121e+01   8.4426527547e-04
-1.9111111111e+01   8.5429286521e-04
-1.9101343101e+01   8.6434192810e-04
-1.9091575092e+01   8.7441270163e-04
-1.9081807082e+01   8.8450542332e-04
-1.9072039072e+01   8.9462033073e-04
-1.9062271062e+01   9.0475766145e-04
-1.9052503053e+01   9.1491765313e-04
-1.9042735043e+01   9.2510054343e-04
-1.9032967033e+01   9.3530657007e-04
-1.9023199023e+01   9.4553597079e-04
-1.9013431013e+01   9.5578898338e-04
-1.9003663004e+01   9.6606584566e-04
-1.8993894994e+01   9.7636679550e-04
-1.8984126984e+01   9.8669207077e-04
-1.8974358974e+01   9.9704190942e-04
-1.8964590965e+01   1.0074165494e-03
-1.8954822955e+01   1.0178162287e-03
-1.8945054945e+01   1.0282411854e-03
-1.8935286935e+01   1.0386916575e-03
-1.8925518926e+01   1.0491678832e-03
-1.8915750916e+01   1.0596701006e-03
-1.8905982906e+01   1.0701985477e-03
-1.8896214896e+01   1.0807534629e-03
-1.8886446886e+01   1.0913350844e-03
-1.8876678877e+01   1.1019436504e-03
-1.8866910867e+01   1.1125793992e-03
-1.8857142857e+01   1.1232425691e-03
-1.8847374847e+01   1.1339333985e-03
-1.8837606838e+01   1.1446521258e-03
-1.8827838828e+01   1.1553989893e-03
-1.8818070818e+01   1.1661742274e-03
-1.8808302808e+01   1.1769780787e-03
-1.8798534799e+01   1.1878107816e-03
-1.8788766789e+01   1.1986725746e-03
-1.8778998779e+01   1.2095636962e-03
-1.8769230769e+01   1.2204843849e-03
-1.8759462759e+01   1.2314348794e-03
-1.8749694750e+01   1.2424154182e-03
-1.8739926740e+01   1.2534262399e-03
-1.8730158730e+01   1.2644675832e-03
-1.8720390720e+01   1.2755396866e-03
-1.8710622711e+01   1.2866427889e-03
-1.8700854701e+01   1.2977771286e-03
-1.8691086691e+01   1.3089429446e-03
-1.8681318681e+01   1.3201404754e-03
-1.8671550672e+01   1.3313699598e-03
-1.8661782662e+01   1.3426316365e-03
-1.8652014652e+01   1.3539257442e-03
-1.8642246642e+01   1.3652525217e-03
-1.8632478632e+01   1.3766122077e-03
-1.8622710623e+01   1.3880050409e-03
-1.8612942613e+01   1.3994312601e-03
-1.8603174603e+01   1.4108911040e-03
-1.8593406593e+01   1.4223848114e-03
-1.8583638584e+01   1.4339126210e-03
-1.8573870574e+01   1.4454747716e-03
-1.8564102564e+01   1.4570715019e-03
-1.8554334554e+01   1.4687030507e-03
-1.8544566545e+01   1.4803696566e-03
-1.8534798535e+01   1.4920715584e-03
-1.8525030525e+01   1.5038089948e-03
-1.8515262515e+01   1.5155822045e-03
-1.8505494505e+01   1.5273914262e-03
-1.8495726496e+01   1.5392368985e-03
-1.8485958486e+01   1.5511188602e-03
-1.8476190476e+01   1.5630375497e-03
-1.8466422466e+01   1.5749932058e-03
-1.8456654457e+01   1.5869860670e-03
-1.8446886447e+01   1.5990163718e-03
-1.8437118437e+01   1.6110843589e-03
-1.8427350427e+01   1.6231902667e-03
-1.8417582418e+01   1.6353343337e-03
-1.8407814408e+01   1.6475167982e-03
-1.8398046398e+01   1.6597378988e-03
-1.8388278388e+01   1.6719978738e-03
-1.8378510379e+01   1.6842969615e-03
-1.8368742369e+01   1.6966354002e-03
-1.8358974359e+01   1.7090134281e-03
-1.8349206349e+01   1.7214312834e-03
-1.8339438339e+01   1.7338892043e-03
-1.8329670330e+01   1.7463874288e-03
-1.8319902320e+01   1.7589261950e-03
-1.8310134310e+01   1.7715057409e-03
-1.8300366300e+01   1.7841263043e-03
-1.8290598291e+01   1.7967881232e-03
-1.8280830281e+01   1.8094914353e-03
-1.8271062271e+01   1.8222364784e-03
-1.8261294261e+01   1.8350234901e-03
-1.8251526252e+01   1.8478527080e-03
-1.8241758242e+01   1.8607243696e-03
-1.8231990232e+01   1.8736387123e-03
-1.8222222222e+01   1.8865959735e-03
-1.8212454212e+01   1.8995963905e-03
-1.8202686203e+01   1.9126402004e-03
-1.8192918193e+01   1.9257276403e-03
-1.8183150183e+01   1.9388589472e-03
-1.8173382173e+01   1.9520343581e-03
-1.8163614164e+01   1.9652541096e-03
-1.8153846154e+01   1.9785184385e-03
-1.8144078144e+01   1.9918275815e-03
-1.8134310134e+01   2.0051817749e-03
-1.8124542125e+01   2.0185812552e-03
-1.8114774115e+01   2.0320262586e-03
-1.8105006105e+01   2.0455170212e-03
-1.8095238095e+01   2.0590537791e-03
-1.8085470085e+01   2.0726367682e-03
-1.8075702076e+01   2.0862662241e-03
-1.8065934066e+01   2.0999423826e-03
-1.8056166056e+01   2.1136654791e-03
-1.8046398046e+01   2.1274357489e-03
-1.8036630037e+01   2.1412534273e-03
-1.8026862027e+01   2.1551187494e-03
-1.8017094017e+01   2.1690319499e-03
-1.8007326007e+01   2.1829932637e-03
-1.7997557998e+01   2.1970029254e-03
-1.7987789988e+01   2.2110611693e-03
-1.7978021978e+01   2.2251682298e-03
-1.7968253968e+01   2.2393243409e-03
-1.7958485958e+01   2.2535297365e-03
-1.7948717949e+01   2.2677846504e-03
-1.7938949939e+01   2.2820893160e-03
-1.7929181929e+01   2.2964439668e-03
-1.7919413919e+01   2.3108488359e-03
-1.7909645910e+01   2.3253041563e-03
-1.7899877900e+01   2.3398101607e-03
-1.7890109890e+01   2.3543670816e-03
-1.7880341880e+01   2.3689751515e-03
-1.7870573871e+01   2.3836346024e-03
-1.7860805861e+01   2.3983456662e-03
-1.7851037851e+01   2.4131085746e-03
-1.7841269841e+01   2.4279235592e-03
-1.7831501832e+01   2.4427908510e-03
-1.7821733822e+01   2.4577106810e-03
-1.7811965812e+01   2.4726832800e-03
-1.7802197802e+01   2.4877088785e-03
-1.7792429792e+01   2.5027877066e-03
-1.7782661783e+01   2.5179199944e-03
-1.7772893773e+01   2.5331059715e-03
-1.7763125763e+01   2.5483458674e-03
-1.7753357753e+01   2.5636399112e-03
-1.7743589744e+01   2.5789883317e-03
-1.7733821734e+01   2.5943913576e-03
-1.7724053724e+01   2.6098492171e-03
-1.7714285714e+01   2.6253621382e-03
-1.7704517705e+01   2.6409303487e-03
-1.7694749695e+01   2.6565540758e-03
-1.7684981685e+01   2.6722335466e-03
-1.7675213675e+01   2.6879689879e-03
-1.7665445665e+01   2.7037606261e-03
-1.7655677656e+01   2.7196086873e-03
-1.7645909646e+01   2.7355133972e-03
-1.7636141636e+01   2.7514749811e-03
-1.7626373626e+01   2.7674936642e-03
-1.7616605617e+01   2.7835696711e-03
-1.7606837607e+01   2.7997032262e-03
-1.7597069597e+01   2.8158945533e-03
-1.7587301587e+01   2.8321438761e-03
-1.7577533578e+01   2.8484514177e-03
-1.7567765568e+01   2.8648174010e-03
-1.7557997558e+01   2.8812420484e-03
-1.7548229548e+01   2.8977255818e-03
-1.7538461538e+01   2.9142682228e-03
-1.7528693529e+01   2.9308701927e-03
-1.7518925519e+01   2.9475317122e-03
-1.7509157509e+01   2.9642530015e-03
-1.7499389499e+01   2.9810342807e-03
-1.7489621490e+01   2.9978757691e-03
-1.7479853480e+01   3.0147776857e-03
-1.7470085470e+01   3.0317402490e-03
-1.7460317460e+01   3.0487636771e-03
-1.7450549451e+01   3.0658481877e-03
-1.7440781441e+01   3.0829939978e-03
-1.7431013431e+01   3.1002013240e-03
-1.7421245421e+01   3.1174703824e-03
-1.7411477411e+01   3.1348013887e-03
-1.7401709402e+01   3.1521945581e-03
-1.7391941392e+01   3.1696501050e-03
-1.7382173382e+01   3.1871682436e-03
-1.7372405372e+01   3.2047491873e-03
-1.7362637363e+01   3.2223931492e-03
-1.7352869353e+01   3.2401003417e-03
-1.7343101343e+01   3.2578709767e-03
-1.7333333333e+01   3.2757052655e-03
-1.7323565324e+01   3.2936034187e-03
-1.7313797314e+01   3.3115656467e-03
-1.7304029304e+01   3.3295921589e-03
-1.7294261294e+01   3.3476831642e-03
-1.7284493284e+01   3.3658388711e-03
-1.7274725275e+01   3.3840594873e-03
-1.7264957265e+01   3.4023452197e-03
-1.7255189255e+01   3.4206962750e-03
-1.7245421245e+01   3.4391128589e-03
-1.7235653236e+01   3.4575951766e-03
-1.7225885226e+01   3.4761434326e-03
-1.7216117216e+01   3.4947578307e-03
-1.7206349206e+01   3.5134385741e-03
-1.7196581197e+01   3.5321858651e-03
-1.7186813187e+01   3.5509999057e-03
-1.7177045177e+01   3.5698808967e-03
-1.7167277167e+01   3.5888290385e-03
-1.7157509158e+01   3.6078445308e-03
-1.7147741148e+01   3.6269275723e-03
-1.7137973138e+01   3.6460783613e-03
-1.7128205128e+01   3.6652970949e-03
-1.7118437118e+01   3.6845839698e-03
-1.7108669109e+01   3.7039391818e-03
-1.7098901099e+01   3.7233629259e-03
-1.7089133089e+01   3.7428553963e-03
-1.7079365079e+01   3.7624167863e-03
-1.7069597070e+01   3.7820472887e-03
-1.7059829060e+01   3.8017470950e-03
-1.7050061050e+01   3.8215163963e-03
-1.7040293040e+01   3.8413553825e-03
-1.7030525031e+01   3.8612642429e-03
-1.7020757021e+01   3.8812431657e-03
-1.7010989011e+01   3.9012923384e-03
-1.7001221001e+01   3.9214119476e-03
-1.6991452991e+01   3.9416021787e-03
-1.6981684982e+01   3.9618632166e-03
-1.6971916972e+01   3.9821952450e-03
-1.6962148962e+01   4.0025984467e-03
-1.6952380952e+01   4.0230730036e-03
-1.6942612943e+01   4.0436190966e-03
-1.6932844933e+01   4.0642369057e-03
-1.6923076923e+01   4.0849266098e-03
-1.6913308913e+01   4.1056883869e-03
-1.6903540904e+01   4.1265224138e-03
-1.6893772894e+01   4.1474288665e-03
-1.6884004884e+01   4.1684079199e-03
-1.6874236874e+01   4.1894597477e-03
-1.6864468864e+01   4.2105845228e-03
-1.6854700855e+01   4.2317824169e-03
-1.6844932845e+01   4.2530536004e-03
-1.6835164835e+01   4.2743982430e-03
-1.6825396825e+01   4.2958165130e-03
-1.6815628816e+01   4.3173085777e-03
-1.6805860806e+01   4.3388746031e-03
-1.6796092796e+01   4.3605147544e-03
-1.6786324786e+01   4.3822291953e-03
-1.6776556777e+01   4.4040180883e-03
-1.6766788767e+01   4.4258815951e-03
-1.6757020757e+01   4.4478198757e-03
-1.6747252747e+01   4.4698330892e-03
-1.6737484737e+01   4.4919213935e-03
-1.6727716728e+01   4.5140849450e-03
-1.6717948718e+01   4.5363238990e-03
-1.6708180708e+01   4.5586384095e-03
-1.6698412698e+01   4.5810286293e-03
-1.6688644689e+01   4.6034947098e-03
-1.6678876679e+01   4.6260368010e-03
-1.6669108669e+01   4.6486550518e-03
-1.6659340659e+01   4.6713496095e-03
-1.6649572650e+01   4.6941206203e-03
-1.6639804640e+01   4.7169682288e-03
-1.6630036630e+01   4.7398925783e-03
-1.6620268620e+01   4.7628938108e-03
-1.6610500611e+01   4.7859720666e-03
-1.6600732601e+01   4.8091274849e-03
-1.6590964591e+01   4.8323602033e-03
-1.6581196581e+01   4.8556703578e-03
-1.6571428571e+01   4.8790580831e-03
-1.6561660562e+01   4.9025235125e-03
-1.6551892552e+01   4.9260667774e-03
-1.6542124542e+01   4.9496880080e-03
-1.6532356532e+01   4.9733873330e-03
-1.6522588523e+01   4.9971648792e-03
-1.6512820513e+01   5.0210207721e-03
-1.6503052503e+01   5.0449551357e-03
-1.6493284493e+01   5.0689680920e-03
-1.6483516484e+01   5.0930597617e-03
-1.6473748474e+01   5.1172302638e-03
-1.6463980464e+01   5.1414797156e-03
-1.6454212454e+01   5.1658082326e-03
-1.6444444444e+01   5.1902159289e-03
-1.6434676435e+01   5.2147029167e-03
-1.6424908425e+01   5.2392693064e-03
-1.6415140415e+01   5.2639152068e-03
-1.6405372405e+01   5.2886407250e-03
-1.6395604396e+01   5.3134459660e-03
-1.6385836386e+01   5.3383310335e-03
-1.6376068376e+01   5.3632960288e-03
-1.6366300366e+01   5.3883410519e-03
-1.6356532357e+01   5.4134662007e-03
-1.6346764347e+01   5.4386715711e-03
-1.6336996337e+01   5.4639572574e-03
-1.6327228327e+01   5.4893233518e-03
-1.6317460317e+01   5.5147699447e-03
-1.6307692308e+01   5.5402971245e-03
-1.6297924298e+01   5.5659049775e-03
-1.6288156288e+01   5.5915935882e-03
-1.6278388278e+01   5.6173630392e-03
-1.6268620269e+01   5.6432134108e-03
-1.6258852259e+01   5.6691447814e-03
-1.6249084249e+01   5.6951572274e-03
-1.6239316239e+01   5.7212508231e-03
-1.6229548230e+01   5.7474256406e-03
-1.6219780220e+01   5.7736817499e-03
-1.6210012210e+01   5.8000192190e-03
-1.6200244200e+01   5.8264381137e-03
-1.6190476190e+01   5.8529384975e-03
-1.6180708181e+01   5.8795204319e-03
-1.6170940171e+01   5.9061839760e-03
-1.6161172161e+01   5.9329291867e-03
-1.6151404151e+01   5.9597561188e-03
-1.6141636142e+01   5.9866648246e-03
-1.6131868132e+01   6.0136553543e-03
-1.6122100122e+01   6.0407277557e-03
-1.6112332112e+01   6.0678820741e-03
-1.6102564103e+01   6.0951183527e-03
-1.6092796093e+01   6.1224366323e-03
-1.6083028083e+01   6.1498369510e-03
-1.6073260073e+01   6.1773193447e-03
-1.6063492063e+01   6.2048838469e-03
-1.6053724054e+01   6.2325304886e-03
-1.6043956044e+01   6.2602592982e-03
-1.6034188034e+01   6.2880703015e-03
-1.6024420024e+01   6.3159635222e-03
-1.6014652015e+01   6.3439389809e-03
-1.6004884005e+01   6.3719966960e-03
-1.5995115995e+01   6.4001366832e-03
-1.5985347985e+01   6.4283589554e-03
-1.5975579976e+01   6.4566635230e-03
-1.5965811966e+01   6.4850503939e-03
-1.5956043956e+01   6.5135195729e-03
-1.5946275946e+01   6.5420710624e-03
