X    Y
-2.0000000000e+01   2.4937655860e-03
-1.9921722114e+01   2.5133521079e-03
-1.9843444227e+01   2.5331700969e-03
-1.9765166341e+01   2.5532232115e-03
-1.9686888454e+01   2.5735151827e-03
-1.9608610568e+01   2.5940498157e-03
-1.9530332681e+01   2.6148309918e-03
-1.9452054795e+01   2.6358626700e-03
-1.9373776908e+01   2.6571488891e-03
-1.9295499022e+01   2.6786937696e-03
-1.9217221135e+01   2.7005015155e-03
-1.9138943249e+01   2.7225764166e-03
-1.9060665362e+01   2.7449228504e-03
-1.8982387476e+01   2.7675452844e-03
-1.8904109589e+01   2.7904482783e-03
-1.8825831703e+01   2.8136364861e-03
-1.8747553816e+01   2.8371146589e-03
-1.8669275930e+01   2.8608876468e-03
-1.8590998043e+01   2.8849604017e-03
-1.8512720157e+01   2.9093379798e-03
-1.8434442270e+01   2.9340255444e-03
-1.8356164384e+01   2.9590283681e-03
-1.8277886497e+01   2.9843518365e-03
-1.8199608611e+01   3.0100014500e-03
-1.8121330724e+01   3.0359828278e-03
-1.8043052838e+01   3.0623017104e-03
-1.7964774951e+01   3.0889639626e-03
-1.7886497065e+01   3.1159755773e-03
-1.7808219178e+01   3.1433426786e-03
-1.7729941292e+01   3.1710715250e-03
-1.7651663405e+01   3.1991685134e-03
-1.7573385519e+01   3.2276401824e-03
-1.7495107632e+01   3.2564932165e-03
-1.7416829746e+01   3.2857344494e-03
-1.7338551859e+01   3.3153708687e-03
-1.7260273973e+01   3.3454096196e-03
-1.7181996086e+01   3.3758580095e-03
-1.7103718200e+01   3.4067235121e-03
-1.7025440313e+01   3.4380137720e-03
-1.6947162427e+01   3.4697366100e-03
-1.6868884540e+01   3.5019000270e-03
-1.6790606654e+01   3.5345122097e-03
-1.6712328767e+01   3.5675815359e-03
-1.6634050881e+01   3.6011165791e-03
-1.6555772994e+01   3.6351261147e-03
-1.6477495108e+01   3.6696191257e-03
-1.6399217221e+01   3.7046048081e-03
-1.6320939335e+01   3.7400925775e-03
-1.6242661448e+01   3.7760920752e-03
-1.6164383562e+01   3.8126131747e-03
-1.6086105675e+01   3.8496659884e-03
-1.6007827789e+01   3.8872608747e-03
-1.5929549902e+01   3.9254084453e-03
-1.5851272016e+01   3.9641195722e-03
-1.5772994129e+01   4.0034053959e-03
-1.5694716243e+01   4.0432773332e-03
-1.5616438356e+01   4.0837470851e-03
-1.5538160470e+01   4.1248266460e-03
-1.5459882583e+01   4.1665283121e-03
-1.5381604697e+01   4.2088646907e-03
-1.5303326810e+01   4.2518487093e-03
-1.5225048924e+01   4.2954936263e-03
-1.5146771037e+01   4.3398130401e-03
-1.5068493151e+01   4.3848209003e-03
-1.4990215264e+01   4.4305315187e-03
-1.4911937378e+01   4.4769595800e-03
-1.4833659491e+01   4.5241201541e-03
-1.4755381605e+01   4.5720287079e-03
-1.4677103718e+01   4.6207011183e-03
-1.4598825832e+01   4.6701536847e-03
-1.4520547945e+01   4.7204031432e-03
-1.4442270059e+01   4.7714666801e-03
-1.4363992172e+01   4.8233619469e-03
-1.4285714286e+01   4.8761070753e-03
-1.4207436399e+01   4.9297206931e-03
-1.4129158513e+01   4.9842219401e-03
-1.4050880626e+01   5.0396304856e-03
-1.3972602740e+01   5.0959665458e-03
-1.3894324853e+01   5.1532509020e-03
-1.3816046967e+01   5.2115049199e-03
-1.3737769080e+01   5.2707505690e-03
-1.3659491194e+01   5.3310104437e-03
-1.3581213307e+01   5.3923077843e-03
-1.3502935421e+01   5.4546664992e-03
-1.3424657534e+01   5.5181111885e-03
-1.3346379648e+01   5.5826671676e-03
-1.3268101761e+01   5.6483604924e-03
-1.3189823875e+01   5.7152179856e-03
-1.3111545988e+01   5.7832672637e-03
-1.3033268102e+01   5.8525367653e-03
-1.2954990215e+01   5.9230557806e-03
-1.2876712329e+01   5.9948544822e-03
-1.2798434442e+01   6.0679639570e-03
-1.2720156556e+01   6.1424162397e-03
-1.2641878669e+01   6.2182443476e-03
-1.2563600783e+01   6.2954823168e-03
-1.2485322896e+01   6.3741652401e-03
-1.2407045010e+01   6.4543293066e-03
-1.2328767123e+01   6.5360118431e-03
-1.2250489237e+01   6.6192513567e-03
-1.2172211350e+01   6.7040875804e-03
-1.2093933464e+01   6.7905615197e-03
-1.2015655577e+01   6.8787155017e-03
-1.1937377691e+01   6.9685932268e-03
-1.1859099804e+01   7.0602398217e-03
