X    Y
-1.0000000000e+00   0.0000000000e+00
-9.9215686275e-01   3.5336936988e-04
-9.8431372549e-01   1.4139055605e-03
-9.7647058824e-01   3.1828870729e-03
-9.6862745098e-01   5.6624255587e-03
-9.6078431373e-01   8.8554368894e-03
-9.5294117647e-01   1.2765600348e-02
-9.4509803922e-01   1.7397305650e-02
-9.3725490196e-01   2.2755587414e-02
-9.2941176471e-01   2.8846046680e-02
-9.2156862745e-01   3.5674758966e-02
-9.1372549020e-01   4.3248168389e-02
-9.0588235294e-01   5.1572967306e-02
-8.9803921569e-01   6.0655960980e-02
-8.9019607843e-01   7.0503916778e-02
-8.8235294118e-01   8.1123397492e-02
-8.7450980392e-01   9.2520578455e-02
-8.6666666667e-01   1.0470104823e-01
-8.5882352941e-01   1.1766959286e-01
-8.5098039216e-01   1.3142996378e-01
-8.4313725490e-01   1.4598462985e-01
-8.3529411765e-01   1.6133451411e-01
-8.2745098039e-01   1.7747871626e-01
-8.1960784314e-01   1.9441422230e-01
-8.1176470588e-01   2.1213560293e-01
-8.0392156863e-01   2.3063470299e-01
-7.9607843137e-01   2.4990032464e-01
-7.8823529412e-01   2.6991790726e-01
-7.8039215686e-01   2.9066920790e-01
-7.7254901961e-01   3.1213198625e-01
-7.6470588235e-01   3.3427969906e-01
-7.5686274510e-01   3.5708120879e-01
-7.4901960784e-01   3.8050051249e-01
-7.4117647059e-01   4.0449649657e-01
-7.3333333333e-01   4.2902272392e-01
-7.2549019608e-01   4.5402725997e-01
-7.1764705882e-01   4.7945254418e-01
-7.0980392157e-01   5.0523531375e-01
-7.0196078431e-01   5.3130658591e-01
-6.9411764706e-01   5.5759170507e-01
-6.8627450980e-01   5.8401046033e-01
-6.7843137255e-01   6.1047727841e-01
-6.7058823529e-01   6.3690149605e-01
-6.6274509804e-01   6.6318771484e-01
-6.5490196078e-01   6.8923624031e-01
-6.4705882353e-01   7.1494360562e-01
-6.3921568627e-01   7.4020317851e-01
-6.3137254902e-01   7.6490584879e-01
-6.2352941176e-01   7.8894079159e-01
-6.1568627451e-01   8.1219629995e-01
-6.0784313725e-01   8.3456067840e-01
-6.0000000000e-01   8.5592318777e-01
-5.9215686275e-01   8.7617502921e-01
-5.8431372549e-01   8.9521035472e-01
-5.7647058824e-01   9.1292728956e-01
-5.6862745098e-01   9.2922895121e-01
-5.6078431373e-01   9.4402444900e-01
-5.5294117647e-01   9.5722984789e-01
-5.4509803922e-01   9.6876908006e-01
-5.3725490196e-01   9.7857478858e-01
-5.2941176471e-01   9.8658908772e-01
-5.2156862745e-01   9.9276422640e-01
-5.1372549020e-01   9.9706314205e-01
-5.0588235294e-01   9.9945989475e-01
-4.9803921569e-01   9.9993997312e-01
-4.9019607843e-01   9.9850046626e-01
-4.8235294118e-01   9.9515009826e-01
-4.7450980392e-01   9.8990912474e-01
-4.6666666667e-01   9.8280909335e-01
-4.5882352941e-01   9.7389247290e-01
-4.5098039216e-01   9.6321215814e-01
-4.4313725490e-01   9.5083085969e-01
-4.3529411765e-01   9.3682039053e-01
-4.2745098039e-01   9.2126086215e-01
-4.1960784314e-01   9.0423980499e-01
-4.1176470588e-01   8.8585122875e-01
-4.0392156863e-01   8.6619463860e-01
-3.9607843137e-01   8.4537402387e-01
-3.8823529412e-01   8.2349683539e-01
-3.8039215686e-01   8.0067296716e-01
-3.7254901961e-01   7.7701375733e-01
-3.6470588235e-01   7.5263102227e-01
-3.5686274510e-01   7.2763613601e-01
-3.4901960784e-01   7.0213916599e-01
-3.4117647059e-01   6.7624807421e-01
-3.3333333333e-01   6.5006799124e-01
-3.2549019608e-01   6.2370056844e-01
-3.1764705882e-01   5.9724341242e-01
-3.0980392157e-01   5.7078960363e-01
-3.0196078431e-01   5.4442729947e-01
-2.9411764706e-01   5.1823942104e-01
-2.8627450980e-01   4.9230342088e-01
-2.7843137255e-01   4.6669112833e-01
-2.7058823529e-01   4.4146866787e-01
-2.6274509804e-01   4.1669644515e-01
-2.5490196078e-01   3.9242919479e-01
-2.4705882353e-01   3.6871608355e-01
-2.3921568627e-01   3.4560086244e-01
-2.3137254902e-01   3.2312206098e-01
-2.2352941176e-01   3.0131321697e-01
-2.1568627451e-01   2.8020313552e-01
-2.0784313725e-01   2.5981617099e-01
-2.0000000000e-01   2.4017252608e-01
-1.9215686275e-01   2.2128856284e-01
-1.8431372549e-01   2.0317712041e-01
-1.7647058824e-01   1.8584783542e-01
-1.6862745098e-01   1.6930746080e-01
-1.6078431373e-01   1.5356017990e-01
-1.5294117647e-01   1.3860791282e-01
-1.4509803922e-01   1.2445061266e-01
-1.3725490196e-01   1.1108654965e-01
-1.2941176471e-01   9.8512581664e-02
-1.2156862745e-01   8.6724409956e-02
-1.1372549020e-01   7.5716819226e-02
-1.0588235294e-01   6.5483901581e-02
-9.8039215686e-02   5.6019264075e-02
-9.0196078431e-02   4.7316219788e-02
-8.2352941176e-02   3.9367962570e-02
-7.4509803922e-02   3.2167725739e-02
-6.6666666667e-02   2.5708925089e-02
-5.8823529412e-02   1.9985286674e-02
-5.0980392157e-02   1.4990959865e-02
-4.3137254902e-02   1.0720616191e-02
-3.5294117647e-02   7.1695344951e-03
-2.7450980392e-02   4.3336728815e-03
-1.9607843137e-02   2.2097279186e-03
-1.1764705882e-02   7.9518149214e-04
-3.9215686275e-03   8.8335642505e-05
3.9215686275e-03   8.8335642505e-05
1.1764705882e-02   7.9518149214e-04
1.9607843137e-02   2.2097279186e-03
2.7450980392e-02   4.3336728815e-03
3.5294117647e-02   7.1695344951e-03
4.3137254902e-02   1.0720616191e-02
5.0980392157e-02   1.4990959865e-02
5.8823529412e-02   1.9985286674e-02
6.6666666667e-02   2.5708925089e-02
7.4509803922e-02   3.2167725739e-02
8.2352941176e-02   3.9367962570e-02
9.0196078431e-02   4.7316219788e-02
9.8039215686e-02   5.6019264075e-02
1.0588235294e-01   6.5483901581e-02
1.1372549020e-01   7.5716819226e-02
1.2156862745e-01   8.6724409956e-02
1.2941176471e-01   9.8512581664e-02
1.3725490196e-01   1.1108654965e-01
1.4509803922e-01   1.2445061266e-01
1.5294117647e-01   1.3860791282e-01
1.6078431373e-01   1.5356017990e-01
1.6862745098e-01   1.6930746080e-01
1.7647058824e-01   1.8584783542e-01
1.8431372549e-01   2.0317712041e-01
1.9215686275e-01   2.2128856284e-01
2.0000000000e-01   2.4017252608e-01
2.0784313725e-01   2.5981617099e-01
2.1568627451e-01   2.8020313552e-01
2.2352941176e-01   3.0131321697e-01
2.3137254902e-01   3.2312206098e-01
2.3921568627e-01   3.4560086244e-01
2.4705882353e-01   3.6871608355e-01
2.5490196078e-01   3.9242919479e-01
2.6274509804e-01   4.1669644515e-01
2.7058823529e-01   4.4146866787e-01
2.7843137255e-01   4.6669112833e-01
2.8627450980e-01   4.9230342088e-01
2.9411764706e-01   5.1823942104e-01
3.0196078431e-01   5.4442729947e-01
3.0980392157e-01   5.7078960363e-01
3.1764705882e-01   5.9724341242e-01
3.2549019608e-01   6.2370056844e-01
3.3333333333e-01   6.5006799124e-01
3.4117647059e-01   6.7624807421e-01
3.4901960784e-01   7.0213916599e-01
3.5686274510e-01   7.2763613601e-01
3.6470588235e-01   7.5263102227e-01
3.7254901961e-01   7.7701375733e-01
3.8039215686e-01   8.0067296716e-01
3.8823529412e-01   8.2349683539e-01
3.9607843137e-01   8.4537402387e-01
4.0392156863e-01   8.6619463860e-01
4.1176470588e-01   8.8585122875e-01
4.1960784314e-01   9.0423980499e-01
4.2745098039e-01   9.2126086215e-01
4.3529411765e-01   9.3682039053e-01
4.4313725490e-01   9.5083085969e-01
4.5098039216e-01   9.6321215814e-01
4.5882352941e-01   9.7389247290e-01
4.6666666667e-01   9.8280909335e-01
4.7450980392e-01   9.8990912474e-01
4.8235294118e-01   9.9515009826e-01
4.9019607843e-01   9.9850046626e-01
4.9803921569e-01   9.9993997312e-01
5.0588235294e-01   9.9945989475e-01
5.1372549020e-01   9.9706314205e-01
5.2156862745e-01   9.9276422640e-01
5.2941176471e-01   9.8658908772e-01
5.3725490196e-01   9.7857478858e-01
5.4509803922e-01   9.6876908006e-01
5.5294117647e-01   9.5722984789e-01
5.6078431373e-01   9.4402444900e-01
5.6862745098e-01   9.2922895121e-01
5.7647058824e-01   9.1292728956e-01
5.8431372549e-01   8.9521035472e-01
5.9215686275e-01   8.7617502921e-01
6.0000000000e-01   8.5592318777e-01
6.0784313725e-01   8.3456067840e-01
6.1568627451e-01   8.1219629995e-01
6.2352941176e-01   7.8894079159e-01
6.3137254902e-01   7.6490584879e-01
6.3921568627e-01   7.4020317851e-01
6.4705882353e-01   7.1494360562e-01
6.5490196078e-01   6.8923624031e-01
6.6274509804e-01   6.6318771484e-01
6.7058823529e-01   6.3690149605e-01
6.7843137255e-01   6.1047727841e-01
6.8627450980e-01   5.8401046033e-01
6.9411764706e-01   5.5759170507e-01
7.0196078431e-01   5.3130658591e-01
7.0980392157e-01   5.0523531375e-01
7.1764705882e-01   4.7945254418e-01
7.2549019608e-01   4.5402725997e-01
7.3333333333e-01   4.2902272392e-01
7.4117647059e-01   4.0449649657e-01
7.4901960784e-01   3.8050051249e-01
7.5686274510e-01   3.5708120879e-01
7.6470588235e-01   3.3427969906e-01
7.7254901961e-01   3.1213198625e-01
7.8039215686e-01   2.9066920790e-01
7.8823529412e-01   2.6991790726e-01
7.9607843137e-01   2.4990032464e-01
8.0392156863e-01   2.3063470299e-01
8.1176470588e-01   2.1213560293e-01
8.1960784314e-01   1.9441422230e-01
8.2745098039e-01   1.7747871626e-01
8.3529411765e-01   1.6133451411e-01
8.4313725490e-01   1.4598462985e-01
8.5098039216e-01   1.3142996378e-01
8.5882352941e-01   1.1766959286e-01
8.6666666667e-01   1.0470104823e-01
8.7450980392e-01   9.2520578455e-02
8.8235294118e-01   8.1123397492e-02
8.9019607843e-01   7.0503916778e-02
8.9803921569e-01   6.0655960980e-02
9.0588235294e-01   5.1572967306e-02
9.1372549020e-01   4.3248168389e-02
9.2156862745e-01   3.5674758966e-02
9.2941176471e-01   2.8846046680e-02
9.3725490196e-01   2.2755587414e-02
9.4509803922e-01   1.7397305650e-02
9.5294117647e-01   1.2765600348e-02
9.6078431373e-01   8.8554368894e-03
9.6862745098e-01   5.6624255587e-03
9.7647058824e-01   3.1828870729e-03
9.8431372549e-01   1.4139055605e-03
9.9215686275e-01   3.5336936988e-04
1.0000000000e+00   0.0000000000e+00
