X    Y
1.0059149091e-01   7.9121647863e-05
1.0053090748e-01   1.5867805279e-04
1.0034930315e-01   1.5999176681e-04
1.0004711541e-01   1.6221320379e-04
9.9625072265e-02   1.6539180018e-04
9.9084190450e-02   1.6960002979e-04
9.8425772998e-02   1.7493698777e-04
9.7651406093e-02   1.8153350371e-04
9.6762955254e-02   1.8955925213e-04
9.5762560837e-02   1.9923255310e-04
9.4652632879e-02   2.1083388799e-04
9.3435845294e-02   2.2472465925e-04
9.2115129430e-02   2.4137350679e-04
9.0693667007e-02   2.6139374027e-04
8.9174882452e-02   2.8559747867e-04
8.7562434651e-02   3.1507548989e-04
8.5860208132e-02   3.5131758167e-04
8.4072303707e-02   3.9639881908e-04
8.2203028595e-02   4.5327607237e-04
8.0256886042e-02   5.2627636704e-04
7.8238564478e-02   6.2193302921e-04
7.6152926215e-02   7.5048435505e-04
7.4004995740e-02   9.2871035909e-04
7.1799947603e-02   1.1856698358e-03
6.9543093960e-02   1.5752971191e-03
6.7239871768e-02   2.2071263660e-03
6.4895829692e-02   3.3324846153e-03
6.2516614735e-02   5.6390573688e-03
6.0107958633e-02   1.1617517595e-02
5.7675664049e-02   3.6755415608e-02
5.5225590596e-02   7.6740266705e-01
5.2763640714e-02   1.1602888478e-01
5.0295745456e-02   2.0373597985e-02
4.7827850197e-02   8.1759873911e-03
4.5365900315e-02   4.3936535726e-03
4.2915826862e-02   2.7475230320e-03
4.0483532279e-02   1.8863604111e-03
3.8074876176e-02   1.3802099871e-03
3.5695661219e-02   1.0577671260e-03
3.3351619143e-02   8.3985769194e-04
3.1048396951e-02   6.8579300333e-04
2.8791543308e-02   5.7292327779e-04
2.6586495172e-02   4.8782755356e-04
2.4438564696e-02   4.2214365734e-04
2.2352926433e-02   3.7044175094e-04
2.0334604869e-02   3.2907216370e-04
1.8388462317e-02   2.9550884168e-04
1.6519187204e-02   2.6795893924e-04
1.4731282779e-02   2.4512204328e-04
1.3029056260e-02   2.2603691326e-04
1.1416608459e-02   2.0998119547e-04
9.8978239042e-03   1.9640418551e-04
8.4763614812e-03   1.8488076718e-04
7.1556456170e-03   1.7507924937e-04
5.9388580320e-03   1.6673852333e-04
4.8289300741e-03   1.5965159489e-04
3.8285356568e-03   1.5365355714e-04
2.9400848179e-03   1.4861270939e-04
2.1657179134e-03   1.4442394288e-04
1.5073004609e-03   1.4100378636e-04
9.6641864584e-04   1.3828668885e-04
5.4437549975e-04   1.3622224191e-04
2.4218776159e-04   1.3477313210e-04
6.0583428095e-05   1.3391367662e-04
0.0000000000e+00   6.6814420714e-05
