X    Y
1.0059149091e-01   1.2138453509e-07
1.0034930315e-01   2.4414404131e-07
9.9625072265e-02   2.4833609898e-07
9.8425772998e-02   2.5555387836e-07
9.6762955254e-02   2.6617047126e-07
9.4652632879e-02   2.8076663365e-07
9.2115129430e-02   3.0020321405e-07
8.9174882452e-02   3.2573927122e-07
8.5860208132e-02   3.5922592309e-07
8.2203028595e-02   4.0343212730e-07
7.8238564478e-02   4.6261192091e-07
7.4004995740e-02   5.4353809677e-07
6.9543093960e-02   6.5749513023e-07
6.4895829692e-02   8.2439908281e-07
6.0107958633e-02   1.0820950167e-06
5.5225590596e-02   1.5098594793e-06
5.0295745456e-02   2.2976527248e-06
4.5365900315e-02   4.0006516189e-06
4.0483532279e-02   8.8745726295e-06
3.5695661219e-02   3.5350628766e-05
3.1048396951e-02   9.9988558614e-01
2.6586495172e-02   3.4536900433e-05
2.2352926433e-02   8.7880903781e-06
1.8388462317e-02   3.9950656662e-06
1.4731282779e-02   2.3189109801e-06
1.1416608459e-02   1.5475342733e-06
8.4763614812e-03   1.1339154115e-06
5.9388580320e-03   8.9063473943e-07
3.8285356568e-03   7.3968150843e-07
2.1657179134e-03   6.4420751047e-07
9.6641864584e-04   5.8537743109e-07
2.4218776159e-04   5.5328779000e-07
0.0000000000e+00   2.7153988238e-07
