X    Y
0.0000000000e+00   -6.2985420526e-01
1.0000000000e+00   -3.8967664487e-01
2.0000000000e+00   -5.8275531935e-01
3.0000000000e+00   -9.5634553232e-01
4.0000000000e+00   -1.8046935826e+00
5.0000000000e+00   -1.7984788284e+00
6.0000000000e+00   -1.9009845153e+00
7.0000000000e+00   -2.5075554654e+00
8.0000000000e+00   -3.0213586450e+00
9.0000000000e+00   -3.0699066714e+00
1.0000000000e+01   -4.0438289948e+00
1.1000000000e+01   -3.9553945897e+00
1.2000000000e+01   -4.4962021367e+00
1.3000000000e+01   -4.8193805527e+00
1.4000000000e+01   -5.0852885928e+00
1.5000000000e+01   -5.8546452503e+00
1.6000000000e+01   -5.7739645760e+00
1.7000000000e+01   -7.0088445707e+00
1.8000000000e+01   -6.6731915237e+00
1.9000000000e+01   -7.3476711949e+00
2.0000000000e+01   -7.8213629662e+00
2.1000000000e+01   -8.2824072040e+00
2.2000000000e+01   -9.3330493460e+00
2.3000000000e+01   -9.8835581604e+00
2.4000000000e+01   -1.0891348503e+01
2.5000000000e+01   -1.0117029688e+01
2.6000000000e+01   -1.1128151269e+01
2.7000000000e+01   -1.0648534115e+01
2.8000000000e+01   -1.1160109415e+01
2.9000000000e+01   -1.1670412782e+01
