X    Y
1.0000000000e+01   3.8200000000e+02
2.0000000000e+01   7.6200000000e+02
3.0000000000e+01   1.1440000000e+03
4.0000000000e+01   1.5240000000e+03
5.0000000000e+01   1.9080000000e+03
6.0000000000e+01   2.2880000000e+03
7.0000000000e+01   2.6640000000e+03
8.0000000000e+01   3.0500000000e+03
9.0000000000e+01   3.4300000000e+03
1.0000000000e+02   3.7600000000e+03
1.1000000000e+02   4.1700000000e+03
1.2000000000e+02   4.5700000000e+03
1.3000000000e+02   4.9600000000e+03
1.4000000000e+02   5.3300000000e+03
1.5000000000e+02   5.7200000000e+03
1.6000000000e+02   6.1000000000e+03
1.7000000000e+02   6.4600000000e+03
1.8000000000e+02   6.8600000000e+03
1.9000000000e+02   7.2200000000e+03
2.0000000000e+02   7.5200000000e+03
2.1000000000e+02   7.7400000000e+03
2.2000000000e+02   8.3600000000e+03
2.3000000000e+02   8.7600000000e+03
2.4000000000e+02   9.1200000000e+03
2.5000000000e+02   9.5400000000e+03
2.6000000000e+02   9.9200000000e+03
2.7000000000e+02   1.0260000000e+04
2.8000000000e+02   1.0640000000e+04
2.9000000000e+02   1.0980000000e+04
3.0000000000e+02   1.1300000000e+04
3.1000000000e+02   1.1520000000e+04
3.2000000000e+02   1.1690000000e+04
3.3000000000e+02   1.2540000000e+04
3.4000000000e+02   1.2900000000e+04
3.5000000000e+02   1.3340000000e+04
3.6000000000e+02   1.3720000000e+04
3.7000000000e+02   1.4070000000e+04
3.8000000000e+02   1.4380000000e+04
3.9000000000e+02   1.4780000000e+04
4.0000000000e+02   1.5040000000e+04
4.1000000000e+02   1.5300000000e+04
4.2000000000e+02   1.5480000000e+04
4.3000000000e+02   1.5880000000e+04
4.4000000000e+02   1.6660000000e+04
4.5000000000e+02   1.7100000000e+04
4.6000000000e+02   1.7500000000e+04
4.7000000000e+02   1.7860000000e+04
4.8000000000e+02   1.8160000000e+04
4.9000000000e+02   1.8540000000e+04
5.0000000000e+02   1.8800000000e+04
5.1000000000e+02   1.9070000000e+04
5.2000000000e+02   1.9260000000e+04
5.3000000000e+02   1.9440000000e+04
5.4000000000e+02   1.9580000000e+04
5.5000000000e+02   2.0800000000e+04
5.6000000000e+02   2.1300000000e+04
5.7000000000e+02   2.1640000000e+04
5.8000000000e+02   2.1960000000e+04
5.9000000000e+02   2.2240000000e+04
6.0000000000e+02   2.2600000000e+04
6.1000000000e+02   2.2820000000e+04
6.2000000000e+02   2.3040000000e+04
6.3000000000e+02   2.3230000000e+04
6.4000000000e+02   2.3390000000e+04
6.5000000000e+02   2.3520000000e+04
