X    Y
-1.0000000000e+00   -1.3155278414e-05
-9.8412700000e-01   -1.2590656458e-05
-9.6825400000e-01   -1.2057933480e-05
-9.5238100000e-01   -1.1513616260e-05
-9.3650800000e-01   -1.0934123709e-05
-9.2063500000e-01   -1.0312680711e-05
-9.0476200000e-01   -9.6721760086e-06
-8.8888900000e-01   -9.0606846086e-06
-8.7301600000e-01   -8.5239374220e-06
-8.5714300000e-01   -8.0773528282e-06
-8.4127000000e-01   -7.6847189057e-06
-8.2539700000e-01   -7.2818024104e-06
-8.0952400000e-01   -6.8096320439e-06
-7.9365100000e-01   -6.2720132811e-06
-7.7777800000e-01   -5.7521819975e-06
-7.6190500000e-01   -5.3587484873e-06
-7.4603200000e-01   -5.1281143099e-06
-7.3015900000e-01   -4.9456928897e-06
-7.1428600000e-01   -4.6413268868e-06
-6.9841300000e-01   -4.1598676083e-06
-6.8254000000e-01   -3.6794108402e-06
-6.6666700000e-01   -3.4340051011e-06
-6.5079400000e-01   -3.3686064009e-06
-6.3492100000e-01   -3.1514575457e-06
-6.1904800000e-01   -2.6673437453e-06
-6.0317500000e-01   -2.3144527943e-06
-5.8730200000e-01   -2.3213926349e-06
-5.7142900000e-01   -2.1987102082e-06
-5.5555600000e-01   -1.7250745862e-06
-5.3968300000e-01   -1.5792038591e-06
-5.2381000000e-01   -1.6616925309e-06
-5.0793700000e-01   -1.2369792692e-06
-4.9206400000e-01   -1.1332379569e-06
-4.7619100000e-01   -1.1781737216e-06
-4.6031800000e-01   -7.4909390285e-07
-4.4444500000e-01   -9.4458899175e-07
-4.2857200000e-01   -5.3415660900e-07
-4.1269900000e-01   -7.2031344001e-07
-3.9682600000e-01   -3.2982877862e-07
-3.8095300000e-01   -4.9474709818e-07
-3.6508000000e-01   -3.3083951445e-07
-3.4920700000e-01   -9.9519091135e-08
-3.3333400000e-01   -1.4706600338e-07
-3.1746100000e-01   -1.9288451925e-07
-3.0158800000e-01   -1.6326626945e-07
-2.8571500000e-01   -8.6765362561e-08
-2.6984200000e-01   7.1954560477e-08
-2.5396900000e-01   8.5695434471e-08
-2.3809600000e-01   2.5298376477e-08
-2.2222300000e-01   1.6800694169e-10
-2.0635000000e-01   1.9994787243e-08
-1.9047700000e-01   9.4217865121e-08
-1.7460400000e-01   3.3055051057e-08
-1.5873100000e-01   1.2162757940e-07
-1.4285800000e-01   1.3037933286e-07
-1.2698500000e-01   1.3542245614e-07
-1.1111200000e-01   7.3190894401e-08
-9.5239000000e-02   1.2812730528e-07
-7.9366000000e-02   1.0836222483e-07
-6.3493000000e-02   7.1940312124e-08
-4.7620000000e-02   3.0311888513e-08
-3.1747000000e-02   4.4888507252e-08
-1.5874000000e-02   1.5201036447e-08
-1.0000000000e-06   -8.6358895765e-08
1.0000000000e-06   9.5559158031e-07
1.5874000000e-02   -1.5201062482e-08
3.1747000000e-02   -4.4888610176e-08
4.7620000000e-02   -3.0312093710e-08
6.3493000000e-02   -7.1939847107e-08
7.9366000000e-02   -1.0836145889e-07
9.5239000000e-02   -1.2812816466e-07
1.1111200000e-01   -7.3192197178e-08
1.2698500000e-01   -1.3542046315e-07
1.4285800000e-01   -1.3037685373e-07
1.5873100000e-01   -1.2163004900e-07
1.7460400000e-01   -3.3051203913e-08
1.9047700000e-01   -9.4221369762e-08
2.0635000000e-01   -1.9999097350e-08
2.2222300000e-01   -1.6184872886e-10
2.3809600000e-01   -2.5291395173e-08
2.5396900000e-01   -8.5701900132e-08
2.6984200000e-01   -7.1961933190e-08
2.8571500000e-01   8.6757276030e-08
3.0158800000e-01   1.6325710983e-07
3.1746100000e-01   1.9287443481e-07
3.3333400000e-01   1.4705504320e-07
3.4920700000e-01   9.9506933249e-08
3.6508000000e-01   3.3082625189e-07
3.8095300000e-01   4.9473280861e-07
3.9682600000e-01   3.2981309117e-07
4.1269900000e-01   7.2029655102e-07
4.2857200000e-01   5.3413840573e-07
4.4444500000e-01   9.4456940652e-07
4.6031800000e-01   7.4907288877e-07
4.7619100000e-01   1.1782017160e-06
4.9206400000e-01   1.1332137050e-06
5.0793700000e-01   1.2370107160e-06
5.2381000000e-01   1.6616652150e-06
5.3968300000e-01   1.5792394422e-06
5.5555600000e-01   1.7251127172e-06
5.7142900000e-01   2.1987502471e-06
5.8730200000e-01   2.3214348475e-06
6.0317500000e-01   2.3144973297e-06
6.1904800000e-01   2.6673906837e-06
6.3492100000e-01   3.1514173141e-06
6.5079400000e-01   3.3686582426e-06
6.6666700000e-01   3.4339608015e-06
6.8254000000e-01   3.6793644729e-06
6.9841300000e-01   4.1598187309e-06
7.1428600000e-01   4.6412764665e-06
7.3015900000e-01   4.9456399126e-06
7.4603200000e-01   5.1281827291e-06
7.6190500000e-01   5.3586909646e-06
7.7777800000e-01   5.7521220914e-06
7.9365100000e-01   6.2720903544e-06
8.0952400000e-01   6.8097123807e-06
8.2539700000e-01   7.2817347326e-06
8.4127000000e-01   7.6848053044e-06
8.5714300000e-01   8.0772794886e-06
8.7301600000e-01   8.5238615006e-06
8.8888900000e-01   9.0606062803e-06
9.0476200000e-01   9.6722764233e-06
9.2063500000e-01   1.0312784472e-05
9.3650800000e-01   1.0934036673e-05
9.5238100000e-01   1.1513526212e-05
9.6825400000e-01   1.2058048466e-05
9.8412700000e-01   1.2590559613e-05
1.0000000000e+00   1.3155179108e-05
