X    Y
-1.0000000000e+00   -5.3281456033e+00
-9.8414285714e-01   -5.3430137424e+00
-9.6828571429e-01   -5.3547245997e+00
-9.5242857143e-01   -5.3667289405e+00
-9.3657142857e-01   -5.3829078708e+00
-9.2071428571e-01   -5.4060341408e+00
-9.0485714286e-01   -5.4363242794e+00
-8.8900000000e-01   -5.4705006063e+00
-8.7314285714e-01   -5.5022785384e+00
-8.5728571429e-01   -5.5255824696e+00
-8.4142857143e-01   -5.5397448524e+00
-8.2557142857e-01   -5.5520213228e+00
-8.0971428571e-01   -5.5737877182e+00
-7.9385714286e-01   -5.6127262948e+00
-7.7800000000e-01   -5.6646058612e+00
-7.6214285714e-01   -5.7088456305e+00
-7.4628571429e-01   -5.7219114589e+00
-7.3042857143e-01   -5.7096765698e+00
-7.1457142857e-01   -5.7097748518e+00
-6.9871428571e-01   -5.7551425809e+00
-6.8285714286e-01   -5.8395523918e+00
-6.6700000000e-01   -5.8949264553e+00
-6.5114285714e-01   -5.8704586289e+00
-6.3528571429e-01   -5.8498505536e+00
-6.1942857143e-01   -5.9270484281e+00
-6.0357142857e-01   -6.0606417935e+00
-5.8771428571e-01   -6.0445972175e+00
-5.7185714286e-01   -5.9785831499e+00
-5.5600000000e-01   -6.1005690732e+00
-5.4014285714e-01   -6.2449164981e+00
-5.2428571429e-01   -6.0986774224e+00
-5.0842857143e-01   -6.1857006935e+00
-4.9257142857e-01   -6.3844867767e+00
-4.7671428571e-01   -6.1705619799e+00
-4.6085714286e-01   -6.4539485318e+00
-4.4500000000e-01   -6.3152402692e+00
-4.2914285714e-01   -6.4666266559e+00
-4.1328571429e-01   -6.4188829477e+00
-3.9742857143e-01   -6.6749291700e+00
-3.8157142857e-01   -6.4020942531e+00
-3.6571428571e-01   -6.9716676964e+00
-3.4985714286e-01   -6.8150573773e+00
-3.3400000000e-01   -6.5480237270e+00
-3.1814285714e-01   -6.6011686782e+00
-3.0228571429e-01   -6.7103021995e+00
-2.8642857143e-01   -6.7137019540e+00
-2.7057142857e-01   -6.7456664650e+00
-2.5471428571e-01   -7.9054021240e+00
-2.3885714286e-01   -6.9124923112e+00
-2.2300000000e-01   -7.3879809920e+00
-2.0714285714e-01   -7.2958089881e+00
-1.9128571429e-01   -7.2490654313e+00
-1.7542857143e-01   -7.2769892811e+00
-1.5957142857e-01   -8.1134699240e+00
-1.4371428571e-01   -7.7549476517e+00
-1.2785714286e-01   -7.4108195560e+00
-1.1200000000e-01   -7.3526889642e+00
-9.6142857143e-02   -7.9266391708e+00
-8.0285714286e-02   -7.4615887194e+00
-6.4428571429e-02   -7.5283401697e+00
-4.8571428571e-02   -7.7442781450e+00
-3.2714285714e-02   -8.2096722235e+00
-1.6857142857e-02   -8.1488606539e+00
-1.0000000000e-03   -9.1253643443e+00
1.0000000000e-03   -9.1253643953e+00
1.6857142857e-02   -8.1488608991e+00
3.2714285714e-02   -8.2096724228e+00
4.8571428571e-02   -7.7442782651e+00
6.4428571429e-02   -7.5283402206e+00
8.0285714286e-02   -7.4615887024e+00
9.6142857143e-02   -7.9266391968e+00
1.1200000000e-01   -7.3526890032e+00
1.2785714286e-01   -7.4108195523e+00
1.4371428571e-01   -7.7549476942e+00
1.5957142857e-01   -8.1134698911e+00
1.7542857143e-01   -7.2769892583e+00
1.9128571429e-01   -7.2490654112e+00
2.0714285714e-01   -7.2958089955e+00
2.2300000000e-01   -7.3879809428e+00
2.3885714286e-01   -6.9124923146e+00
2.5471428571e-01   -7.9054021492e+00
2.7057142857e-01   -6.7456664505e+00
2.8642857143e-01   -6.7137019655e+00
3.0228571429e-01   -6.7103022076e+00
3.1814285714e-01   -6.6011686674e+00
3.3400000000e-01   -6.5480237439e+00
3.4985714286e-01   -6.8150573479e+00
3.6571428571e-01   -6.9716676443e+00
3.8157142857e-01   -6.4020942559e+00
3.9742857143e-01   -6.6749291149e+00
4.1328571429e-01   -6.4188829585e+00
4.2914285714e-01   -6.4666266725e+00
4.4500000000e-01   -6.3152402812e+00
4.6085714286e-01   -6.4539485043e+00
4.7671428571e-01   -6.1705619878e+00
4.9257142857e-01   -6.3844867952e+00
5.0842857143e-01   -6.1857007026e+00
5.2428571429e-01   -6.0986774079e+00
5.4014285714e-01   -6.2449165146e+00
5.5600000000e-01   -6.1005690571e+00
5.7185714286e-01   -5.9785831347e+00
5.8771428571e-01   -6.0445972381e+00
6.0357142857e-01   -6.0606417737e+00
6.1942857143e-01   -5.9270484090e+00
6.3528571429e-01   -5.8498505392e+00
6.5114285714e-01   -5.8704586144e+00
6.6700000000e-01   -5.8949264709e+00
6.8285714286e-01   -5.8395524066e+00
6.9871428571e-01   -5.7551425960e+00
7.1457142857e-01   -5.7097748425e+00
7.3042857143e-01   -5.7096765602e+00
7.4628571429e-01   -5.7219114689e+00
7.6214285714e-01   -5.7088456156e+00
7.7800000000e-01   -5.6646058445e+00
7.9385714286e-01   -5.6127262800e+00
8.0971428571e-01   -5.5737877090e+00
8.2557142857e-01   -5.5520213094e+00
8.4142857143e-01   -5.5397448619e+00
8.5728571429e-01   -5.5255824794e+00
8.7314285714e-01   -5.5022785265e+00
8.8900000000e-01   -5.4705006155e+00
9.0485714286e-01   -5.4363242684e+00
9.2071428571e-01   -5.4060341287e+00
9.3657142857e-01   -5.3829078585e+00
9.5242857143e-01   -5.3667289496e+00
9.6828571429e-01   -5.3547246074e+00
9.8414285714e-01   -5.3430137308e+00
1.0000000000e+00   -5.3281456127e+00
