X    Y
-1.0000000000e+00   -5.3380299640e+00
-9.8414285714e-01   -5.3504589876e+00
-9.6828571429e-01   -5.3617644153e+00
-9.5242857143e-01   -5.3757255053e+00
-9.3657142857e-01   -5.3956409677e+00
-9.2071428571e-01   -5.4228757238e+00
-9.0485714286e-01   -5.4557069785e+00
-8.8900000000e-01   -5.4890655956e+00
-8.7314285714e-01   -5.5163845008e+00
-8.5728571429e-01   -5.5340817818e+00
-8.4142857143e-01   -5.5457832235e+00
-8.2557142857e-01   -5.5614972016e+00
-8.0971428571e-01   -5.5914226764e+00
-7.9385714286e-01   -5.6380039684e+00
-7.7800000000e-01   -5.6890176601e+00
-7.6214285714e-01   -5.7196605935e+00
-7.4628571429e-01   -5.7173885951e+00
-7.3042857143e-01   -5.7056469964e+00
-7.1457142857e-01   -5.7237216761e+00
-6.9871428571e-01   -5.7901207461e+00
-6.8285714286e-01   -5.8724397870e+00
-6.6700000000e-01   -5.8922065789e+00
-6.5114285714e-01   -5.8544178733e+00
-6.3528571429e-01   -5.8670091191e+00
-6.1942857143e-01   -5.9823566495e+00
-6.0357142857e-01   -6.0790279281e+00
-5.8771428571e-01   -6.0083733910e+00
-5.7185714286e-01   -5.9969524380e+00
-5.5600000000e-01   -6.1782385153e+00
-5.4014285714e-01   -6.2061668174e+00
-5.2428571429e-01   -6.0831008811e+00
-5.0842857143e-01   -6.2869170844e+00
-4.9257142857e-01   -6.3110338156e+00
-4.7671428571e-01   -6.1918366121e+00
-4.6085714286e-01   -6.5377115868e+00
-4.4500000000e-01   -6.2530118172e+00
-4.2914285714e-01   -6.6400654571e+00
-4.1328571429e-01   -6.3311703515e+00
-3.9742857143e-01   -6.8559821030e+00
-3.8157142857e-01   -6.4305104595e+00
-3.6571428571e-01   -6.6647812315e+00
-3.4985714286e-01   -7.2589182001e+00
-3.3400000000e-01   -6.7852579224e+00
-3.1814285714e-01   -6.6303524245e+00
-3.0228571429e-01   -6.6452607107e+00
-2.8642857143e-01   -6.7359316366e+00
-2.7057142857e-01   -7.2726551176e+00
-2.5471428571e-01   -7.7931836401e+00
-2.3885714286e-01   -6.8927623283e+00
-2.2300000000e-01   -7.0690907877e+00
-2.0714285714e-01   -7.2027279163e+00
-1.9128571429e-01   -7.0437064141e+00
-1.7542857143e-01   -7.2487717799e+00
-1.5957142857e-01   -7.1365601919e+00
-1.4371428571e-01   -7.1788010938e+00
-1.2785714286e-01   -7.2216470756e+00
-1.1200000000e-01   -7.4174310758e+00
-9.6142857143e-02   -7.4563137838e+00
-8.0285714286e-02   -8.3568230728e+00
-6.4428571429e-02   -7.6437049523e+00
-4.8571428571e-02   -7.6839268637e+00
-3.2714285714e-02   -7.9380193439e+00
-1.6857142857e-02   -8.5989526813e+00
-1.0000000000e-03   -3.6325359531e+00
1.0000000000e-03   -3.6325359240e+00
1.6857142857e-02   -8.5989637143e+00
3.2714285714e-02   -7.9380195106e+00
4.8571428571e-02   -7.6839228277e+00
6.4428571429e-02   -7.6437048902e+00
8.0285714286e-02   -8.3568235511e+00
9.6142857143e-02   -7.4563138311e+00
1.1200000000e-01   -7.4174310559e+00
1.2785714286e-01   -7.2216470859e+00
1.4371428571e-01   -7.1788010867e+00
1.5957142857e-01   -7.1365601583e+00
1.7542857143e-01   -7.2487717677e+00
1.9128571429e-01   -7.0437064157e+00
2.0714285714e-01   -7.2027279058e+00
2.2300000000e-01   -7.0690907788e+00
2.3885714286e-01   -6.8927623367e+00
2.5471428571e-01   -7.7931835907e+00
2.7057142857e-01   -7.2726551090e+00
2.8642857143e-01   -6.7359316609e+00
3.0228571429e-01   -6.6452607312e+00
3.1814285714e-01   -6.6303524059e+00
3.3400000000e-01   -6.7852579596e+00
3.4985714286e-01   -7.2589182741e+00
3.6571428571e-01   -6.6647812154e+00
3.8157142857e-01   -6.4305104679e+00
3.9742857143e-01   -6.8559821413e+00
4.1328571429e-01   -6.3311703691e+00
4.2914285714e-01   -6.6400654702e+00
4.4500000000e-01   -6.2530118302e+00
4.6085714286e-01   -6.5377116193e+00
4.7671428571e-01   -6.1918365996e+00
4.9257142857e-01   -6.3110337956e+00
5.0842857143e-01   -6.2869170991e+00
5.2428571429e-01   -6.0831008671e+00
5.4014285714e-01   -6.2061668007e+00
5.5600000000e-01   -6.1782384913e+00
5.7185714286e-01   -5.9969524528e+00
5.8771428571e-01   -6.0083734079e+00
6.0357142857e-01   -6.0790279038e+00
6.1942857143e-01   -5.9823566707e+00
6.3528571429e-01   -5.8670091039e+00
6.5114285714e-01   -5.8544186980e+00
6.6700000000e-01   -5.8922065905e+00
6.8285714286e-01   -5.8724397721e+00
6.9871428571e-01   -5.7901207284e+00
7.1457142857e-01   -5.7237216899e+00
7.3042857143e-01   -5.7056470080e+00
7.4628571429e-01   -5.7173886113e+00
7.6214285714e-01   -5.7196605774e+00
7.7800000000e-01   -5.6890176452e+00
7.9385714286e-01   -5.6380039804e+00
8.0971428571e-01   -5.5914226855e+00
8.2557142857e-01   -5.5614971882e+00
8.4142857143e-01   -5.5457832334e+00
8.5728571429e-01   -5.5340817934e+00
8.7314285714e-01   -5.5163845105e+00
8.8900000000e-01   -5.4890656039e+00
9.0485714286e-01   -5.4557069655e+00
9.2071428571e-01   -5.4228757127e+00
9.3657142857e-01   -5.3956409570e+00
9.5242857143e-01   -5.3757255135e+00
9.6828571429e-01   -5.3617644045e+00
9.8414285714e-01   -5.3504589753e+00
1.0000000000e+00   -5.3380299737e+00
