X    Y
-1.0000000000e+00   -9.9998684472e-01
-9.8412700000e-01   -9.8411440934e-01
-9.6825400000e-01   -9.6824194207e-01
-9.5238100000e-01   -9.5236948638e-01
-9.3650800000e-01   -9.3649706588e-01
-9.2063500000e-01   -9.2062468732e-01
-9.0476200000e-01   -9.0475232782e-01
-8.8888900000e-01   -8.8887993932e-01
-8.7301600000e-01   -8.7300747606e-01
-8.5714300000e-01   -8.5713492265e-01
-8.4127000000e-01   -8.4126231528e-01
-8.2539700000e-01   -8.2538971820e-01
-8.0952400000e-01   -8.0951719037e-01
-7.9365100000e-01   -7.9364472799e-01
-7.7777800000e-01   -7.7777224782e-01
-7.6190500000e-01   -7.6189964125e-01
-7.4603200000e-01   -7.4602687189e-01
-7.3015900000e-01   -7.3015405431e-01
-7.1428600000e-01   -7.1428135867e-01
-6.9841300000e-01   -6.9840884013e-01
-6.8254000000e-01   -6.8253632059e-01
-6.6666700000e-01   -6.6666356599e-01
-6.5079400000e-01   -6.5079063139e-01
-6.3492100000e-01   -6.3491784854e-01
-6.1904800000e-01   -6.1904533266e-01
-6.0317500000e-01   -6.0317268555e-01
-5.8730200000e-01   -5.8729967861e-01
-5.7142900000e-01   -5.7142680129e-01
-5.5555600000e-01   -5.5555427493e-01
-5.3968300000e-01   -5.3968142080e-01
-5.2381000000e-01   -5.2380833831e-01
-5.0793700000e-01   -5.0793576302e-01
-4.9206400000e-01   -4.9206286676e-01
-4.7619100000e-01   -4.7618982183e-01
-4.6031800000e-01   -4.6031725091e-01
-4.4444500000e-01   -4.4444405541e-01
-4.2857200000e-01   -4.2857146584e-01
-4.1269900000e-01   -4.1269827969e-01
-3.9682600000e-01   -3.9682567017e-01
-3.8095300000e-01   -3.8095250525e-01
-3.6508000000e-01   -3.6507966916e-01
-3.4920700000e-01   -3.4920690048e-01
-3.3333400000e-01   -3.3333385293e-01
-3.1746100000e-01   -3.1746080712e-01
-3.0158800000e-01   -3.0158783673e-01
-2.8571500000e-01   -2.8571491323e-01
-2.6984200000e-01   -2.6984207195e-01
-2.5396900000e-01   -2.5396908570e-01
-2.3809600000e-01   -2.3809602530e-01
-2.2222300000e-01   -2.2222300017e-01
-2.0635000000e-01   -2.0635001999e-01
-1.9047700000e-01   -1.9047709422e-01
-1.7460400000e-01   -1.7460403306e-01
-1.5873100000e-01   -1.5873112163e-01
-1.4285800000e-01   -1.4285813038e-01
-1.2698500000e-01   -1.2698513542e-01
-1.1111200000e-01   -1.1111207319e-01
-9.5239000000e-02   -9.5239128127e-02
-7.9366000000e-02   -7.9366108362e-02
-6.3493000000e-02   -6.3493071940e-02
-4.7620000000e-02   -4.7620030312e-02
-3.1747000000e-02   -3.1747044889e-02
-1.5874000000e-02   -1.5874015201e-02
-1.0000000000e-06   -9.1364110425e-07
1.0000000000e-06   4.4408419707e-08
1.5874000000e-02   1.5874015201e-02
3.1747000000e-02   3.1747044889e-02
4.7620000000e-02   4.7620030312e-02
6.3493000000e-02   6.3493071940e-02
7.9366000000e-02   7.9366108361e-02
9.5239000000e-02   9.5239128128e-02
1.1111200000e-01   1.1111207319e-01
1.2698500000e-01   1.2698513542e-01
1.4285800000e-01   1.4285813038e-01
1.5873100000e-01   1.5873112163e-01
1.7460400000e-01   1.7460403305e-01
1.9047700000e-01   1.9047709422e-01
2.0635000000e-01   2.0635002000e-01
2.2222300000e-01   2.2222300016e-01
2.3809600000e-01   2.3809602529e-01
2.5396900000e-01   2.5396908570e-01
2.6984200000e-01   2.6984207196e-01
2.8571500000e-01   2.8571491324e-01
3.0158800000e-01   3.0158783674e-01
3.1746100000e-01   3.1746080713e-01
3.3333400000e-01   3.3333385294e-01
3.4920700000e-01   3.4920690049e-01
3.6508000000e-01   3.6507966917e-01
3.8095300000e-01   3.8095250527e-01
3.9682600000e-01   3.9682567019e-01
4.1269900000e-01   4.1269827970e-01
4.2857200000e-01   4.2857146586e-01
4.4444500000e-01   4.4444405543e-01
4.6031800000e-01   4.6031725093e-01
4.7619100000e-01   4.7618982180e-01
4.9206400000e-01   4.9206286679e-01
5.0793700000e-01   5.0793576299e-01
5.2381000000e-01   5.2380833833e-01
5.3968300000e-01   5.3968142076e-01
5.5555600000e-01   5.5555427489e-01
5.7142900000e-01   5.7142680125e-01
5.8730200000e-01   5.8729967857e-01
6.0317500000e-01   6.0317268550e-01
6.1904800000e-01   6.1904533261e-01
6.3492100000e-01   6.3491784858e-01
6.5079400000e-01   6.5079063134e-01
6.6666700000e-01   6.6666356604e-01
6.8254000000e-01   6.8253632064e-01
6.9841300000e-01   6.9840884018e-01
7.1428600000e-01   7.1428135872e-01
7.3015900000e-01   7.3015405436e-01
7.4603200000e-01   7.4602687182e-01
7.6190500000e-01   7.6189964131e-01
7.7777800000e-01   7.7777224788e-01
7.9365100000e-01   7.9364472791e-01
8.0952400000e-01   8.0951719029e-01
8.2539700000e-01   8.2538971827e-01
8.4127000000e-01   8.4126231519e-01
8.5714300000e-01   8.5713492272e-01
8.7301600000e-01   8.7300747614e-01
8.8888900000e-01   8.8887993939e-01
9.0476200000e-01   9.0475232772e-01
9.2063500000e-01   9.2062468722e-01
9.3650800000e-01   9.3649706596e-01
9.5238100000e-01   9.5236948647e-01
9.6825400000e-01   9.6824194195e-01
9.8412700000e-01   9.8411440944e-01
1.0000000000e+00   9.9998684482e-01
