X    Y
-1.0000000000e+00   -1.0100963127e+00
-9.8414285714e-01   -9.9407915481e-01
-9.6828571429e-01   -9.7806195956e-01
-9.5242857143e-01   -9.6204476400e-01
-9.3657142857e-01   -9.4602760516e-01
-9.2071428571e-01   -9.3001050387e-01
-9.0485714286e-01   -9.1399345236e-01
-8.8900000000e-01   -8.9797641344e-01
-8.7314285714e-01   -8.8195933623e-01
-8.5728571429e-01   -8.6594218456e-01
-8.4142857143e-01   -8.4992496420e-01
-8.2557142857e-01   -8.3390772861e-01
-8.0971428571e-01   -8.1789054973e-01
-7.9385714286e-01   -8.0187346253e-01
-7.7800000000e-01   -7.8585642118e-01
-7.6214285714e-01   -7.6983931481e-01
-7.4628571429e-01   -7.5382205673e-01
-7.3042857143e-01   -7.3780468651e-01
-7.1457142857e-01   -7.2178737093e-01
-6.9871428571e-01   -7.0577024843e-01
-6.8285714286e-01   -6.8975324282e-01
-6.6700000000e-01   -6.7373610002e-01
-6.5114285714e-01   -6.5771871018e-01
-6.3528571429e-01   -6.4170132868e-01
-6.1942857143e-01   -6.2568424278e-01
-6.0357142857e-01   -6.0966723999e-01
-5.8771428571e-01   -5.9364989124e-01
-5.7185714286e-01   -5.7763242708e-01
-5.5600000000e-01   -5.6161536833e-01
-5.4014285714e-01   -5.4559827664e-01
-5.2428571429e-01   -5.2958073283e-01
-5.0842857143e-01   -5.1356356149e-01
-4.9257142857e-01   -4.9754648496e-01
-4.7671428571e-01   -4.8152890632e-01
-4.6085714286e-01   -4.6551191391e-01
-4.4500000000e-01   -4.4949446559e-01
-4.2914285714e-01   -4.3347729199e-01
-4.1328571429e-01   -4.1745993629e-01
-3.9742857143e-01   -4.0144279006e-01
-3.8157142857e-01   -3.8542528923e-01
-3.6571428571e-01   -3.6940826267e-01
-3.4985714286e-01   -3.5339090030e-01
-3.3400000000e-01   -3.3737345425e-01
-3.1814285714e-01   -3.2135617084e-01
-3.0228571429e-01   -3.0533891049e-01
-2.8642857143e-01   -2.8932159599e-01
-2.7057142857e-01   -2.7330429369e-01
-2.5471428571e-01   -2.5728716972e-01
-2.3885714286e-01   -2.4126971895e-01
-2.2300000000e-01   -2.2525256618e-01
-2.0714285714e-01   -2.0923525984e-01
-1.9128571429e-01   -1.9321783686e-01
-1.7542857143e-01   -1.7720063005e-01
-1.5957142857e-01   -1.6118325348e-01
-1.4371428571e-01   -1.4516596275e-01
-1.2785714286e-01   -1.2914866798e-01
-1.1200000000e-01   -1.1313126874e-01
-9.6142857143e-02   -9.7114008954e-02
-8.0285714286e-02   -8.1096646550e-02
-6.4428571429e-02   -6.5079394704e-02
-4.8571428571e-02   -4.9062067081e-02
-3.2714285714e-02   -3.3044739215e-02
-1.6857142857e-02   -1.7027424125e-02
-1.0000000000e-03   -1.0101002608e-03
1.0000000000e-03   1.0101002608e-03
1.6857142857e-02   1.7027424125e-02
3.2714285714e-02   3.3044739215e-02
4.8571428571e-02   4.9062067081e-02
6.4428571429e-02   6.5079394704e-02
8.0285714286e-02   8.1096646550e-02
9.6142857143e-02   9.7114008954e-02
1.1200000000e-01   1.1313126874e-01
1.2785714286e-01   1.2914866798e-01
1.4371428571e-01   1.4516596275e-01
1.5957142857e-01   1.6118325348e-01
1.7542857143e-01   1.7720063005e-01
1.9128571429e-01   1.9321783686e-01
2.0714285714e-01   2.0923525984e-01
2.2300000000e-01   2.2525256618e-01
2.3885714286e-01   2.4126971895e-01
2.5471428571e-01   2.5728716972e-01
2.7057142857e-01   2.7330429369e-01
2.8642857143e-01   2.8932159599e-01
3.0228571429e-01   3.0533891049e-01
3.1814285714e-01   3.2135617084e-01
3.3400000000e-01   3.3737345425e-01
3.4985714286e-01   3.5339090030e-01
3.6571428571e-01   3.6940826267e-01
3.8157142857e-01   3.8542528923e-01
3.9742857143e-01   4.0144279006e-01
4.1328571429e-01   4.1745993629e-01
4.2914285714e-01   4.3347729199e-01
4.4500000000e-01   4.4949446559e-01
4.6085714286e-01   4.6551191391e-01
4.7671428571e-01   4.8152890632e-01
4.9257142857e-01   4.9754648496e-01
5.0842857143e-01   5.1356356149e-01
5.2428571429e-01   5.2958073283e-01
5.4014285714e-01   5.4559827664e-01
5.5600000000e-01   5.6161536833e-01
5.7185714286e-01   5.7763242708e-01
5.8771428571e-01   5.9364989124e-01
6.0357142857e-01   6.0966723999e-01
6.1942857143e-01   6.2568424278e-01
6.3528571429e-01   6.4170132868e-01
6.5114285714e-01   6.5771871018e-01
6.6700000000e-01   6.7373610002e-01
6.8285714286e-01   6.8975324282e-01
6.9871428571e-01   7.0577024843e-01
7.1457142857e-01   7.2178737093e-01
7.3042857143e-01   7.3780468651e-01
7.4628571429e-01   7.5382205673e-01
7.6214285714e-01   7.6983931481e-01
7.7800000000e-01   7.8585642118e-01
7.9385714286e-01   8.0187346253e-01
8.0971428571e-01   8.1789054973e-01
8.2557142857e-01   8.3390772861e-01
8.4142857143e-01   8.4992496420e-01
8.5728571429e-01   8.6594218456e-01
8.7314285714e-01   8.8195933623e-01
8.8900000000e-01   8.9797641344e-01
9.0485714286e-01   9.1399345236e-01
9.2071428571e-01   9.3001050387e-01
9.3657142857e-01   9.4602760516e-01
9.5242857143e-01   9.6204476400e-01
9.6828571429e-01   9.7806195956e-01
9.8414285714e-01   9.9407915481e-01
1.0000000000e+00   1.0100963127e+00
