X    Y
-1.0000000000e+00   -9.9999540834e-01
-9.8414285714e-01   -9.8413839503e-01
-9.6828571429e-01   -9.6828136683e-01
-9.5242857143e-01   -9.5242436150e-01
-9.3657142857e-01   -9.3656740734e-01
-9.2071428571e-01   -9.2071050891e-01
-9.0485714286e-01   -9.0485364104e-01
-8.8900000000e-01   -8.8899675709e-01
-8.7314285714e-01   -8.7313981195e-01
-8.5728571429e-01   -8.5728279068e-01
-8.4142857143e-01   -8.4142572555e-01
-8.2557142857e-01   -8.2556868382e-01
-8.0971428571e-01   -8.0971172372e-01
-7.9385714286e-01   -7.9385484144e-01
-7.7800000000e-01   -7.7799795364e-01
-7.6214285714e-01   -7.6214095019e-01
-7.4628571429e-01   -7.4628379733e-01
-7.3042857143e-01   -7.3042660194e-01
-7.1457142857e-01   -7.1456953937e-01
-6.9871428571e-01   -6.9871266436e-01
-6.8285714286e-01   -6.8285580145e-01
-6.6700000000e-01   -6.6699871828e-01
-6.5114285714e-01   -6.5114145890e-01
-6.3528571429e-01   -6.3528435600e-01
-6.1942857143e-01   -6.1942752997e-01
-6.0357142857e-01   -6.0357059494e-01
-5.8771428571e-01   -5.8771330481e-01
-5.7185714286e-01   -5.7185613582e-01
-5.5600000000e-01   -5.5599933662e-01
-5.4014285714e-01   -5.4014223508e-01
-5.2428571429e-01   -5.2428488844e-01
-5.0842857143e-01   -5.0842805491e-01
-4.9257142857e-01   -4.9257093996e-01
-4.7671428571e-01   -4.7671364278e-01
-4.6085714286e-01   -4.6085685293e-01
-4.4500000000e-01   -4.4499944155e-01
-4.2914285714e-01   -4.2914262809e-01
-4.1328571429e-01   -4.1328524781e-01
-3.9742857143e-01   -3.9742843211e-01
-3.8157142857e-01   -3.8157105747e-01
-3.6571428571e-01   -3.6571406933e-01
-3.4985714286e-01   -3.4985708777e-01
-3.3400000000e-01   -3.3399983604e-01
-3.1814285714e-01   -3.1814262291e-01
-3.0228571429e-01   -3.0228548796e-01
-2.8642857143e-01   -2.8642838775e-01
-2.7057142857e-01   -2.7057137520e-01
-2.5471428571e-01   -2.5471430181e-01
-2.3885714286e-01   -2.3885701485e-01
-2.2300000000e-01   -2.2299991471e-01
-2.0714285714e-01   -2.0714279444e-01
-1.9128571429e-01   -1.9128562386e-01
-1.7542857143e-01   -1.7542851504e-01
-1.5957142857e-01   -1.5957135555e-01
-1.4371428571e-01   -1.4371421946e-01
-1.2785714286e-01   -1.2785708283e-01
-1.1200000000e-01   -1.1200003824e-01
-9.6142857143e-02   -9.6142822174e-02
-8.0285714286e-02   -8.0285718683e-02
-6.4428571429e-02   -6.4428594143e-02
-4.8571428571e-02   -4.8571449276e-02
-3.2714285714e-02   -3.2714274180e-02
-1.6857142857e-02   -1.6857140339e-02
-1.0000000000e-03   -1.2330580170e-03
1.0000000000e-03   1.2330580327e-03
1.6857142857e-02   1.6857140339e-02
3.2714285714e-02   3.2714274180e-02
4.8571428571e-02   4.8571449277e-02
6.4428571429e-02   6.4428594143e-02
8.0285714286e-02   8.0285718683e-02
9.6142857143e-02   9.6142822174e-02
1.1200000000e-01   1.1200003824e-01
1.2785714286e-01   1.2785708283e-01
1.4371428571e-01   1.4371421946e-01
1.5957142857e-01   1.5957135555e-01
1.7542857143e-01   1.7542851504e-01
1.9128571429e-01   1.9128562386e-01
2.0714285714e-01   2.0714279444e-01
2.2300000000e-01   2.2299991471e-01
2.3885714286e-01   2.3885701485e-01
2.5471428571e-01   2.5471430181e-01
2.7057142857e-01   2.7057137520e-01
2.8642857143e-01   2.8642838775e-01
3.0228571429e-01   3.0228548796e-01
3.1814285714e-01   3.1814262291e-01
3.3400000000e-01   3.3399983604e-01
3.4985714286e-01   3.4985708777e-01
3.6571428571e-01   3.6571406933e-01
3.8157142857e-01   3.8157105747e-01
3.9742857143e-01   3.9742843211e-01
4.1328571429e-01   4.1328524781e-01
4.2914285714e-01   4.2914262809e-01
4.4500000000e-01   4.4499944155e-01
4.6085714286e-01   4.6085685293e-01
4.7671428571e-01   4.7671364278e-01
4.9257142857e-01   4.9257093996e-01
5.0842857143e-01   5.0842805491e-01
5.2428571429e-01   5.2428488844e-01
5.4014285714e-01   5.4014223508e-01
5.5600000000e-01   5.5599933662e-01
5.7185714286e-01   5.7185613582e-01
5.8771428571e-01   5.8771330481e-01
6.0357142857e-01   6.0357059494e-01
6.1942857143e-01   6.1942752997e-01
6.3528571429e-01   6.3528435600e-01
6.5114285714e-01   6.5114145890e-01
6.6700000000e-01   6.6699871828e-01
6.8285714286e-01   6.8285580145e-01
6.9871428571e-01   6.9871266435e-01
7.1457142857e-01   7.1456953937e-01
7.3042857143e-01   7.3042660194e-01
7.4628571429e-01   7.4628379733e-01
7.6214285714e-01   7.6214095019e-01
7.7800000000e-01   7.7799795364e-01
7.9385714286e-01   7.9385484144e-01
8.0971428571e-01   8.0971172372e-01
8.2557142857e-01   8.2556868382e-01
8.4142857143e-01   8.4142572555e-01
8.5728571429e-01   8.5728279068e-01
8.7314285714e-01   8.7313981195e-01
8.8900000000e-01   8.8899675709e-01
9.0485714286e-01   9.0485364104e-01
9.2071428571e-01   9.2071050891e-01
9.3657142857e-01   9.3656740734e-01
9.5242857143e-01   9.5242436150e-01
9.6828571429e-01   9.6828136683e-01
9.8414285714e-01   9.8413839503e-01
1.0000000000e+00   9.9999540834e-01
