X    Y
-1.0000000000e+00   -1.0000000000e+00
-9.8412700000e-01   -9.8412700000e-01
-9.6825400000e-01   -9.6825400000e-01
-9.5238100000e-01   -9.5238100000e-01
-9.3650800000e-01   -9.3650800000e-01
-9.2063500000e-01   -9.2063500000e-01
-9.0476200000e-01   -9.0476200000e-01
-8.8888900000e-01   -8.8888900000e-01
-8.7301600000e-01   -8.7301600000e-01
-8.5714300000e-01   -8.5714300000e-01
-8.4127000000e-01   -8.4127000000e-01
-8.2539700000e-01   -8.2539700000e-01
-8.0952400000e-01   -8.0952400000e-01
-7.9365100000e-01   -7.9365100000e-01
-7.7777800000e-01   -7.7777800000e-01
-7.6190500000e-01   -7.6190500000e-01
-7.4603200000e-01   -7.4603200000e-01
-7.3015900000e-01   -7.3015900000e-01
-7.1428600000e-01   -7.1428600000e-01
-6.9841300000e-01   -6.9841300000e-01
-6.8254000000e-01   -6.8254000000e-01
-6.6666700000e-01   -6.6666700000e-01
-6.5079400000e-01   -6.5079400000e-01
-6.3492100000e-01   -6.3492100000e-01
-6.1904800000e-01   -6.1904800000e-01
-6.0317500000e-01   -6.0317500000e-01
-5.8730200000e-01   -5.8730200000e-01
-5.7142900000e-01   -5.7142900000e-01
-5.5555600000e-01   -5.5555600000e-01
-5.3968300000e-01   -5.3968300000e-01
-5.2381000000e-01   -5.2381000000e-01
-5.0793700000e-01   -5.0793700000e-01
-4.9206400000e-01   -4.9206400000e-01
-4.7619100000e-01   -4.7619100000e-01
-4.6031800000e-01   -4.6031800000e-01
-4.4444500000e-01   -4.4444500000e-01
-4.2857200000e-01   -4.2857200000e-01
-4.1269900000e-01   -4.1269900000e-01
-3.9682600000e-01   -3.9682600000e-01
-3.8095300000e-01   -3.8095300000e-01
-3.6508000000e-01   -3.6508000000e-01
-3.4920700000e-01   -3.4920700000e-01
-3.3333400000e-01   -3.3333400000e-01
-3.1746100000e-01   -3.1746100000e-01
-3.0158800000e-01   -3.0158800000e-01
-2.8571500000e-01   -2.8571500000e-01
-2.6984200000e-01   -2.6984200000e-01
-2.5396900000e-01   -2.5396900000e-01
-2.3809600000e-01   -2.3809600000e-01
-2.2222300000e-01   -2.2222300000e-01
-2.0635000000e-01   -2.0635000000e-01
-1.9047700000e-01   -1.9047700000e-01
-1.7460400000e-01   -1.7460400000e-01
-1.5873100000e-01   -1.5873100000e-01
-1.4285800000e-01   -1.4285800000e-01
-1.2698500000e-01   -1.2698500000e-01
-1.1111200000e-01   -1.1111200000e-01
-9.5239000000e-02   -9.5239000000e-02
-7.9366000000e-02   -7.9366000000e-02
-6.3493000000e-02   -6.3493000000e-02
-4.7620000000e-02   -4.7620000000e-02
-3.1747000000e-02   -3.1747000000e-02
-1.5874000000e-02   -1.5874000000e-02
-1.0000000000e-06   -1.0000000000e-06
1.0000000000e-06   1.0000000000e-06
1.5874000000e-02   1.5874000000e-02
3.1747000000e-02   3.1747000000e-02
4.7620000000e-02   4.7620000000e-02
6.3493000000e-02   6.3493000000e-02
7.9366000000e-02   7.9366000000e-02
9.5239000000e-02   9.5239000000e-02
1.1111200000e-01   1.1111200000e-01
1.2698500000e-01   1.2698500000e-01
1.4285800000e-01   1.4285800000e-01
1.5873100000e-01   1.5873100000e-01
1.7460400000e-01   1.7460400000e-01
1.9047700000e-01   1.9047700000e-01
2.0635000000e-01   2.0635000000e-01
2.2222300000e-01   2.2222300000e-01
2.3809600000e-01   2.3809600000e-01
2.5396900000e-01   2.5396900000e-01
2.6984200000e-01   2.6984200000e-01
2.8571500000e-01   2.8571500000e-01
3.0158800000e-01   3.0158800000e-01
3.1746100000e-01   3.1746100000e-01
3.3333400000e-01   3.3333400000e-01
3.4920700000e-01   3.4920700000e-01
3.6508000000e-01   3.6508000000e-01
3.8095300000e-01   3.8095300000e-01
3.9682600000e-01   3.9682600000e-01
4.1269900000e-01   4.1269900000e-01
4.2857200000e-01   4.2857200000e-01
4.4444500000e-01   4.4444500000e-01
4.6031800000e-01   4.6031800000e-01
4.7619100000e-01   4.7619100000e-01
4.9206400000e-01   4.9206400000e-01
5.0793700000e-01   5.0793700000e-01
5.2381000000e-01   5.2381000000e-01
5.3968300000e-01   5.3968300000e-01
5.5555600000e-01   5.5555600000e-01
5.7142900000e-01   5.7142900000e-01
5.8730200000e-01   5.8730200000e-01
6.0317500000e-01   6.0317500000e-01
6.1904800000e-01   6.1904800000e-01
6.3492100000e-01   6.3492100000e-01
6.5079400000e-01   6.5079400000e-01
6.6666700000e-01   6.6666700000e-01
6.8254000000e-01   6.8254000000e-01
6.9841300000e-01   6.9841300000e-01
7.1428600000e-01   7.1428600000e-01
7.3015900000e-01   7.3015900000e-01
7.4603200000e-01   7.4603200000e-01
7.6190500000e-01   7.6190500000e-01
7.7777800000e-01   7.7777800000e-01
7.9365100000e-01   7.9365100000e-01
8.0952400000e-01   8.0952400000e-01
8.2539700000e-01   8.2539700000e-01
8.4127000000e-01   8.4127000000e-01
8.5714300000e-01   8.5714300000e-01
8.7301600000e-01   8.7301600000e-01
8.8888900000e-01   8.8888900000e-01
9.0476200000e-01   9.0476200000e-01
9.2063500000e-01   9.2063500000e-01
9.3650800000e-01   9.3650800000e-01
9.5238100000e-01   9.5238100000e-01
9.6825400000e-01   9.6825400000e-01
9.8412700000e-01   9.8412700000e-01
1.0000000000e+00   1.0000000000e+00
