X    Y
-1.0000000000e+00   -1.0000000000e+00
-9.8412857143e-01   -9.8412857143e-01
-9.6825714286e-01   -9.6825714286e-01
-9.5238571429e-01   -9.5238571429e-01
-9.3651428571e-01   -9.3651428571e-01
-9.2064285714e-01   -9.2064285714e-01
-9.0477142857e-01   -9.0477142857e-01
-8.8890000000e-01   -8.8890000000e-01
-8.7302857143e-01   -8.7302857143e-01
-8.5715714286e-01   -8.5715714286e-01
-8.4128571429e-01   -8.4128571429e-01
-8.2541428571e-01   -8.2541428571e-01
-8.0954285714e-01   -8.0954285714e-01
-7.9367142857e-01   -7.9367142857e-01
-7.7780000000e-01   -7.7780000000e-01
-7.6192857143e-01   -7.6192857143e-01
-7.4605714286e-01   -7.4605714286e-01
-7.3018571429e-01   -7.3018571429e-01
-7.1431428571e-01   -7.1431428571e-01
-6.9844285714e-01   -6.9844285714e-01
-6.8257142857e-01   -6.8257142857e-01
-6.6670000000e-01   -6.6670000000e-01
-6.5082857143e-01   -6.5082857143e-01
-6.3495714286e-01   -6.3495714286e-01
-6.1908571429e-01   -6.1908571429e-01
-6.0321428571e-01   -6.0321428571e-01
-5.8734285714e-01   -5.8734285714e-01
-5.7147142857e-01   -5.7147142857e-01
-5.5560000000e-01   -5.5560000000e-01
-5.3972857143e-01   -5.3972857143e-01
-5.2385714286e-01   -5.2385714286e-01
-5.0798571429e-01   -5.0798571429e-01
-4.9211428571e-01   -4.9211428571e-01
-4.7624285714e-01   -4.7624285714e-01
-4.6037142857e-01   -4.6037142857e-01
-4.4450000000e-01   -4.4450000000e-01
-4.2862857143e-01   -4.2862857143e-01
-4.1275714286e-01   -4.1275714286e-01
-3.9688571429e-01   -3.9688571429e-01
-3.8101428571e-01   -3.8101428571e-01
-3.6514285714e-01   -3.6514285714e-01
-3.4927142857e-01   -3.4927142857e-01
-3.3340000000e-01   -3.3340000000e-01
-3.1752857143e-01   -3.1752857143e-01
-3.0165714286e-01   -3.0165714286e-01
-2.8578571429e-01   -2.8578571429e-01
-2.6991428571e-01   -2.6991428571e-01
-2.5404285714e-01   -2.5404285714e-01
-2.3817142857e-01   -2.3817142857e-01
-2.2230000000e-01   -2.2230000000e-01
-2.0642857143e-01   -2.0642857143e-01
-1.9055714286e-01   -1.9055714286e-01
-1.7468571429e-01   -1.7468571429e-01
-1.5881428571e-01   -1.5881428571e-01
-1.4294285714e-01   -1.4294285714e-01
-1.2707142857e-01   -1.2707142857e-01
-1.1120000000e-01   -1.1120000000e-01
-9.5328571429e-02   -9.5328571429e-02
-7.9457142857e-02   -7.9457142857e-02
-6.3585714286e-02   -6.3585714286e-02
-4.7714285714e-02   -4.7714285714e-02
-3.1842857143e-02   -3.1842857143e-02
-1.5971428571e-02   -1.5971428571e-02
-1.0000000000e-04   -1.0000000000e-04
1.0000000000e-04   1.0000000000e-04
1.5971428571e-02   1.5971428571e-02
3.1842857143e-02   3.1842857143e-02
4.7714285714e-02   4.7714285714e-02
6.3585714286e-02   6.3585714286e-02
7.9457142857e-02   7.9457142857e-02
9.5328571429e-02   9.5328571429e-02
1.1120000000e-01   1.1120000000e-01
1.2707142857e-01   1.2707142857e-01
1.4294285714e-01   1.4294285714e-01
1.5881428571e-01   1.5881428571e-01
1.7468571429e-01   1.7468571429e-01
1.9055714286e-01   1.9055714286e-01
2.0642857143e-01   2.0642857143e-01
2.2230000000e-01   2.2230000000e-01
2.3817142857e-01   2.3817142857e-01
2.5404285714e-01   2.5404285714e-01
2.6991428571e-01   2.6991428571e-01
2.8578571429e-01   2.8578571429e-01
3.0165714286e-01   3.0165714286e-01
3.1752857143e-01   3.1752857143e-01
3.3340000000e-01   3.3340000000e-01
3.4927142857e-01   3.4927142857e-01
3.6514285714e-01   3.6514285714e-01
3.8101428571e-01   3.8101428571e-01
3.9688571429e-01   3.9688571429e-01
4.1275714286e-01   4.1275714286e-01
4.2862857143e-01   4.2862857143e-01
4.4450000000e-01   4.4450000000e-01
4.6037142857e-01   4.6037142857e-01
4.7624285714e-01   4.7624285714e-01
4.9211428571e-01   4.9211428571e-01
5.0798571429e-01   5.0798571429e-01
5.2385714286e-01   5.2385714286e-01
5.3972857143e-01   5.3972857143e-01
5.5560000000e-01   5.5560000000e-01
5.7147142857e-01   5.7147142857e-01
5.8734285714e-01   5.8734285714e-01
6.0321428571e-01   6.0321428571e-01
6.1908571429e-01   6.1908571429e-01
6.3495714286e-01   6.3495714286e-01
6.5082857143e-01   6.5082857143e-01
6.6670000000e-01   6.6670000000e-01
6.8257142857e-01   6.8257142857e-01
6.9844285714e-01   6.9844285714e-01
7.1431428571e-01   7.1431428571e-01
7.3018571429e-01   7.3018571429e-01
7.4605714286e-01   7.4605714286e-01
7.6192857143e-01   7.6192857143e-01
7.7780000000e-01   7.7780000000e-01
7.9367142857e-01   7.9367142857e-01
8.0954285714e-01   8.0954285714e-01
8.2541428571e-01   8.2541428571e-01
8.4128571429e-01   8.4128571429e-01
8.5715714286e-01   8.5715714286e-01
8.7302857143e-01   8.7302857143e-01
8.8890000000e-01   8.8890000000e-01
9.0477142857e-01   9.0477142857e-01
9.2064285714e-01   9.2064285714e-01
9.3651428571e-01   9.3651428571e-01
9.5238571429e-01   9.5238571429e-01
9.6825714286e-01   9.6825714286e-01
9.8412857143e-01   9.8412857143e-01
1.0000000000e+00   1.0000000000e+00
