X    Y
0.0000000000e+00   1.0711102127e-03
7.8740157480e-03   1.0813659354e-03
1.5748031496e-02   1.1339132429e-03
2.3622047244e-02   1.1768150575e-03
3.1496062992e-02   1.2005181214e-03
3.9370078740e-02   1.1984474045e-03
4.7244094488e-02   1.1677802549e-03
5.5118110236e-02   1.1101322508e-03
6.2992125984e-02   1.0323602003e-03
7.0866141732e-02   9.4753909060e-04
7.8740157480e-02   8.7538323419e-04
8.6614173228e-02   8.3918325646e-04
9.4488188976e-02   8.5563274107e-04
1.0236220472e-01   9.2314934113e-04
1.1023622047e-01   1.0230022887e-03
1.1811023622e-01   1.1310796443e-03
1.2598425197e-01   1.2262754230e-03
1.3385826772e-01   1.2927999542e-03
1.4173228346e-01   1.3200914628e-03
1.4960629921e-01   1.3024801499e-03
1.5748031496e-01   1.2391805736e-03
1.6535433071e-01   1.1347526098e-03
1.7322834646e-01   1.0003979557e-03
1.8110236220e-01   8.5679820668e-04
1.8897637795e-01   7.3872116497e-04
1.9685039370e-01   6.9295549004e-04
2.0472440945e-01   7.4715217376e-04
2.1259842520e-01   8.7813379463e-04
2.2047244094e-01   1.0397325395e-03
2.2834645669e-01   1.1949601080e-03
2.3622047244e-01   1.3195336549e-03
2.4409448819e-01   1.3979066395e-03
2.5196850394e-01   1.4207537685e-03
2.5984251969e-01   1.3839521469e-03
2.6771653543e-01   1.2883956004e-03
2.7559055118e-01   1.1403782862e-03
2.8346456693e-01   9.5313804456e-04
2.9133858268e-01   7.5169536453e-04
2.9921259843e-01   5.8645232363e-04
3.0708661417e-01   5.4388659453e-04
3.1496062992e-01   6.6098617896e-04
3.2283464567e-01   8.6281007318e-04
3.3070866142e-01   1.0771478068e-03
3.3858267717e-01   1.2656375933e-03
3.4645669291e-01   1.4067513467e-03
3.5433070866e-01   1.4873394983e-03
3.6220472441e-01   1.4999568745e-03
3.7007874016e-01   1.4420820495e-03
3.7795275591e-01   1.3159893851e-03
3.8582677165e-01   1.1289610118e-03
3.9370078740e-01   8.9452161713e-04
4.0157480315e-01   6.3777581468e-04
4.0944881890e-01   4.2170829557e-04
4.1732283465e-01   4.0587634357e-04
4.2519685039e-01   6.1253210516e-04
4.3307086614e-01   8.7800604481e-04
4.4094488189e-01   1.1289198828e-03
4.4881889764e-01   1.3359553767e-03
4.5669291339e-01   1.4823822756e-03
4.6456692913e-01   1.5576942324e-03
4.7244094488e-01   1.5562637215e-03
4.8031496063e-01   1.4770681670e-03
4.8818897638e-01   1.3236035209e-03
4.9606299213e-01   1.1038469509e-03
5.0393700787e-01   8.3061170708e-04
5.1181102362e-01   3.9548819426e-04
5.1968503937e-01   2.1076990322e-04
5.2755905512e-01   6.7095948022e-04
5.3543307087e-01   1.0288269368e-03
5.4330708661e-01   1.1785039718e-03
5.5118110236e-01   1.0847258639e-03
5.5905511811e-01   7.6551138549e-04
5.6692913386e-01   2.8953914312e-04
5.7480314961e-01   2.6624129567e-04
5.8267716535e-01   7.5003721524e-04
5.9055118110e-01   1.0833072416e-03
5.9842519685e-01   1.1921391308e-03
6.0629921260e-01   1.0526912848e-03
6.1417322835e-01   6.9337860600e-04
6.2204724409e-01   1.8900936495e-04
6.2992125984e-01   3.5649639664e-04
6.3779527559e-01   8.2770651666e-04
6.4566929134e-01   1.1270588636e-03
6.5354330709e-01   1.1919841927e-03
6.6141732283e-01   1.0092218815e-03
6.6929133858e-01   6.1836725079e-04
6.7716535433e-01   1.2701212926e-04
6.8503937008e-01   4.5775618535e-04
6.9291338583e-01   8.9972114802e-04
7.0078740157e-01   1.1584868414e-03
7.0866141732e-01   1.1782323870e-03
7.1653543307e-01   9.5637073295e-04
7.2440944882e-01   5.4627727118e-04
7.3228346457e-01   1.6450415344e-04
7.4015748031e-01   5.5936061771e-04
7.4803149606e-01   9.6291659114e-04
7.5590551181e-01   1.1764839508e-03
7.6377952756e-01   1.1514918618e-03
7.7165354331e-01   8.9682995107e-04
7.7952755906e-01   4.8526784579e-04
7.8740157480e-01   2.6142612122e-04
7.9527559055e-01   6.5584657196e-04
8.0314960630e-01   1.0148883599e-03
8.1102362205e-01   1.1804334757e-03
8.1889763780e-01   1.1129336710e-03
8.2677165354e-01   8.3417759578e-04
8.3464566929e-01   4.4571782379e-04
8.4251968504e-01   3.7097637111e-04
8.5039370079e-01   7.4390409411e-04
8.5826771654e-01   1.0539262719e-03
8.6614173228e-01   1.1702085889e-03
8.7401574803e-01   1.0642257748e-03
8.8188976378e-01   7.7286716087e-04
8.8976377953e-01   4.3718547798e-04
8.9763779528e-01   4.8009720439e-04
9.0551181102e-01   8.2104920234e-04
9.1338582677e-01   1.0787502423e-03
9.2125984252e-01   1.1461366144e-03
9.2913385827e-01   1.0076790016e-03
9.3700787402e-01   7.1836052504e-04
9.4488188976e-01   4.6252455969e-04
9.5275590551e-01   5.8384846653e-04
9.6062992126e-01   8.8547367897e-04
9.6850393701e-01   1.0885987906e-03
9.7637795276e-01   1.1090007958e-03
9.8425196850e-01   9.4623553594e-04
9.9212598425e-01   6.7675968461e-04
1.0000000000e+00   5.1564574830e-04
