X    Y
0.0000000000e+00   8.0498963884e-01
7.8740157480e-03   6.5729263905e-01
1.5748031496e-02   4.7577719124e-01
2.3622047244e-02   2.6979157684e-01
3.1496062992e-02   4.9928052959e-02
3.9370078740e-02   -1.7250722269e-01
4.7244094488e-02   -3.8607565904e-01
5.5118110236e-02   -5.7979438936e-01
6.2992125984e-02   -7.4370109206e-01
7.0866141732e-02   -8.6936632279e-01
7.8740157480e-02   -9.5032700769e-01
8.6614173228e-02   -9.8241886766e-01
9.4488188976e-02   -9.6399061062e-01
1.0236220472e-01   -8.9598886102e-01
1.1023622047e-01   -7.8190958575e-01
1.1811023622e-01   -6.2761835321e-01
1.2598425197e-01   -4.4104873286e-01
1.3385826772e-01   -2.3179437389e-01
1.4173228346e-01   -1.0615667551e-02
1.4960629921e-01   2.1111355204e-01
1.5748031496e-01   4.2199088901e-01
1.6535433071e-01   6.1117176962e-01
1.7322834646e-01   7.6892710663e-01
1.8110236220e-01   8.8714368179e-01
1.8897637795e-01   9.5974136982e-01
1.9685039370e-01   9.8298583953e-01
2.0472440945e-01   9.5568068381e-01
2.1259842520e-01   8.7922895464e-01
2.2047244094e-01   7.5756113046e-01
2.2834645669e-01   5.9693300330e-01
2.3622047244e-01   4.0560400408e-01
2.4409448819e-01   1.9341256413e-01
2.5196850394e-01   -2.8729812268e-02
2.5984251969e-01   -2.4939967286e-01
2.6771653543e-01   -4.5724898874e-01
2.7559055118e-01   -6.4158879730e-01
2.8346456693e-01   -7.9293886796e-01
2.9133858268e-01   -9.0351525582e-01
2.9921259843e-01   -9.6763062311e-01
3.0708661417e-01   -9.8198675032e-01
3.1496062992e-01   -9.4584425002e-01
3.2283464567e-01   -8.6106059485e-01
3.3070866142e-01   -7.3199469190e-01
3.3858267717e-01   -5.6528277774e-01
3.4645669291e-01   -3.6949718007e-01
3.5433070866e-01   -1.5470557009e-01
3.6220472441e-01   6.8046765592e-02
3.7007874016e-01   2.8730491408e-01
3.7795275591e-01   4.9179334105e-01
3.8582677165e-01   6.7099583694e-01
3.9370078740e-01   8.1569623980e-01
4.0157480315e-01   9.1845246166e-01
4.0944881890e-01   9.7397924493e-01
4.1732283465e-01   9.7941996793e-01
4.2519685039e-01   9.3449365513e-01
4.3307086614e-01   8.4150945547e-01
4.4094488189e-01   7.0524802012e-01
4.4881889764e-01   5.3271561132e-01
4.5669291339e-01   3.3278392055e-01
4.6456692913e-01   1.1573389637e-01
4.7244094488e-01   -1.0727296514e-01
4.8031496063e-01   -3.2476854562e-01
4.8818897638e-01   -5.2556786871e-01
4.9606299213e-01   -6.9934431112e-01
5.0393700787e-01   -8.3716066653e-01
5.1181102362e-01   -8.0277938763e-01
5.1968503937e-01   -6.0326891820e-01
5.2755905512e-01   -2.7966421539e-01
5.3543307087e-01   1.0147321219e-01
5.4330708661e-01   4.6174615888e-01
5.5118110236e-01   7.2704745764e-01
5.5905511811e-01   8.4280360870e-01
5.6692913386e-01   7.8520075518e-01
5.7480314961e-01   5.6608379600e-01
5.8267716535e-01   2.3052070357e-01
5.9055118110e-01   -1.5246701627e-01
5.9842519685e-01   -5.0410124938e-01
6.0629921260e-01   -7.5205140934e-01
6.1417322835e-01   -8.4531272490e-01
6.2204724409e-01   -7.6469819980e-01
6.2992125984e-01   -5.2678605854e-01
6.3779527559e-01   -1.8051048141e-01
6.4566929134e-01   2.0290325997e-01
6.5354330709e-01   5.4458909260e-01
6.6141732283e-01   7.7426237985e-01
6.6929133858e-01   8.4467752556e-01
6.7716535433e-01   7.4134671921e-01
6.8503937008e-01   4.8552080854e-01
6.9291338583e-01   1.2981892154e-01
7.0078740157e-01   -2.5259445073e-01
7.0866141732e-01   -5.8305860802e-01
7.1653543307e-01   -7.9359680987e-01
7.2440944882e-01   -8.4089917302e-01
7.3228346457e-01   -7.1523196207e-01
7.4015748031e-01   -4.4244054815e-01
7.4803149606e-01   -7.8633985842e-02
7.5590551181e-01   3.0135577004e-01
7.6377952756e-01   6.1936616905e-01
7.7165354331e-01   8.0998179361e-01
7.7952755906e-01   8.3399047535e-01
7.8740157480e-01   6.8644979502e-01
7.9527559055e-01   3.9770452332e-01
8.0314960630e-01   2.7145634543e-02
8.1102362205e-01   -3.4900562600e-01
8.1889763780e-01   -6.5337587914e-01
8.2677165354e-01   -8.2335509047e-01
8.3464566929e-01   -8.2397570313e-01
8.4251968504e-01   -6.5510609135e-01
8.5039370079e-01   -3.5147844017e-01
8.5826771654e-01   2.4454741504e-02
8.6614173228e-01   3.9536633852e-01
8.7401574803e-01   6.8496031474e-01
8.8188976378e-01   8.3366572064e-01
8.8976377953e-01   8.1089079474e-01
8.9763779528e-01   6.2131628330e-01
9.0551181102e-01   3.0393349882e-01
9.1338582677e-01   -7.5975319113e-02
9.2125984252e-01   -4.4026486814e-01
9.2913385827e-01   -7.1400084482e-01
9.3700787402e-01   -8.4087393652e-01
9.4488188976e-01   -7.9478306236e-01
9.5275590551e-01   -5.8520505124e-01
9.6062992126e-01   -2.5524610691e-01
9.6850393701e-01   1.2722428991e-01
9.7637795276e-01   4.8353347723e-01
9.8425196850e-01   7.4038826906e-01
9.9212598425e-01   8.4495151413e-01
1.0000000000e+00   7.7571108001e-01
