X    Y
0.0000000000e+00   -7.2338680088e-01
3.9215686275e-03   -7.9597994691e-01
7.8431372549e-03   -8.5841966825e-01
1.1764705882e-02   -9.0990963571e-01
1.5686274510e-02   -9.4979305806e-01
1.9607843137e-02   -9.7756119428e-01
2.3529411765e-02   -9.9285984316e-01
2.7450980392e-02   -9.9549386033e-01
3.1372549020e-02   -9.8542964693e-01
3.5294117647e-02   -9.6279557865e-01
3.9215686275e-02   -9.2788036970e-01
4.3137254902e-02   -8.8112938915e-01
4.7058823529e-02   -8.2313897965e-01
5.0980392157e-02   -7.5464884968e-01
5.4901960784e-02   -6.7653263963e-01
5.8823529412e-02   -5.8978677822e-01
6.2745098039e-02   -4.9551777056e-01
6.6666666667e-02   -3.9492808411e-01
7.0588235294e-02   -2.8930081141e-01
7.4509803922e-02   -1.7998330457e-01
7.8431372549e-02   -6.8369987203e-02
8.2352941176e-02   4.4115433882e-02
8.6274509804e-02   1.5603812758e-01
9.0196078431e-02   2.6597044070e-01
9.4117647059e-02   3.7251010831e-01
9.8039215686e-02   4.7429814172e-01
1.0196078431e-01   5.7003616352e-01
1.0588235294e-01   6.5850296688e-01
1.0980392157e-01   7.3857009418e-01
1.1372549020e-01   8.0921623243e-01
1.1764705882e-01   8.6954024142e-01
1.2156862745e-01   9.1877264577e-01
1.2549019608e-01   9.5628545127e-01
1.2941176471e-01   9.8160015636e-01
1.3333333333e-01   9.9439385525e-01
1.3725490196e-01   9.9450335554e-01
1.4117647059e-01   9.8192725996e-01
1.4509803922e-01   9.5682598512e-01
1.4901960784e-01   9.1951971664e-01
1.5294117647e-01   8.7048432305e-01
1.5686274510e-01   8.1034528485e-01
1.6078431373e-01   7.3986971872e-01
1.6470588235e-01   6.5995659154e-01
1.6862745098e-01   5.7162525272e-01
1.7254901961e-01   4.7600243072e-01
1.7647058824e-01   3.7430786175e-01
1.8039215686e-01   2.6783873247e-01
1.8431372549e-01   1.5795313286e-01
1.8823529412e-01   4.6052732164e-02
1.9215686275e-01   -6.6435101255e-02
1.9607843137e-01   -1.7807550588e-01
2.0000000000e-01   -2.8744442928e-01
2.0392156863e-01   -3.9314679276e-01
2.0784313725e-01   -4.9383428764e-01
2.1176470588e-01   -5.8822257403e-01
2.1568627451e-01   -6.7510766279e-01
2.1960784314e-01   -7.5338127325e-01
2.2352941176e-01   -8.2204496971e-01
2.2745098039e-01   -8.8022289774e-01
2.3137254902e-01   -9.2717295651e-01
2.3529411765e-01   -9.6229626543e-01
2.3921568627e-01   -9.8514480300e-01
2.4313725490e-01   -9.9542712039e-01
2.4705882353e-01   -9.9301205860e-01
2.5098039216e-01   -9.7793042218e-01
2.5490196078e-01   -9.5037458779e-01
2.5882352941e-01   -9.1069605061e-01
2.6274509804e-01   -8.5940093955e-01
2.6666666667e-01   -7.9714356052e-01
2.7058823529e-01   -7.2471805045e-01
2.7450980392e-01   -6.4304824797e-01
2.7843137255e-01   -5.5317590933e-01
2.8235294118e-01   -4.5624742011e-01
2.8627450980e-01   -3.5349917254e-01
2.9019607843e-01   -2.4624179367e-01
2.9411764706e-01   -1.3584342722e-01
2.9803921569e-01   -2.3712282511e-02
3.0196078431e-01   8.8721328092e-02
3.0588235294e-01   2.0002323295e-01
3.0980392157e-01   3.0877369734e-01
3.1372549020e-01   4.1358553267e-01
3.1764705882e-01   5.1312179065e-01
3.2156862745e-01   6.0611281523e-01
3.2549019608e-01   6.9137243891e-01
3.2941176471e-01   7.6781311486e-01
3.3333333333e-01   8.3445978858e-01
3.3725490196e-01   8.9046233526e-01
3.4117647059e-01   9.3510640263e-01
3.4509803922e-01   9.6782252454e-01
3.4901960784e-01   9.8819338392e-01
3.5294117647e-01   9.9595913532e-01
3.5686274510e-01   9.9102072064e-01
3.6078431373e-01   9.7344113350e-01
3.6470588235e-01   9.4344461556e-01
3.6862745098e-01   9.0141379389e-01
3.7254901961e-01   8.4788480046e-01
3.7647058824e-01   7.8354043498e-01
3.8039215686e-01   7.0920145566e-01
3.8431372549e-01   6.2581610859e-01
3.8823529412e-01   5.3444803280e-01
3.9215686275e-01   4.3626269259e-01
