X    Y
0.0000000000e+00   6.8565730403e-01
3.9215686275e-03   5.9985677027e-01
7.8431372549e-03   5.0640463790e-01
1.1764705882e-02   4.0649295517e-01
1.5686274510e-02   3.0139616644e-01
1.9607843137e-02   1.9245485582e-01
2.3529411765e-02   8.1058646996e-02
2.7450980392e-02   -3.1371522368e-02
3.1372549020e-02   -1.4340152571e-01
3.5294117647e-02   -2.5360234087e-01
3.9215686275e-02   -3.6056827829e-01
4.3137254902e-02   -4.6293491154e-01
4.7058823529e-02   -5.5939648162e-01
5.0980392157e-02   -6.4872255278e-01
5.4901960784e-02   -7.2977370761e-01
5.8823529412e-02   -8.0151608113e-01
6.2745098039e-02   -8.6303454850e-01
6.6666666667e-02   -9.1354439801e-01
7.0588235294e-02   -9.5240134070e-01
7.4509803922e-02   -9.7910972872e-01
7.8431372549e-02   -9.9332887762e-01
8.2352941176e-02   -9.9487741208e-01
8.6274509804e-02   -9.8373557944e-01
9.0196078431e-02   -9.6004550168e-01
9.4117647059e-02   -9.2410936254e-01
9.8039215686e-02   -8.7638555297e-01
1.0196078431e-01   -8.1748282402e-01
1.0588235294e-01   -7.4815252177e-01
1.0980392157e-01   -6.6927900341e-01
1.1372549020e-01   -5.8186835662e-01
1.1764705882e-01   -4.8703556619e-01
1.2156862745e-01   -3.8599029164e-01
1.2549019608e-01   -2.8002143712e-01
1.2941176471e-01   -1.7048071054e-01
1.3333333333e-01   -5.8765381562e-02
1.3725490196e-01   5.3699541539e-02
1.4117647059e-01   1.6547948890e-01
1.4509803922e-01   2.7514862799e-01
1.4901960784e-01   3.8130805116e-01
1.5294117647e-01   4.8260361966e-01
1.5686274510e-01   5.7774323666e-01
1.6078431373e-01   6.6551332885e-01
1.6470588235e-01   7.4479432647e-01
1.6862745098e-01   8.1457494413e-01
1.7254901961e-01   8.7396508057e-01
1.7647058824e-01   9.2220717246e-01
1.8039215686e-01   9.5868585771e-01
1.8431372549e-01   9.8293582481e-01
1.8823529412e-01   9.9464774822e-01
1.9215686275e-01   9.9367223406e-01
1.9607843137e-01   9.8002172570e-01
2.0000000000e-01   9.5387034506e-01
2.0392156863e-01   9.1555167154e-01
2.0784313725e-01   8.6555448702e-01
2.1176470588e-01   8.0451654103e-01
2.1568627451e-01   7.3321641589e-01
2.1960784314e-01   6.5256359527e-01
2.2352941176e-01   5.6358686309e-01
2.2745098039e-01   4.6742118070e-01
2.3137254902e-01   3.6529320959e-01
2.3529411765e-01   2.5850566447e-01
2.3921568627e-01   1.4842069623e-01
2.4313725490e-01   3.6442516734e-02
2.4705882353e-01   -7.6000512916e-02
2.5098039216e-01   -1.8747410211e-01
2.5490196078e-01   -2.9655632616e-01
2.5882352941e-01   -4.0185576390e-01
2.6274509804e-01   -5.0202924632e-01
2.6666666667e-01   -5.9579898959e-01
2.7058823529e-01   -6.8196889412e-01
2.7450980392e-01   -7.5943980166e-01
2.7843137255e-01   -8.2722351583e-01
2.8235294118e-01   -8.8445540727e-01
2.8627450980e-01   -9.3040544261e-01
2.9019607843e-01   -9.6448749655e-01
2.9411764706e-01   -9.8626682832e-01
2.9803921569e-01   -9.9546562709e-01
3.0196078431e-01   -9.9196655566e-01
3.0588235294e-01   -9.7581424717e-01
3.0980392157e-01   -9.4721473578e-01
3.1372549020e-01   -9.0653282852e-01
3.1764705882e-01   -8.5428745200e-01
3.2156862745e-01   -7.9114503305e-01
3.2549019608e-01   -7.1791099800e-01
3.2941176471e-01   -6.3551949893e-01
3.3333333333e-01   -5.4502149786e-01
3.3725490196e-01   -4.4757136097e-01
3.4117647059e-01   -3.4441213388e-01
3.4509803922e-01   -2.3685968573e-01
3.4901960784e-01   -1.2628592427e-01
3.5294117647e-01   -1.4101296263e-02
3.5686274510e-01   9.8263203779e-02
3.6078431373e-01   2.0937428695e-01
3.6470588235e-01   3.1781465258e-01
3.6862745098e-01   4.2220106688e-01
3.7254901961e-01   5.2120200708e-01
3.7647058824e-01   6.1355464597e-01
3.8039215686e-01   6.9808096013e-01
3.8431372549e-01   7.7370275646e-01
3.8823529412e-01   8.3945542532e-01
3.9215686275e-01   8.9450024476e-01
3.9607843137e-01   9.3813507908e-01
4.0000000000e-01   9.6980333500e-01
4.0392156863e-01   9.8910106146e-01
4.0784313725e-01   9.9578210227e-01
4.1176470588e-01   9.8976123602e-01
4.1568627451e-01   9.7111526312e-01
4.1960784314e-01   9.4008202619e-01
4.2352941176e-01   8.9705737617e-01
4.2745098039e-01   8.4259012300e-01
4.3137254902e-01   7.7737503512e-01
4.3529411765e-01   7.0224397725e-01
4.3921568627e-01   6.1815529932e-01
4.4313725490e-01   5.2618161206e-01
4.4705882353e-01   4.2749610509e-01
4.5098039216e-01   3.2335758206e-01
4.5490196078e-01   2.1509440370e-01
4.5882352941e-01   1.0408754365e-01
4.6274509804e-01   -8.2470268566e-03
4.6666666667e-01   -1.2047640069e-01
4.7058823529e-01   -2.3116901256e-01
4.7450980392e-01   -3.3891289971e-01
4.7843137255e-01   -4.4233371241e-01
4.8235294118e-01   -5.4011224485e-01
4.8627450980e-01   -6.3100126248e-01
4.9019607843e-01   -7.1384141141e-01
4.9411764706e-01   -7.8757600678e-01
4.9803921569e-01   -8.5126451152e-01
