X    Y
0.0000000000e+00   -5.6929342483e-01
7.8740157480e-03   -7.3520015942e-01
1.5748031496e-02   -8.6329894434e-01
2.3622047244e-02   -9.4700225053e-01
3.1496062992e-02   -9.8200560343e-01
3.9370078740e-02   -9.6650894221e-01
4.7244094488e-02   -9.0130918860e-01
5.5118110236e-02   -7.8975926491e-01
6.2992125984e-02   -6.3759566866e-01
7.0866141732e-02   -4.5264347104e-01
7.8740157480e-02   -2.4441390963e-01
8.6614173228e-02   -2.3615269348e-02
9.4488188976e-02   1.9839779521e-01
1.0236220472e-01   4.1020817718e-01
1.1023622047e-01   6.0092344660e-01
1.1811023622e-01   7.6073599771e-01
1.2598425197e-01   8.8142740890e-01
1.3385826772e-01   9.5679107812e-01
1.4173228346e-01   9.8295139984e-01
1.4960629921e-01   9.5856306951e-01
1.5748031496e-01   8.8488026633e-01
1.6535433071e-01   7.6569215669e-01
1.7322834646e-01   6.0712803474e-01
1.8110236220e-01   4.1734212116e-01
1.8897637795e-01   2.0609422923e-01
1.9685039370e-01   -1.5752137352e-02
2.0472440945e-01   -2.3678844424e-01
2.1259842520e-01   -4.4564781472e-01
2.2047244094e-01   -6.3158957571e-01
2.2834645669e-01   -7.8505160097e-01
2.3622047244e-01   -8.9814204710e-01
2.4409448819e-01   -9.6504519459e-01
2.5196850394e-01   -9.8232052349e-01
2.5984251969e-01   -9.4907964338e-01
2.6771653543e-01   -8.6703197926e-01
2.7559055118e-01   -7.4039686366e-01
2.8346456693e-01   -5.7568655588e-01
2.9133858268e-01   -3.8137134657e-01
2.9921259843e-01   -1.6744396975e-01
3.0708661417e-01   5.5094277323e-02
3.1496062992e-01   2.7479928009e-01
3.2283464567e-01   4.8037262467e-01
3.3070866142e-01   6.6124262311e-01
3.3858267717e-01   8.0810796651e-01
3.4645669291e-01   9.1341604834e-01
3.5433070866e-01   9.7175136018e-01
3.6220472441e-01   9.8011398630e-01
3.7007874016e-01   9.3807387542e-01
3.7795275591e-01   8.4779295637e-01
3.8582677165e-01   7.1391395995e-01
3.9370078740e-01   5.4332166482e-01
4.0157480315e-01   3.4478884506e-01
4.0944881890e-01   1.2852512695e-01
4.1732283465e-01   -9.4348045024e-02
4.2519685039e-01   -3.1236933266e-01
4.3307086614e-01   -5.1432690778e-01
4.4094488189e-01   -6.8983502475e-01
4.4881889764e-01   -8.2986811147e-01
4.5669291339e-01   -9.2722491284e-01
4.6456692913e-01   -9.7689881808e-01
4.7244094488e-01   -9.7633532759e-01
4.8031496063e-01   -9.2556341910e-01
4.8818897638e-01   -8.2719405742e-01
4.9606299213e-01   -6.8628592465e-01
5.0393700787e-01   -5.1008527545e-01
5.1181102362e-01   -2.2895930395e-01
5.1968503937e-01   9.9263946997e-02
5.2755905512e-01   4.0706845204e-01
5.3543307087e-01   6.3113835311e-01
5.4330708661e-01   7.2538212842e-01
5.5118110236e-01   6.7041368906e-01
5.5905511811e-01   4.7754012719e-01
5.6692913386e-01   1.8643582985e-01
5.7480314961e-01   -1.4301860320e-01
5.8267716535e-01   -4.4305389055e-01
5.9055118110e-01   -6.5195231412e-01
5.9842519685e-01   -7.2674314828e-01
6.0629921260e-01   -6.5204180389e-01
6.1417322835e-01   -4.4321446191e-01
6.2204724409e-01   -1.4321722637e-01
6.2992125984e-01   1.8624001195e-01
6.3779527559e-01   4.7738739461e-01
6.4566929134e-01   6.7033545913e-01
6.5354330709e-01   7.2539449315e-01
6.6141732283e-01   6.3123876905e-01
6.6929133858e-01   4.0723626348e-01
6.7716535433e-01   9.9464634873e-02
6.8503937008e-01   -2.2876702145e-01
6.9291338583e-01   -5.0994095113e-01
7.0078740157e-01   -6.8621924623e-01
7.0866141732e-01   -7.2134119151e-01
7.1653543307e-01   -6.0808214903e-01
7.2440944882e-01   -3.6973967727e-01
7.3228346457e-01   -5.5341187683e-02
7.4015748031e-01   2.7044106896e-01
7.4803149606e-01   5.4059318357e-01
7.5590551181e-01   6.9954445245e-01
7.6377952756e-01   7.1459835618e-01
7.7165354331e-01   5.8265828370e-01
7.7952755906e-01   3.3086450998e-01
7.8740157480e-01   1.1011399872e-02
7.9527559055e-01   -3.1110677205e-01
8.0314960630e-01   -5.6922980454e-01
8.1102362205e-01   -7.1026139451e-01
8.1889763780e-01   -7.0519112793e-01
8.2677165354e-01   -5.5506196641e-01
8.3464566929e-01   -2.9075570837e-01
8.4251968504e-01   3.3359444143e-02
8.5039370079e-01   3.5061250791e-01
8.5826771654e-01   5.9574404187e-01
8.6614173228e-01   7.1833011409e-01
8.7401574803e-01   6.9315458179e-01
8.8188976378e-01   5.2539609052e-01
8.8976377953e-01   2.4956281884e-01
8.9763779528e-01   -7.7605906866e-02
9.0551181102e-01   -3.8881097868e-01
9.1338582677e-01   -6.2003703675e-01
9.2125984252e-01   -7.2372052684e-01
9.2913385827e-01   -6.7853359625e-01
9.3700787402e-01   -4.9377126580e-01
9.4488188976e-01   -2.0743942981e-01
9.5275590551e-01   1.2156301456e-01
9.6062992126e-01   4.2555976067e-01
9.6850393701e-01   6.4201821232e-01
9.7637795276e-01   7.2641253449e-01
9.8425196850e-01   6.6138268590e-01
9.9212598425e-01   4.6030540597e-01
1.0000000000e+00   1.6454259912e-01
