X    Y
-1.0000000000e+00   2.8089738662e-09
-9.9804496579e-01   2.8011871275e-09
-9.9608993157e-01   2.8263594681e-09
-9.9413489736e-01   2.8776902803e-09
-9.9217986315e-01   2.9405914970e-09
-9.9022482893e-01   2.9966259821e-09
-9.8826979472e-01   3.0294103519e-09
-9.8631476051e-01   3.0299521462e-09
-9.8435972630e-01   2.9992132426e-09
-9.8240469208e-01   2.9480416130e-09
-9.8044965787e-01   2.8934451757e-09
-9.7849462366e-01   2.8537090801e-09
-9.7653958944e-01   2.8425574160e-09
-9.7458455523e-01   2.8649562959e-09
-9.7262952102e-01   2.9151455187e-09
-9.7067448680e-01   2.9787212147e-09
-9.6871945259e-01   3.0372452690e-09
-9.6676441838e-01   3.0737027608e-09
-9.6480938416e-01   3.0779785305e-09
-9.6285434995e-01   3.0498441029e-09
-9.6089931574e-01   2.9993495622e-09
-9.5894428152e-01   2.9433704600e-09
-9.5698924731e-01   2.9010953684e-09
-9.5503421310e-01   2.8866730126e-09
-9.5307917889e-01   2.9062601921e-09
-9.5112414467e-01   2.9549577200e-09
-9.4916911046e-01   3.0192731156e-09
-9.4721407625e-01   3.0801787619e-09
-9.4525904203e-01   3.1203089145e-09
-9.4330400782e-01   3.1283417581e-09
-9.4134897361e-01   3.1028816151e-09
-9.3939393939e-01   3.0533360369e-09
-9.3743890518e-01   2.9965709228e-09
-9.3548387097e-01   2.9513838539e-09
-9.3352883675e-01   2.9335996926e-09
-9.3157380254e-01   2.9503160653e-09
-9.2961876833e-01   2.9974519867e-09
-9.2766373412e-01   3.0621395886e-09
-9.2570869990e-01   3.1256148662e-09
-9.2375366569e-01   3.1692844595e-09
-9.2179863148e-01   3.1811698152e-09
-9.1984359726e-01   3.1587234819e-09
-9.1788856305e-01   3.1103284396e-09
-9.1593352884e-01   3.0525718524e-09
-9.1397849462e-01   3.0049702032e-09
-9.1202346041e-01   2.9838659695e-09
-9.1006842620e-01   2.9972684548e-09
-9.0811339198e-01   3.0427896061e-09
-9.0615835777e-01   3.1076703116e-09
-9.0420332356e-01   3.1734951204e-09
-9.0224828935e-01   3.2209536007e-09
-9.0029325513e-01   3.2367633470e-09
-8.9833822092e-01   3.2175435251e-09
-8.9638318671e-01   3.1705336386e-09
-8.9442815249e-01   3.1121408703e-09
-8.9247311828e-01   3.0619138734e-09
-8.9051808407e-01   3.0373869587e-09
-8.8856304985e-01   3.0475678161e-09
-8.8660801564e-01   3.0911502272e-09
-8.8465298143e-01   3.1564674137e-09
-8.8269794721e-01   3.2244154595e-09
-8.8074291300e-01   3.2755019073e-09
-8.7878787879e-01   3.2954315929e-09
-8.7683284457e-01   3.2793926063e-09
-8.7487781036e-01   3.2340979617e-09
-8.7292277615e-01   3.1751061396e-09
-8.7096774194e-01   3.1224816017e-09
-8.6901270772e-01   3.0942870769e-09
-8.6705767351e-01   3.1012775874e-09
-8.6510263930e-01   3.1428386984e-09
-8.6314760508e-01   3.2079239086e-09
-8.6119257087e-01   3.2779913185e-09
-8.5923753666e-01   3.3329278614e-09
-8.5728250244e-01   3.3570862007e-09
-8.5532746823e-01   3.3447312308e-09
-8.5337243402e-01   3.3012123753e-09
-8.5141739980e-01   3.2418504557e-09
-8.4946236559e-01   3.1868194183e-09
-8.4750733138e-01   3.1552364345e-09
-8.4555229717e-01   3.1587236904e-09
-8.4359726295e-01   3.1980742279e-09
-8.4164222874e-01   3.2631485260e-09
-8.3968719453e-01   3.3352625500e-09
-8.3773216031e-01   3.3938302454e-09
-8.3577712610e-01   3.4223185524e-09
-8.3382209189e-01   3.4136388922e-09
-8.3186705767e-01   3.3721858175e-09
-8.2991202346e-01   3.3126109878e-09
-8.2795698925e-01   3.2553939399e-09
-8.2600195503e-01   3.2202932720e-09
-8.2404692082e-01   3.2203124155e-09
-8.2209188661e-01   3.2573304989e-09
-8.2013685239e-01   3.3219343750e-09
-8.1818181818e-01   3.3959527727e-09
-8.1622678397e-01   3.4582139695e-09
-8.1427174976e-01   3.4912585277e-09
-8.1231671554e-01   3.4864790035e-09
-8.1036168133e-01   3.4473175913e-09
-8.0840664712e-01   3.3878118836e-09
-8.0645161290e-01   3.3283827455e-09
-8.0449657869e-01   3.2898323638e-09
-8.0254154448e-01   3.2860969922e-09
-8.0058651026e-01   3.3206740283e-09
-7.9863147605e-01   3.3847822529e-09
-7.9667644184e-01   3.4606214284e-09
-7.9472140762e-01   3.5266850253e-09
-7.9276637341e-01   3.5642028541e-09
-7.9081133920e-01   3.5635225920e-09
-7.8885630499e-01   3.5269266385e-09
-7.8690127077e-01   3.4676016202e-09
-7.8494623656e-01   3.4062795456e-09
-7.8299120235e-01   3.3641498101e-09
-7.8103616813e-01   3.3567467889e-09
-7.7908113392e-01   3.3884311043e-09
-7.7712609971e-01   3.4519140748e-09
-7.7517106549e-01   3.5295327424e-09
-7.7321603128e-01   3.5992663063e-09
-7.7126099707e-01   3.6415791901e-09
-7.6930596285e-01   3.6451853817e-09
-7.6735092864e-01   3.6113092772e-09
-7.6539589443e-01   3.5524580099e-09
-7.6344086022e-01   3.4892536564e-09
-7.6148582600e-01   3.4436121228e-09
-7.5953079179e-01   3.4322636124e-09
-7.5757575758e-01   3.4611501123e-09
-7.5562072336e-01   3.5237770421e-09
-7.5366568915e-01   3.6029670465e-09
-7.5171065494e-01   3.6764658671e-09
-7.4975562072e-01   3.7236540558e-09
-7.4780058651e-01   3.7319283857e-09
-7.4584555230e-01   3.7009940319e-09
