X    Y
-9.9000000000e-01   -6.3307021920e+00
-9.8657436551e-01   -6.4785946762e+00
-9.8264894441e-01   -6.6136260660e+00
-9.7822572529e-01   -6.7398131366e+00
-9.7330694888e-01   -6.8601242577e+00
-9.6789510699e-01   -6.9770063739e+00
-9.6199294118e-01   -7.0927902082e+00
-9.5560344143e-01   -7.2100991804e+00
-9.4872984457e-01   -7.3324213017e+00
-9.4137563268e-01   -7.4651105503e+00
-9.3354453132e-01   -7.6176320715e+00
-9.2524050763e-01   -7.8099795867e+00
-9.1646776833e-01   -8.0997648160e+00
-9.0723075758e-01   -8.9289165431e+00
-8.9753415474e-01   -8.2965500071e+00
-8.8738287199e-01   -7.9623563060e+00
-8.7678205184e-01   -7.7827443253e+00
-8.6573706455e-01   -7.6600897847e+00
-8.5425350537e-01   -7.5673867900e+00
-8.4233719173e-01   -7.4934436592e+00
-8.2999416029e-01   -7.4326402318e+00
-8.1723066388e-01   -7.3818062833e+00
-8.0405316834e-01   -7.3389878040e+00
-7.9046834922e-01   -7.3028819776e+00
-7.7648308843e-01   -7.2725607596e+00
-7.6210447072e-01   -7.2472992264e+00
-7.4733978015e-01   -7.2264840194e+00
-7.3219649631e-01   -7.2095516969e+00
-7.1668229061e-01   -7.1959451401e+00
-7.0080502236e-01   -7.1850866706e+00
-6.8457273479e-01   -7.1763532142e+00
-6.6799365098e-01   -7.1690716698e+00
-6.5107616969e-01   -7.1625128557e+00
-6.3382886112e-01   -7.1559066748e+00
-6.1626046254e-01   -7.1484685629e+00
-5.9837987389e-01   -7.1394388454e+00
-5.8019615325e-01   -7.1281369757e+00
-5.6171851229e-01   -7.1140181172e+00
-5.4295631155e-01   -7.0967225363e+00
-5.2391905572e-01   -7.0761081708e+00
-5.0461638886e-01   -7.0522563493e+00
-4.8505808947e-01   -7.0254477535e+00
-4.6525406553e-01   -6.9961151704e+00
-4.4521434953e-01   -6.9647840020e+00
-4.2494909334e-01   -6.9320119850e+00
-4.0446856310e-01   -6.8983322499e+00
-3.8378313399e-01   -6.8642126819e+00
-3.6290328501e-01   -6.8300253731e+00
-3.4183959363e-01   -6.7960281698e+00
-3.2060273045e-01   -6.7623531347e+00
-2.9920345383e-01   -6.7289989920e+00
-2.7765260436e-01   -6.6958243023e+00
-2.5596109946e-01   -6.6625420768e+00
-2.3413992777e-01   -6.6287108108e+00
-2.1220014363e-01   -6.5937300506e+00
-1.9015286148e-01   -6.5568444531e+00
-1.6800925019e-01   -6.5171864661e+00
-1.4578052746e-01   -6.4739328059e+00
-1.2347795408e-01   -6.4268501479e+00
-1.0111282826e-01   -6.3783375889e+00
-7.8696479921e-02   -6.3430681962e+00
-5.6240264895e-02   -6.4281508385e+00
-3.3755559234e-02   -6.0419575536e+00
-1.1253753416e-02   -4.2267669321e+00
1.1253753416e-02   -4.2267679614e+00
3.3755559234e-02   -6.0419650220e+00
5.6240264895e-02   -6.4281443001e+00
7.8696479921e-02   -6.3430654898e+00
1.0111282826e-01   -6.3783357794e+00
1.2347795408e-01   -6.4268488213e+00
1.4578052746e-01   -6.4739317543e+00
1.6800925019e-01   -6.5171856246e+00
1.9015286148e-01   -6.5568436422e+00
2.1220014363e-01   -6.5937293654e+00
2.3413992777e-01   -6.6287102027e+00
2.5596109946e-01   -6.6625415527e+00
2.7765260436e-01   -6.6958237936e+00
2.9920345383e-01   -6.7289985436e+00
3.2060273045e-01   -6.7623527203e+00
3.4183959363e-01   -6.7960278007e+00
3.6290328501e-01   -6.8300249841e+00
3.8378313399e-01   -6.8642123327e+00
4.0446856310e-01   -6.8983319159e+00
4.2494909334e-01   -6.9320116898e+00
4.4521434953e-01   -6.9647836827e+00
4.6525406553e-01   -6.9961148868e+00
4.8505808947e-01   -7.0254474833e+00
5.0461638886e-01   -7.0522561184e+00
5.2391905572e-01   -7.0761078338e+00
5.4295631155e-01   -7.0967222392e+00
5.6171851229e-01   -7.1140178399e+00
5.8019615325e-01   -7.1281367378e+00
5.9837987389e-01   -7.1394385840e+00
6.1626046254e-01   -7.1484683433e+00
6.3382886112e-01   -7.1559064725e+00
6.5107616969e-01   -7.1625126950e+00
6.6799365098e-01   -7.1690714175e+00
6.8457273479e-01   -7.1763530005e+00
7.0080502236e-01   -7.1850864724e+00
7.1668229061e-01   -7.1959449740e+00
7.3219649631e-01   -7.2095515003e+00
7.4733978015e-01   -7.2264838568e+00
7.6210447072e-01   -7.2472990702e+00
7.7648308843e-01   -7.2725606363e+00
7.9046834922e-01   -7.3028817242e+00
8.0405316834e-01   -7.3389875767e+00
8.1723066388e-01   -7.3818060505e+00
8.2999416029e-01   -7.4326400232e+00
8.4233719173e-01   -7.4934433751e+00
8.5425350537e-01   -7.5673865211e+00
8.6573706455e-01   -7.6600894835e+00
8.7678205184e-01   -7.7827440401e+00
8.8738287199e-01   -7.9623556632e+00
8.9753415474e-01   -8.2965489721e+00
9.0723075758e-01   -8.9289203234e+00
9.1646776833e-01   -8.0997651844e+00
9.2524050763e-01   -7.8099798751e+00
9.3354453132e-01   -7.6176321910e+00
9.4137563268e-01   -7.4651106177e+00
9.4872984457e-01   -7.3324213166e+00
9.5560344143e-01   -7.2100992779e+00
9.6199294118e-01   -7.0927902606e+00
9.6789510699e-01   -6.9770064105e+00
9.7330694888e-01   -6.8601242748e+00
9.7822572529e-01   -6.7398131574e+00
9.8264894441e-01   -6.6136260751e+00
9.8657436551e-01   -6.4785946813e+00
9.9000000000e-01   -6.3307021926e+00
