X    Y
-1.0000000000e+00   -3.2502428136e+00
-9.9969405725e-01   -4.7411509189e+00
-9.9877641621e-01   -5.3901038860e+00
-9.9724763837e-01   -5.8390824771e+00
-9.9510865917e-01   -6.2741108241e+00
-9.9236078742e-01   -7.0026462874e+00
-9.8900570449e-01   -6.8509735006e+00
-9.8504546332e-01   -6.5535390075e+00
-9.8048248712e-01   -6.4356919428e+00
-9.7531956791e-01   -6.3607150205e+00
-9.6955986480e-01   -6.3086878351e+00
-9.6320690207e-01   -6.2792319233e+00
-9.5626456702e-01   -6.2608921177e+00
-9.4873710755e-01   -6.2397837269e+00
-9.4062912960e-01   -6.2184421842e+00
-9.3194559434e-01   -6.2063431991e+00
-9.2269181508e-01   -6.1998433023e+00
-9.1287345409e-01   -6.1880280941e+00
-9.0249651908e-01   -6.1725859961e+00
-8.9156735953e-01   -6.1635359153e+00
-8.8009266286e-01   -6.1595738160e+00
-8.6807945024e-01   -6.1503800109e+00
-8.5553507241e-01   -6.1361751413e+00
-8.4246720507e-01   -6.1269286767e+00
-8.2888384428e-01   -6.1230057625e+00
-8.1479330148e-01   -6.1144412712e+00
-8.0020419848e-01   -6.0999783862e+00
-7.8512546214e-01   -6.0893381181e+00
-7.6956631892e-01   -6.0843673042e+00
-7.5353628923e-01   -6.0755132016e+00
-7.3704518162e-01   -6.0600910566e+00
-7.2010308675e-01   -6.0473999684e+00
-7.0272037125e-01   -6.0406637115e+00
-6.8490767135e-01   -6.0308726830e+00
-6.6667588638e-01   -6.0139864867e+00
-6.4803617210e-01   -5.9987055975e+00
-6.2899993389e-01   -5.9895312740e+00
-6.0957881975e-01   -5.9781457519e+00
-5.8978471317e-01   -5.9592453013e+00
-5.6962972588e-01   -5.9407538270e+00
-5.4912619042e-01   -5.9283344772e+00
-5.2828665262e-01   -5.9145039299e+00
-5.0712386387e-01   -5.8928051063e+00
-4.8565077339e-01   -5.8702085369e+00
-4.6388052024e-01   -5.8533950164e+00
-4.4182642534e-01   -5.8358364648e+00
-4.1950198325e-01   -5.8100386512e+00
-3.9692085398e-01   -5.7818367788e+00
-3.7409685460e-01   -5.7587394733e+00
-3.5104395079e-01   -5.7352432140e+00
-3.2777624827e-01   -5.7029058351e+00
-3.0430798422e-01   -5.6662005897e+00
-2.8065351853e-01   -5.6331667379e+00
-2.5682732502e-01   -5.5992482011e+00
-2.3284398260e-01   -5.5549750740e+00
-2.0871816632e-01   -5.5029774652e+00
-1.8446463843e-01   -5.4510862844e+00
-1.6009823930e-01   -5.3949090631e+00
-1.3563387837e-01   -5.3227234015e+00
-1.1108652505e-01   -5.2327990291e+00
-8.6471199491e-02   -5.1281255487e+00
-6.1802963460e-02   -4.9958995517e+00
-3.7096911093e-02   -4.8075838689e+00
-1.2368159663e-02   -1.0661242687e+01
1.2368159663e-02   -1.2000000000e+01
3.7096911093e-02   -4.8075839383e+00
6.1802963460e-02   -4.9958995882e+00
8.6471199491e-02   -5.1281255737e+00
1.1108652505e-01   -5.2327990502e+00
1.3563387837e-01   -5.3227234190e+00
1.6009823930e-01   -5.3949090752e+00
1.8446463843e-01   -5.4510862941e+00
2.0871816632e-01   -5.5029774754e+00
2.3284398260e-01   -5.5549750829e+00
2.5682732502e-01   -5.5992482062e+00
2.8065351853e-01   -5.6331667421e+00
3.0430798422e-01   -5.6662005952e+00
3.2777624827e-01   -5.7029058400e+00
3.5104395079e-01   -5.7352432153e+00
3.7409685460e-01   -5.7587394740e+00
3.9692085398e-01   -5.7818367890e+00
4.1950198325e-01   -5.8100386611e+00
4.4182642534e-01   -5.8358364713e+00
4.6388052024e-01   -5.8533950225e+00
4.8565077339e-01   -5.8702085448e+00
5.0712386387e-01   -5.8928051139e+00
5.2828665262e-01   -5.9145039341e+00
5.4912619042e-01   -5.9283344812e+00
5.6962972588e-01   -5.9407538327e+00
5.8978471317e-01   -5.9592453066e+00
6.0957881975e-01   -5.9781457539e+00
6.2899993389e-01   -5.9895312758e+00
6.4803617210e-01   -5.9987056013e+00
6.6667588638e-01   -6.0139864902e+00
6.8490767135e-01   -6.0308726834e+00
7.0272037125e-01   -6.0406637116e+00
7.2010308675e-01   -6.0473999731e+00
7.3704518162e-01   -6.0600910611e+00
7.5353628923e-01   -6.0755132030e+00
7.6956631892e-01   -6.0843673054e+00
7.8512546214e-01   -6.0893381210e+00
8.0020419848e-01   -6.0999783890e+00
8.1479330148e-01   -6.1144412708e+00
8.2888384428e-01   -6.1230057620e+00
8.4246720507e-01   -6.1269286778e+00
8.5553507241e-01   -6.1361751423e+00
8.6807945024e-01   -6.1503800087e+00
8.8009266286e-01   -6.1595738133e+00
8.9156735953e-01   -6.1635359150e+00
9.0249651908e-01   -6.1725859953e+00
9.1287345409e-01   -6.1880280898e+00
9.2269181508e-01   -6.1998432978e+00
9.3194559434e-01   -6.2063432057e+00
9.4062912960e-01   -6.2184421907e+00
9.4873710755e-01   -6.2397837301e+00
9.5626456702e-01   -6.2608921206e+00
9.6320690207e-01   -6.2792319288e+00
9.6955986480e-01   -6.3086878407e+00
9.7531956791e-01   -6.3607150221e+00
9.8048248712e-01   -6.4356919442e+00
9.8504546332e-01   -6.5535390134e+00
9.8900570449e-01   -6.8509735117e+00
9.9236078742e-01   -7.0026462922e+00
9.9510865917e-01   -6.2741108252e+00
9.9724763837e-01   -5.8390824766e+00
9.9877641621e-01   -5.3901038859e+00
9.9969405725e-01   -4.7411509190e+00
1.0000000000e+00   -3.2502428136e+00
