X    Y
-1.0000000000e+00   -5.8055274691e-04
-9.9902296043e-01   -5.8091738487e-04
-9.9804592086e-01   -5.8128303100e-04
-9.9706888129e-01   -5.8164989232e-04
-9.9609184172e-01   -5.8201768909e-04
-9.9511480215e-01   -5.8238634586e-04
-9.9413776258e-01   -5.8275618260e-04
-9.9316072301e-01   -5.8312713876e-04
-9.9218368344e-01   -5.8349892757e-04
-9.9120664387e-01   -5.8387174393e-04
-9.9022960430e-01   -5.8424579481e-04
-9.8925256473e-01   -5.8462079893e-04
-9.8827552516e-01   -5.8499668165e-04
-9.8729848559e-01   -5.8537376428e-04
-9.8632144602e-01   -5.8575198503e-04
-9.8534440645e-01   -5.8613105586e-04
-9.8436736688e-01   -5.8651117454e-04
-9.8339032731e-01   -5.8689254780e-04
-9.8241328774e-01   -5.8727489183e-04
-9.8143624817e-01   -5.8765813417e-04
-9.8045920860e-01   -5.8804259702e-04
-9.7948216903e-01   -5.8842821708e-04
-9.7850512946e-01   -5.8881470588e-04
-9.7752808989e-01   -5.8920226260e-04
-9.7655105032e-01   -5.8959109428e-04
-9.7557401075e-01   -5.8998091607e-04
-9.7459697118e-01   -5.9037165515e-04
-9.7361993161e-01   -5.9076363663e-04
-9.7264289204e-01   -5.9115679445e-04
-9.7166585247e-01   -5.9155084020e-04
-9.7068881290e-01   -5.9194597543e-04
-9.6971177333e-01   -5.9234240687e-04
-9.6873473376e-01   -5.9273984702e-04
-9.6775769419e-01   -5.9313822512e-04
-9.6678065462e-01   -5.9353786713e-04
-9.6580361505e-01   -5.9393870649e-04
-9.6482657548e-01   -5.9434045295e-04
-9.6384953591e-01   -5.9474331093e-04
-9.6287249634e-01   -5.9514748630e-04
-9.6189545677e-01   -5.9555269076e-04
-9.6091841720e-01   -5.9595885363e-04
-9.5994137763e-01   -5.9636630332e-04
-9.5896433806e-01   -5.9677497112e-04
-9.5798729849e-01   -5.9718456627e-04
-9.5701025892e-01   -5.9759529556e-04
-9.5603321935e-01   -5.9800736496e-04
-9.5505617978e-01   -5.9842048312e-04
-9.5407914021e-01   -5.9883458142e-04
-9.5310210064e-01   -5.9924999003e-04
-9.5212506106e-01   -5.9966663848e-04
-9.5114802149e-01   -6.0008423497e-04
-9.5017098192e-01   -6.0050298875e-04
-9.4919394235e-01   -6.0092310532e-04
-9.4821690278e-01   -6.0134429184e-04
-9.4723986321e-01   -6.0176648137e-04
-9.4626282364e-01   -6.0219000480e-04
-9.4528578407e-01   -6.0261478990e-04
-9.4430874450e-01   -6.0304054486e-04
-9.4333170493e-01   -6.0346748102e-04
-9.4235466536e-01   -6.0389580398e-04
-9.4137762579e-01   -6.0432521873e-04
-9.4040058622e-01   -6.0475565862e-04
-9.3942354665e-01   -6.0518745756e-04
-9.3844650708e-01   -6.0562054115e-04
-9.3746946751e-01   -6.0605461682e-04
-9.3649242794e-01   -6.0648989813e-04
-9.3551538837e-01   -6.0692659050e-04
-9.3453834880e-01   -6.0736439703e-04
-9.3356130923e-01   -6.0780325296e-04
-9.3258426966e-01   -6.0824349321e-04
-9.3160723009e-01   -6.0868504127e-04
-9.3063019052e-01   -6.0912760489e-04
-9.2965315095e-01   -6.0957139907e-04
-9.2867611138e-01   -6.1001662958e-04
-9.2769907181e-01   -6.1046299753e-04
-9.2672203224e-01   -6.1091043951e-04
-9.2574499267e-01   -6.1135929124e-04
-9.2476795310e-01   -6.1180947595e-04
-9.2379091353e-01   -6.1226069912e-04
-9.2281387396e-01   -6.1271317957e-04
-9.2183683439e-01   -6.1316712243e-04
-9.2085979482e-01   -6.1362222622e-04
-9.1988275525e-01   -6.1407842907e-04
-9.1890571568e-01   -6.1453606925e-04
-9.1792867611e-01   -6.1499506706e-04
-9.1695163654e-01   -6.1545512805e-04
-9.1597459697e-01   -6.1591647315e-04
-9.1499755740e-01   -6.1637930734e-04
-9.1402051783e-01   -6.1684332707e-04
-9.1304347826e-01   -6.1730847188e-04
-9.1206643869e-01   -6.1777508194e-04
-9.1108939912e-01   -6.1824307589e-04
-9.1011235955e-01   -6.1871215761e-04
-9.0913531998e-01   -6.1918255107e-04
-9.0815828041e-01   -6.1965446204e-04
-9.0718124084e-01   -6.2012758360e-04
-9.0620420127e-01   -6.2060185671e-04
-9.0522716170e-01   -6.2107762433e-04
-9.0425012213e-01   -6.2155480182e-04
-9.0327308256e-01   -6.2203309398e-04
-9.0229604299e-01   -6.2251272648e-04
-9.0131900342e-01   -6.2299390413e-04
-9.0034196385e-01   -6.2347631914e-04
-8.9936492428e-01   -6.2395991381e-04
-8.9838788471e-01   -6.2444503180e-04
-8.9741084514e-01   -6.2493158766e-04
-8.9643380557e-01   -6.2541928506e-04
-8.9545676600e-01   -6.2590835239e-04
-8.9447972643e-01   -6.2639899403e-04
-8.9350268686e-01   -6.2689090071e-04
-8.9252564729e-01   -6.2738401498e-04
-8.9154860772e-01   -6.2787868327e-04
-8.9057156815e-01   -6.2837481824e-04
-8.8959452858e-01   -6.2887212215e-04
-8.8861748901e-01   -6.2937082633e-04
-8.8764044944e-01   -6.2987113548e-04
-8.8666340987e-01   -6.3037273748e-04
-8.8568637030e-01   -6.3087557681e-04
-8.8470933073e-01   -6.3138000189e-04
-8.8373229116e-01   -6.3188592202e-04
-8.8275525159e-01   -6.3239304052e-04
-8.8177821202e-01   -6.3290159081e-04
-8.8080117245e-01   -6.3341177719e-04
-8.7982413288e-01   -6.3392328524e-04
-8.7884709331e-01   -6.3443606120e-04
-8.7787005374e-01   -6.3495045485e-04
-8.7689301417e-01   -6.3546637504e-04
-8.7591597460e-01   -6.3598352311e-04
-8.7493893503e-01   -6.3650213449e-04
-8.7396189546e-01   -6.3702241450e-04
-8.7298485589e-01   -6.3754404641e-04
-8.7200781632e-01   -6.3806697766e-04
-8.7103077675e-01   -6.3859156006e-04
-8.7005373718e-01   -6.3911770063e-04
-8.6907669761e-01   -6.3964509901e-04
-8.6809965804e-01   -6.4017399491e-04
-8.6712261847e-01   -6.4070459271e-04
-8.6614557890e-01   -6.4123657332e-04
-8.6516853933e-01   -6.4176988525e-04
-8.6419149976e-01   -6.4230488334e-04
-8.6321446019e-01   -6.4284147176e-04
-8.6223742062e-01   -6.4337935010e-04
-8.6126038105e-01   -6.4391876005e-04
-8.6028334148e-01   -6.4445990670e-04
-8.5930630191e-01   -6.4500246757e-04
-8.5832926234e-01   -6.4554639408e-04
-8.5735222277e-01   -6.4609204209e-04
-8.5637518319e-01   -6.4663931382e-04
-8.5539814362e-01   -6.4718790856e-04
-8.5442110405e-01   -6.4773807021e-04
-8.5344406448e-01   -6.4829000424e-04
-8.5246702491e-01   -6.4884338577e-04
-8.5148998534e-01   -6.4939816750e-04
-8.5051294577e-01   -6.4995470758e-04
-8.4953590620e-01   -6.5051290618e-04
-8.4855886663e-01   -6.5107246140e-04
-8.4758182706e-01   -6.5163362082e-04
-8.4660478749e-01   -6.5219658886e-04
-8.4562774792e-01   -6.5276103865e-04
-8.4465070835e-01   -6.5332692471e-04
