X    Y
-1.0000000000e+00   -1.1075903737e-03
-9.9999970572e-01   -3.7863099016e-04
-9.9999882288e-01   -3.8235642445e-04
-9.9999735147e-01   -3.8304408053e-04
-9.9999529151e-01   -3.8328533375e-04
-9.9999264299e-01   -3.8339735736e-04
-9.9998940591e-01   -3.8345877741e-04
-9.9998558028e-01   -3.8349681429e-04
-9.9998116609e-01   -3.8352229889e-04
-9.9997616335e-01   -3.8354022689e-04
-9.9997057206e-01   -3.8355380588e-04
-9.9996439223e-01   -3.8356494443e-04
-9.9995762386e-01   -3.8357419278e-04
-9.9995026696e-01   -3.8358188181e-04
-9.9994232152e-01   -3.8358883669e-04
-9.9993378755e-01   -3.8359557310e-04
-9.9992466506e-01   -3.8360183281e-04
-9.9991495405e-01   -3.8360753963e-04
-9.9990465453e-01   -3.8361324951e-04
-9.9989376651e-01   -3.8361921497e-04
-9.9988228999e-01   -3.8362502567e-04
-9.9987022497e-01   -3.8363057158e-04
-9.9985757147e-01   -3.8363636285e-04
-9.9984432949e-01   -3.8364254611e-04
-9.9983049904e-01   -3.8364865895e-04
-9.9981608013e-01   -3.8365462723e-04
-9.9980107277e-01   -3.8366095206e-04
-9.9978547696e-01   -3.8366770691e-04
-9.9976929272e-01   -3.8367440845e-04
-9.9975252005e-01   -3.8368103254e-04
-9.9973515897e-01   -3.8368807907e-04
-9.9971720947e-01   -3.8369555570e-04
-9.9969867159e-01   -3.8370297451e-04
-9.9967954532e-01   -3.8371036507e-04
-9.9965983068e-01   -3.8371822170e-04
-9.9963952767e-01   -3.8372649309e-04
-9.9961863632e-01   -3.8373469343e-04
-9.9959715663e-01   -3.8374290713e-04
-9.9957508861e-01   -3.8375162102e-04
-9.9955243228e-01   -3.8376072424e-04
-9.9952918766e-01   -3.8376974183e-04
-9.9950535475e-01   -3.8377881369e-04
-9.9948093357e-01   -3.8378840950e-04
-9.9945592413e-01   -3.8379836535e-04
-9.9943032645e-01   -3.8380822188e-04
-9.9940414055e-01   -3.8381817254e-04
-9.9937736644e-01   -3.8382866626e-04
-9.9935000413e-01   -3.8383948569e-04
-9.9932205364e-01   -3.8385019543e-04
-9.9929351499e-01   -3.8386103937e-04
-9.9926438819e-01   -3.8387243981e-04
-9.9923467326e-01   -3.8388412933e-04
-9.9920437023e-01   -3.8389570249e-04
-9.9917347910e-01   -3.8390745062e-04
-9.9914199989e-01   -3.8391976212e-04
-9.9910993263e-01   -3.8393232619e-04
-9.9907727733e-01   -3.8394477088e-04
-9.9904403401e-01   -3.8395743011e-04
-9.9901020269e-01   -3.8397065671e-04
-9.9897578340e-01   -3.8398409748e-04
-9.9894077614e-01   -3.8399741964e-04
-9.9890518095e-01   -3.8401099631e-04
-9.9886899784e-01   -3.8402513935e-04
-9.9883222683e-01   -3.8403945797e-04
-9.9879486795e-01   -3.8405366352e-04
-9.9875692122e-01   -3.8406816236e-04
-9.9871838666e-01   -3.8408322149e-04
-9.9867926429e-01   -3.8409841944e-04
-9.9863955413e-01   -3.8411351297e-04
-9.9859925622e-01   -3.8412893873e-04
-9.9855837056e-01   -3.8414491367e-04
-9.9851689720e-01   -3.8416099138e-04
-9.9847483614e-01   -3.8417697796e-04
-9.9843218743e-01   -3.8419333338e-04
-9.9838895107e-01   -3.8421022386e-04
-9.9834512710e-01   -3.8422718186e-04
-9.9830071554e-01   -3.8424406579e-04
-9.9825571642e-01   -3.8426135368e-04
-9.9821012977e-01   -3.8427915837e-04
-9.9816395561e-01   -3.8429699705e-04
-9.9811719396e-01   -3.8431478395e-04
-9.9806984487e-01   -3.8433300647e-04
-9.9802190834e-01   -3.8435172373e-04
-9.9797338442e-01   -3.8437044441e-04
-9.9792427313e-01   -3.8438913817e-04
-9.9787457451e-01   -3.8440829712e-04
-9.9782428857e-01   -3.8442792560e-04
-9.9777341535e-01   -3.8444752905e-04
-9.9772195488e-01   -3.8446713384e-04
-9.9766990718e-01   -3.8448723128e-04
-9.9761727230e-01   -3.8450776833e-04
-9.9756405026e-01   -3.8452825723e-04
-9.9751024109e-01   -3.8454877738e-04
-9.9745584483e-01   -3.8456981311e-04
-9.9740086150e-01   -3.8459125808e-04
-9.9734529113e-01   -3.8461263312e-04
-9.9728913377e-01   -3.8463407331e-04
-9.9723238945e-01   -3.8465604887e-04
-9.9717505819e-01   -3.8467839944e-04
-9.9711714003e-01   -3.8470066335e-04
-9.9705863501e-01   -3.8472302720e-04
-9.9699954315e-01   -3.8474594259e-04
-9.9693986450e-01   -3.8476919724e-04
-9.9687959909e-01   -3.8479235190e-04
-9.9681874696e-01   -3.8481564376e-04
-9.9675730813e-01   -3.8483949906e-04
-9.9669528266e-01   -3.8486365639e-04
