X    Y
-1.0000000000e+00   -7.3964013625e-04
-9.9804496579e-01   -7.4057119963e-04
-9.9608993157e-01   -7.4150744775e-04
-9.9413489736e-01   -7.4244890746e-04
-9.9217986315e-01   -7.4339560587e-04
-9.9022482893e-01   -7.4434757028e-04
-9.8826979472e-01   -7.4530482824e-04
-9.8631476051e-01   -7.4626740753e-04
-9.8435972630e-01   -7.4723533617e-04
-9.8240469208e-01   -7.4820864241e-04
-9.8044965787e-01   -7.4918735475e-04
-9.7849462366e-01   -7.5017150194e-04
-9.7653958944e-01   -7.5116111295e-04
-9.7458455523e-01   -7.5215621701e-04
-9.7262952102e-01   -7.5315684361e-04
-9.7067448680e-01   -7.5416302248e-04
-9.6871945259e-01   -7.5517478361e-04
-9.6676441838e-01   -7.5619215726e-04
-9.6480938416e-01   -7.5721517391e-04
-9.6285434995e-01   -7.5824386436e-04
-9.6089931574e-01   -7.5927825962e-04
-9.5894428152e-01   -7.6031839100e-04
-9.5698924731e-01   -7.6136429009e-04
-9.5503421310e-01   -7.6241598871e-04
-9.5307917889e-01   -7.6347351900e-04
-9.5112414467e-01   -7.6453691336e-04
-9.4916911046e-01   -7.6560620447e-04
-9.4721407625e-01   -7.6668142530e-04
-9.4525904203e-01   -7.6776260911e-04
-9.4330400782e-01   -7.6884978943e-04
-9.4134897361e-01   -7.6994300011e-04
-9.3939393939e-01   -7.7104227529e-04
-9.3743890518e-01   -7.7214764939e-04
-9.3548387097e-01   -7.7325915716e-04
-9.3352883675e-01   -7.7437683362e-04
-9.3157380254e-01   -7.7550071415e-04
-9.2961876833e-01   -7.7663083439e-04
-9.2766373412e-01   -7.7776723032e-04
-9.2570869990e-01   -7.7890993824e-04
-9.2375366569e-01   -7.8005899477e-04
-9.2179863148e-01   -7.8121443684e-04
-9.1984359726e-01   -7.8237630173e-04
-9.1788856305e-01   -7.8354462704e-04
-9.1593352884e-01   -7.8471945070e-04
-9.1397849462e-01   -7.8590081099e-04
-9.1202346041e-01   -7.8708874652e-04
-9.1006842620e-01   -7.8828329627e-04
-9.0811339198e-01   -7.8948449954e-04
-9.0615835777e-01   -7.9069239600e-04
-9.0420332356e-01   -7.9190702568e-04
-9.0224828935e-01   -7.9312842895e-04
-9.0029325513e-01   -7.9435664656e-04
-8.9833822092e-01   -7.9559171964e-04
-8.9638318671e-01   -7.9683368967e-04
-8.9442815249e-01   -7.9808259853e-04
-8.9247311828e-01   -7.9933848845e-04
-8.9051808407e-01   -8.0060140207e-04
-8.8856304985e-01   -8.0187138241e-04
-8.8660801564e-01   -8.0314847288e-04
-8.8465298143e-01   -8.0443271731e-04
-8.8269794721e-01   -8.0572415989e-04
-8.8074291300e-01   -8.0702284525e-04
-8.7878787879e-01   -8.0832881843e-04
-8.7683284457e-01   -8.0964212486e-04
-8.7487781036e-01   -8.1096281041e-04
-8.7292277615e-01   -8.1229092137e-04
-8.7096774194e-01   -8.1362650447e-04
-8.6901270772e-01   -8.1496960685e-04
-8.6705767351e-01   -8.1632027610e-04
-8.6510263930e-01   -8.1767856027e-04
-8.6314760508e-01   -8.1904450784e-04
-8.6119257087e-01   -8.2041816773e-04
-8.5923753666e-01   -8.2179958936e-04
-8.5728250244e-01   -8.2318882258e-04
-8.5532746823e-01   -8.2458591772e-04
