X    Y
-1.0000000000e+00   -1.2368159663e-02
-9.9969405725e-01   -1.2371944770e-02
-9.9877641621e-01   -1.2383311683e-02
-9.9724763837e-01   -1.2402295265e-02
-9.9510865917e-01   -1.2428953913e-02
-9.9236078742e-01   -1.2463369996e-02
-9.8900570449e-01   -1.2505650480e-02
-9.8504546332e-01   -1.2555927745e-02
-9.8048248712e-01   -1.2614360609e-02
-9.7531956791e-01   -1.2681135569e-02
-9.6955986480e-01   -1.2756468283e-02
-9.6320690207e-01   -1.2840605312e-02
-9.5626456702e-01   -1.2933826150e-02
-9.4873710755e-01   -1.3036445571e-02
-9.4062912960e-01   -1.3148816334e-02
-9.3194559434e-01   -1.3271332295e-02
-9.2269181508e-01   -1.3404431969e-02
-9.1287345409e-01   -1.3548602611e-02
-9.0249651908e-01   -1.3704384894e-02
-8.9156735953e-01   -1.3872378269e-02
-8.8009266286e-01   -1.4053247102e-02
-8.6807945024e-01   -1.4247727740e-02
-8.5553507241e-01   -1.4456636627e-02
-8.4246720507e-01   -1.4680879670e-02
-8.2888384428e-01   -1.4921463060e-02
-8.1479330148e-01   -1.5179505822e-02
-8.0020419848e-01   -1.5456254400e-02
-7.8512546214e-01   -1.5753099676e-02
-7.6956631892e-01   -1.6071596897e-02
-7.5353628923e-01   -1.6413489092e-02
-7.3704518162e-01   -1.6780734712e-02
-7.2010308675e-01   -1.7175540407e-02
-7.0272037125e-01   -1.7600400059e-02
-6.8490767135e-01   -1.8058141529e-02
-6.6667588638e-01   -1.8551982929e-02
-6.4803617210e-01   -1.9085600767e-02
-6.2899993389e-01   -1.9663212978e-02
-6.0957881975e-01   -2.0289680781e-02
-5.8978471317e-01   -2.0970634517e-02
-5.6962972588e-01   -2.1712630331e-02
-5.4912619042e-01   -2.2523346872e-02
-5.2828665262e-01   -2.3411834469e-02
-5.0712386387e-01   -2.4388833862e-02
-4.8565077339e-01   -2.5467188237e-02
-4.6388052024e-01   -2.6662382065e-02
-4.4182642534e-01   -2.7993254713e-02
-4.1950198325e-01   -2.9482958740e-02
-3.9692085398e-01   -3.1160266686e-02
-3.7409685460e-01   -3.3061383733e-02
-3.5104395079e-01   -3.5232510447e-02
-3.2777624827e-01   -3.7733544540e-02
-3.0430798422e-01   -4.0643559501e-02
-2.8065351853e-01   -4.4069141652e-02
-2.5682732502e-01   -4.8157491273e-02
-2.3284398260e-01   -5.3117798129e-02
-2.0871816632e-01   -5.9257705648e-02
-1.8446463843e-01   -6.7048946447e-02
-1.6009823930e-01   -7.7253564547e-02
-1.3563387837e-01   -9.1187834571e-02
-1.1108652505e-01   -1.1133807325e-01
-8.6471199491e-02   -1.4303212788e-01
-6.1802963460e-02   -2.0012243703e-01
-3.7096911093e-02   -3.3340133448e-01
-1.2368159663e-02   -1.0000000000e+00
1.2368159663e-02   1.0000000000e+00
3.7096911093e-02   3.3340133448e-01
6.1802963460e-02   2.0012243703e-01
8.6471199491e-02   1.4303212788e-01
1.1108652505e-01   1.1133807325e-01
1.3563387837e-01   9.1187834571e-02
1.6009823930e-01   7.7253564547e-02
1.8446463843e-01   6.7048946447e-02
2.0871816632e-01   5.9257705648e-02
2.3284398260e-01   5.3117798129e-02
2.5682732502e-01   4.8157491273e-02
2.8065351853e-01   4.4069141652e-02
3.0430798422e-01   4.0643559501e-02
3.2777624827e-01   3.7733544540e-02
3.5104395079e-01   3.5232510447e-02
3.7409685460e-01   3.3061383733e-02
3.9692085398e-01   3.1160266686e-02
4.1950198325e-01   2.9482958740e-02
4.4182642534e-01   2.7993254713e-02
4.6388052024e-01   2.6662382065e-02
4.8565077339e-01   2.5467188237e-02
5.0712386387e-01   2.4388833862e-02
5.2828665262e-01   2.3411834469e-02
5.4912619042e-01   2.2523346872e-02
5.6962972588e-01   2.1712630331e-02
5.8978471317e-01   2.0970634517e-02
6.0957881975e-01   2.0289680781e-02
6.2899993389e-01   1.9663212978e-02
6.4803617210e-01   1.9085600767e-02
6.6667588638e-01   1.8551982929e-02
6.8490767135e-01   1.8058141529e-02
7.0272037125e-01   1.7600400059e-02
7.2010308675e-01   1.7175540407e-02
7.3704518162e-01   1.6780734712e-02
7.5353628923e-01   1.6413489092e-02
7.6956631892e-01   1.6071596897e-02
7.8512546214e-01   1.5753099676e-02
8.0020419848e-01   1.5456254400e-02
8.1479330148e-01   1.5179505822e-02
8.2888384428e-01   1.4921463060e-02
8.4246720507e-01   1.4680879670e-02
8.5553507241e-01   1.4456636627e-02
8.6807945024e-01   1.4247727740e-02
8.8009266286e-01   1.4053247102e-02
8.9156735953e-01   1.3872378269e-02
9.0249651908e-01   1.3704384894e-02
9.1287345409e-01   1.3548602611e-02
9.2269181508e-01   1.3404431969e-02
9.3194559434e-01   1.3271332295e-02
9.4062912960e-01   1.3148816334e-02
9.4873710755e-01   1.3036445571e-02
9.5626456702e-01   1.2933826150e-02
9.6320690207e-01   1.2840605312e-02
9.6955986480e-01   1.2756468283e-02
9.7531956791e-01   1.2681135569e-02
9.8048248712e-01   1.2614360609e-02
9.8504546332e-01   1.2555927745e-02
9.8900570449e-01   1.2505650480e-02
9.9236078742e-01   1.2463369996e-02
9.9510865917e-01   1.2428953913e-02
9.9724763837e-01   1.2402295265e-02
9.9877641621e-01   1.2383311683e-02
9.9969405725e-01   1.2371944770e-02
1.0000000000e+00   1.2368159663e-02
