X    Y
1.0000000000e+01   -4.9634194644e-01
2.0000000000e+01   -4.9576737071e-01
3.0000000000e+01   -4.9557553277e-01
4.0000000000e+01   -4.9547955795e-01
5.0000000000e+01   -4.9581824879e-01
6.0000000000e+01   -4.9571404148e-01
7.0000000000e+01   -4.9535610834e-01
8.0000000000e+01   -4.9583101682e-01
9.0000000000e+01   -4.9576016444e-01
1.0000000000e+02   -4.9309131870e-01
1.1000000000e+02   -4.9475218924e-01
1.2000000000e+02   -4.9561829915e-01
1.3000000000e+02   -4.9588985715e-01
1.4000000000e+02   -4.9555743418e-01
1.5000000000e+02   -4.9579704615e-01
1.6000000000e+02   -4.9575931411e-01
1.7000000000e+02   -4.9514215214e-01
1.8000000000e+02   -4.9569639193e-01
1.9000000000e+02   -4.9514733919e-01
2.0000000000e+02   -4.9313445590e-01
2.1000000000e+02   -4.8926774518e-01
2.2000000000e+02   -4.9515335110e-01
2.3000000000e+02   -4.9558685651e-01
2.4000000000e+02   -4.9515652389e-01
2.5000000000e+02   -4.9595080199e-01
2.6000000000e+02   -4.9592171730e-01
2.7000000000e+02   -4.9516040160e-01
2.8000000000e+02   -4.9516150949e-01
2.9000000000e+02   -4.9447310966e-01
3.0000000000e+02   -4.9348787480e-01
3.1000000000e+02   -4.9088559695e-01
3.2000000000e+02   -4.8756639116e-01
3.3000000000e+02   -4.9516604162e-01
3.4000000000e+02   -4.9487346154e-01
3.5000000000e+02   -4.9573451087e-01
3.6000000000e+02   -4.9571947061e-01
3.7000000000e+02   -4.9533007707e-01
3.8000000000e+02   -4.9437978332e-01
3.9000000000e+02   -4.9465787614e-01
4.0000000000e+02   -4.9315601711e-01
4.1000000000e+02   -4.9170312500e-01
4.2000000000e+02   -4.8928943030e-01
4.3000000000e+02   -4.8967789826e-01
4.4000000000e+02   -4.9449091917e-01
4.5000000000e+02   -4.9517280919e-01
4.6000000000e+02   -4.9538935464e-01
4.7000000000e+02   -4.9517360111e-01
4.8000000000e+02   -4.9434035119e-01
4.9000000000e+02   -4.9435780520e-01
5.0000000000e+02   -4.9316032877e-01
5.1000000000e+02   -4.9211557437e-01
5.2000000000e+02   -4.9025299165e-01
5.3000000000e+02   -4.8834280705e-01
5.4000000000e+02   -4.8605852389e-01
5.5000000000e+02   -4.9426641566e-01
5.6000000000e+02   -4.9535404066e-01
5.7000000000e+02   -4.9500190684e-01
5.8000000000e+02   -4.9448769537e-01
5.9000000000e+02   -4.9364517254e-01
6.0000000000e+02   -4.9350217729e-01
6.1000000000e+02   -4.9218928273e-01
6.2000000000e+02   -4.9089996062e-01
6.3000000000e+02   -4.8939791213e-01
6.4000000000e+02   -4.8764865966e-01
6.5000000000e+02   -4.8564965480e-01
