X    Y
1.0000000000e+01   4.1920725689e-03
2.0000000000e+01   4.1372023810e-03
3.0000000000e+01   4.1192723945e-03
4.0000000000e+01   4.1103762721e-03
5.0000000000e+01   4.1691245327e-03
6.0000000000e+01   4.1549107829e-03
7.0000000000e+01   4.0990064891e-03
8.0000000000e+01   4.1772633157e-03
9.0000000000e+01   4.1668835629e-03
1.0000000000e+02   3.7453999165e-03
1.1000000000e+02   4.0064086674e-03
1.2000000000e+02   4.1461340101e-03
1.3000000000e+02   4.1907562222e-03
1.4000000000e+02   4.1372454493e-03
1.5000000000e+02   4.1764954607e-03
1.6000000000e+02   4.1707039418e-03
1.7000000000e+02   4.0713204527e-03
1.8000000000e+02   4.1610538847e-03
1.9000000000e+02   4.0726491792e-03
2.0000000000e+02   3.7557786862e-03
2.1000000000e+02   3.1812939606e-03
2.2000000000e+02   4.0741900238e-03
2.3000000000e+02   4.1442785932e-03
2.4000000000e+02   4.0750035634e-03
2.5000000000e+02   4.2037212881e-03
2.6000000000e+02   4.1991052083e-03
2.7000000000e+02   4.0759981857e-03
2.8000000000e+02   4.0762824233e-03
2.9000000000e+02   3.9664862807e-03
3.0000000000e+02   3.8118177580e-03
3.1000000000e+02   3.4173241757e-03
3.2000000000e+02   2.9435741486e-03
3.3000000000e+02   4.0774454912e-03
3.4000000000e+02   4.0306242464e-03
3.5000000000e+02   4.1694495105e-03
3.6000000000e+02   4.1670711738e-03
3.7000000000e+02   4.1041155936e-03
3.8000000000e+02   3.9523387748e-03
3.9000000000e+02   3.9965378004e-03
4.0000000000e+02   3.7609824194e-03
4.1000000000e+02   3.5396366584e-03
4.2000000000e+02   3.1859367955e-03
4.3000000000e+02   3.2417289077e-03
4.4000000000e+02   3.9702346060e-03
4.5000000000e+02   4.0791831689e-03
4.6000000000e+02   4.1141070754e-03
4.7000000000e+02   4.0793865790e-03
4.8000000000e+02   3.9465271083e-03
4.9000000000e+02   3.9493222964e-03
5.0000000000e+02   3.7620243146e-03
5.1000000000e+02   3.6021812838e-03
5.2000000000e+02   3.3253688875e-03
5.3000000000e+02   3.0522565525e-03
5.4000000000e+02   2.7397801710e-03
5.5000000000e+02   3.9350449312e-03
5.6000000000e+02   4.1087225869e-03
5.7000000000e+02   4.0521275913e-03
5.8000000000e+02   3.9701545164e-03
5.9000000000e+02   3.8375774692e-03
6.0000000000e+02   3.8153090661e-03
6.1000000000e+02   3.6135850871e-03
6.2000000000e+02   3.4205609867e-03
6.3000000000e+02   3.2019800364e-03
6.4000000000e+02   2.9558750738e-03
6.5000000000e+02   2.6856265362e-03
