X    Y
1.0000000000e+01   4.9507844691e-01
2.0000000000e+01   4.9630650897e-01
3.0000000000e+01   4.9635204159e-01
4.0000000000e+01   4.9665275064e-01
5.0000000000e+01   4.9661251689e-01
6.0000000000e+01   4.9676991701e-01
7.0000000000e+01   4.9703984089e-01
8.0000000000e+01   4.9696665476e-01
9.0000000000e+01   4.9703223090e-01
1.0000000000e+02   4.9840306140e-01
1.1000000000e+02   4.9762771404e-01
1.2000000000e+02   4.9716337845e-01
1.3000000000e+02   4.9693946934e-01
1.4000000000e+02   4.9721958261e-01
1.5000000000e+02   4.9702185518e-01
1.6000000000e+02   4.9705531768e-01
1.7000000000e+02   4.9740851178e-01
1.8000000000e+02   4.9711107985e-01
1.9000000000e+02   4.9742410425e-01
2.0000000000e+02   4.9852785370e-01
2.1000000000e+02   5.0055623669e-01
2.2000000000e+02   4.9744218175e-01
2.3000000000e+02   4.9720803160e-01
2.4000000000e+02   4.9745172456e-01
2.5000000000e+02   4.9701578595e-01
2.6000000000e+02   4.9703661641e-01
2.7000000000e+02   4.9746338979e-01
2.8000000000e+02   4.9746672307e-01
2.9000000000e+02   4.9784860652e-01
3.0000000000e+02   4.9838706505e-01
3.1000000000e+02   4.9976879321e-01
3.2000000000e+02   5.0149315508e-01
3.3000000000e+02   4.9748036091e-01
3.4000000000e+02   4.9764420154e-01
3.5000000000e+02   4.9717048321e-01
3.6000000000e+02   4.9718122234e-01
3.7000000000e+02   4.9742919847e-01
3.8000000000e+02   4.9792390031e-01
3.9000000000e+02   4.9777377861e-01
4.0000000000e+02   4.9859033571e-01
4.1000000000e+02   4.9936425079e-01
4.2000000000e+02   5.0061481510e-01
4.3000000000e+02   5.0041824921e-01
4.4000000000e+02   4.9787385526e-01
4.5000000000e+02   4.9750073176e-01
4.6000000000e+02   4.9738246123e-01
4.7000000000e+02   4.9750311597e-01
4.8000000000e+02   4.9796173566e-01
4.9000000000e+02   4.9795347596e-01
5.0000000000e+02   4.9860283899e-01
5.1000000000e+02   4.9918215501e-01
5.2000000000e+02   5.0013470096e-01
5.3000000000e+02   5.0110772667e-01
5.4000000000e+02   5.0223777214e-01
5.5000000000e+02   4.9800994517e-01
5.6000000000e+02   4.9741359802e-01
5.7000000000e+02   4.9760890892e-01
5.8000000000e+02   4.9789194914e-01
5.9000000000e+02   4.9835076421e-01
6.0000000000e+02   4.9842879642e-01
6.1000000000e+02   4.9913124328e-01
6.2000000000e+02   4.9980875326e-01
6.3000000000e+02   5.0059998636e-01
6.4000000000e+02   5.0148086676e-01
6.5000000000e+02   5.0244516179e-01
