X    Y
1.0000000000e+01   4.9507844691e-01
2.0000000000e+01   4.9437481332e-01
3.0000000000e+01   4.9479451023e-01
4.0000000000e+01   4.9451028958e-01
5.0000000000e+01   4.9473374830e-01
6.0000000000e+01   4.9455419011e-01
7.0000000000e+01   4.9414315713e-01
8.0000000000e+01   4.9432920419e-01
9.0000000000e+01   4.9425407583e-01
1.0000000000e+02   4.9178520922e-01
1.1000000000e+02   4.9323974848e-01
1.2000000000e+02   4.9410361935e-01
1.3000000000e+02   4.9452498492e-01
1.4000000000e+02   4.9403905639e-01
1.5000000000e+02   4.9440889622e-01
1.6000000000e+02   4.9436169224e-01
1.7000000000e+02   4.9373692234e-01
1.8000000000e+02   4.9428296378e-01
1.9000000000e+02   4.9372785454e-01
2.0000000000e+02   4.9171111292e-01
2.1000000000e+02   4.8784275639e-01
2.2000000000e+02   4.9371734013e-01
2.3000000000e+02   4.9414588035e-01
2.4000000000e+02   4.9371178913e-01
2.5000000000e+02   4.9450152852e-01
2.6000000000e+02   4.9446895287e-01
2.7000000000e+02   4.9370500294e-01
2.8000000000e+02   4.9370306371e-01
2.9000000000e+02   4.9301234871e-01
3.0000000000e+02   4.9202516585e-01
3.1000000000e+02   4.8942218090e-01
3.2000000000e+02   4.8603502989e-01
3.3000000000e+02   4.9369512893e-01
3.4000000000e+02   4.9340068496e-01
3.5000000000e+02   4.9425925099e-01
3.6000000000e+02   4.9424240152e-01
3.7000000000e+02   4.9379782170e-01
3.8000000000e+02   4.9290013918e-01
3.9000000000e+02   4.9317650945e-01
4.0000000000e+02   4.9167398542e-01
4.1000000000e+02   4.9022042659e-01
4.2000000000e+02   4.8780657394e-01
4.3000000000e+02   4.8819350484e-01
4.4000000000e+02   4.9300288921e-01
4.5000000000e+02   4.9368327512e-01
4.6000000000e+02   4.9389860365e-01
4.7000000000e+02   4.9368188761e-01
4.8000000000e+02   4.9284799727e-01
4.9000000000e+02   4.9286445593e-01
5.0000000000e+02   4.9166655356e-01
5.1000000000e+02   4.9058089453e-01
5.2000000000e+02   4.8875861087e-01
5.3000000000e+02   4.8684831256e-01
5.4000000000e+02   4.8456405307e-01
5.5000000000e+02   4.9276793204e-01
5.6000000000e+02   4.9385437579e-01
5.7000000000e+02   4.9350165718e-01
5.8000000000e+02   4.9298694200e-01
5.9000000000e+02   4.9214405316e-01
6.0000000000e+02   4.9200044924e-01
6.1000000000e+02   4.9068738103e-01
6.2000000000e+02   4.8939787849e-01
6.3000000000e+02   4.8786199494e-01
6.4000000000e+02   4.8611260863e-01
6.5000000000e+02   4.8414748152e-01
