X    Y
-1.0000000000e+00   -3.5334078898e+00
-9.7961224490e-01   -8.2912269027e+00
-9.5922448980e-01   -8.2786615052e+00
-9.3883673469e-01   -8.2592313739e+00
-9.1844897959e-01   -8.2506619880e+00
-8.9806122449e-01   -8.2513625624e+00
-8.7767346939e-01   -8.2466560381e+00
-8.5728571429e-01   -8.2351286291e+00
-8.3689795918e-01   -8.2261372606e+00
-8.1651020408e-01   -8.1992644556e+00
-7.9612244898e-01   -8.2037711609e+00
-7.7573469388e-01   -8.1757287494e+00
-7.5534693878e-01   -8.1635172099e+00
-7.3495918367e-01   -8.1683982191e+00
-7.1457142857e-01   -8.1352026521e+00
-6.9418367347e-01   -8.1207225510e+00
-6.7379591837e-01   -8.1266990094e+00
-6.5340816327e-01   -8.0929492140e+00
-6.3302040816e-01   -8.0988084255e+00
-6.1263265306e-01   -8.0689731528e+00
-5.9224489796e-01   -8.0500457133e+00
-5.7185714286e-01   -8.0500094084e+00
-5.5146938776e-01   -8.0190200162e+00
-5.3108163265e-01   -8.0227344793e+00
-5.1069387755e-01   -8.0091337564e+00
-4.9030612245e-01   -7.9820945551e+00
-4.6991836735e-01   -7.9497489718e+00
-4.4953061224e-01   -7.9479685283e+00
-4.2914285714e-01   -7.9242008179e+00
-4.0875510204e-01   -7.9054262401e+00
-3.8836734694e-01   -7.8892393499e+00
-3.6797959184e-01   -7.8649887315e+00
-3.4759183673e-01   -7.8421762906e+00
-3.2720408163e-01   -7.8078170206e+00
-3.0681632653e-01   -7.7698201235e+00
-2.8642857143e-01   -7.7384290748e+00
-2.6604081633e-01   -7.7179531679e+00
-2.4565306122e-01   -7.6810339244e+00
-2.2526530612e-01   -7.6537564158e+00
-2.0487755102e-01   -7.6092445289e+00
-1.8448979592e-01   -7.5527108030e+00
-1.6410204082e-01   -7.5102579261e+00
-1.4371428571e-01   -7.4346925870e+00
-1.2332653061e-01   -7.3867088514e+00
-1.0293877551e-01   -7.3085297668e+00
-8.2551020408e-02   -7.1957043277e+00
-6.2163265306e-02   -7.0910532537e+00
-4.1775510204e-02   -6.8982530691e+00
-2.1387755102e-02   -6.6227115988e+00
-1.0000000000e-03   -1.6000000000e+01
1.0000000000e-03   -1.6000000000e+01
1.9990000000e-03   -5.7251063088e+00
2.9980000000e-03   -5.8277300389e+00
3.9970000000e-03   -5.9300655528e+00
4.9960000000e-03   -6.0172623498e+00
5.9950000000e-03   -6.0909982896e+00
6.9940000000e-03   -6.1543777826e+00
7.9930000000e-03   -6.2097912425e+00
8.9920000000e-03   -6.2589414346e+00
9.9910000000e-03   -6.3030525680e+00
1.0990000000e-02   -6.3430274442e+00
1.1989000000e-02   -6.3795490428e+00
1.2988000000e-02   -6.4131457320e+00
1.3987000000e-02   -6.4442357736e+00
1.4986000000e-02   -6.4731545185e+00
1.5985000000e-02   -6.5001744464e+00
1.6984000000e-02   -6.5255236049e+00
1.7983000000e-02   -6.5493908667e+00
1.8982000000e-02   -6.5719355154e+00
1.9981000000e-02   -6.5932956463e+00
2.0980000000e-02   -6.6135873606e+00
2.1979000000e-02   -6.6329121459e+00
2.2978000000e-02   -6.6513611472e+00
2.3977000000e-02   -6.6690109930e+00
2.4976000000e-02   -6.6859291634e+00
2.5975000000e-02   -6.7021780778e+00
2.6974000000e-02   -6.7178113617e+00
2.7973000000e-02   -6.7328759033e+00
2.8972000000e-02   -6.7474177394e+00
2.9971000000e-02   -6.7614728808e+00
3.0970000000e-02   -6.7750766624e+00
3.1969000000e-02   -6.7882616392e+00
3.2968000000e-02   -6.8010547491e+00
3.3967000000e-02   -6.8134832477e+00
3.4966000000e-02   -6.8255671338e+00
3.5965000000e-02   -6.8373306479e+00
3.6964000000e-02   -6.8487915700e+00
3.7963000000e-02   -6.8599670421e+00
3.8962000000e-02   -6.8708736643e+00
3.9961000000e-02   -6.8815241394e+00
4.0960000000e-02   -6.8919327599e+00
4.1959000000e-02   -6.9021114790e+00
4.2958000000e-02   -6.9120707864e+00
4.3957000000e-02   -6.9218201954e+00
4.4956000000e-02   -6.9313694506e+00
4.5955000000e-02   -6.9407276613e+00
4.6954000000e-02   -6.9499010480e+00
4.7953000000e-02   -6.9588967882e+00
4.8952000000e-02   -6.9677227186e+00
4.9951000000e-02   -6.9763839155e+00
5.0950000000e-02   -6.9848862320e+00
5.1949000000e-02   -6.9932354607e+00
5.2948000000e-02   -7.0014356507e+00
5.3947000000e-02   -7.0094924778e+00
5.4946000000e-02   -7.0174102830e+00
5.5945000000e-02   -7.0251916609e+00
5.6944000000e-02   -7.0328445149e+00
5.7943000000e-02   -7.0403678721e+00
5.8942000000e-02   -7.0477694790e+00
5.9941000000e-02   -7.0550522424e+00
6.0940000000e-02   -7.0622164538e+00
6.1939000000e-02   -7.0692725017e+00
6.2938000000e-02   -7.0762189872e+00
6.3937000000e-02   -7.0830608222e+00
6.4936000000e-02   -7.0898002524e+00
6.5935000000e-02   -7.0964425472e+00
6.6934000000e-02   -7.1029932296e+00
6.7933000000e-02   -7.1094541672e+00
6.8932000000e-02   -7.1158281271e+00
6.9931000000e-02   -7.1221233414e+00
7.0930000000e-02   -7.1283400578e+00
7.1929000000e-02   -7.1344856199e+00
7.2928000000e-02   -7.1405627415e+00
7.3927000000e-02   -7.1465766619e+00
7.4926000000e-02   -7.1525322890e+00
7.5925000000e-02   -7.1584362865e+00
7.6924000000e-02   -7.1642907654e+00
7.7923000000e-02   -7.1701052275e+00
7.8922000000e-02   -7.1758827058e+00
7.9921000000e-02   -7.1816267938e+00
8.0920000000e-02   -7.1873475816e+00
8.1919000000e-02   -7.1930489820e+00
8.2918000000e-02   -7.1987351421e+00
8.3917000000e-02   -7.2044105552e+00
8.4916000000e-02   -7.2100847792e+00
8.5915000000e-02   -7.2157598752e+00
8.6914000000e-02   -7.2214392391e+00
8.7913000000e-02   -7.2271281404e+00
8.8912000000e-02   -7.2328267571e+00
8.9911000000e-02   -7.2385414345e+00
9.0910000000e-02   -7.2442645776e+00
9.1909000000e-02   -7.2500044875e+00
9.2908000000e-02   -7.2557534664e+00
9.3907000000e-02   -7.2615082084e+00
9.4906000000e-02   -7.2672587684e+00
9.5905000000e-02   -7.2729984281e+00
9.6904000000e-02   -7.2787166562e+00
9.7903000000e-02   -7.2843980773e+00
9.8902000000e-02   -7.2900202884e+00
9.9901000000e-02   -7.2955706713e+00
1.0090000000e-01   -7.3010207420e+00
1.0189900000e-01   -7.3063474725e+00
1.0289800000e-01   -7.3115244694e+00
1.0389700000e-01   -7.3165152833e+00
1.0489600000e-01   -7.3212981771e+00
1.0589500000e-01   -7.3258432938e+00
1.0689400000e-01   -7.3301178952e+00
1.0789300000e-01   -7.3341020381e+00
1.0889200000e-01   -7.3377726413e+00
1.0989100000e-01   -7.3411195641e+00
1.1089000000e-01   -7.3441331064e+00
1.1188900000e-01   -7.3468180528e+00
1.1288800000e-01   -7.3491880214e+00
1.1388700000e-01   -7.3512654664e+00
1.1488600000e-01   -7.3531034142e+00
1.1588500000e-01   -7.3547389615e+00
1.1688400000e-01   -7.3562456696e+00
1.1788300000e-01   -7.3576919377e+00
1.1888200000e-01   -7.3591649464e+00
1.1988100000e-01   -7.3607579712e+00
1.2088000000e-01   -7.3625642953e+00
1.2187900000e-01   -7.3646692069e+00
1.2287800000e-01   -7.3671647208e+00
1.2387700000e-01   -7.3701261434e+00
1.2487600000e-01   -7.3736092244e+00
1.2587500000e-01   -7.3776564398e+00
1.2687400000e-01   -7.3822758605e+00
1.2787300000e-01   -7.3874433427e+00
1.2887200000e-01   -7.3930957282e+00
1.2987100000e-01   -7.3991441553e+00
1.3087000000e-01   -7.4054419468e+00
1.3186900000e-01   -7.4118153689e+00
1.3286800000e-01   -7.4180634434e+00
1.3386700000e-01   -7.4239540249e+00
1.3486600000e-01   -7.4292833772e+00
1.3586500000e-01   -7.4338326029e+00
1.3686400000e-01   -7.4374566661e+00
1.3786300000e-01   -7.4400543392e+00
1.3886200000e-01   -7.4416275047e+00
1.3986100000e-01   -7.4422670855e+00
1.4086000000e-01   -7.4421661406e+00
1.4185900000e-01   -7.4415957463e+00
1.4285800000e-01   -7.4408955195e+00
1.4385700000e-01   -7.4404378206e+00
1.4485600000e-01   -7.4405859163e+00
1.4585500000e-01   -7.4416747326e+00
1.4685400000e-01   -7.4439429007e+00
1.4785300000e-01   -7.4475351043e+00
1.4885200000e-01   -7.4524405215e+00
1.4985100000e-01   -7.4585042321e+00
1.5085000000e-01   -7.4653935591e+00
1.5184900000e-01   -7.4726429078e+00
1.5284800000e-01   -7.4796745282e+00
1.5384700000e-01   -7.4858760385e+00
1.5484600000e-01   -7.4906882695e+00
