X    Y
-1.0000000000e+00   -6.4009637566e-03
-9.7979591837e-01   -1.0205666433e-02
-9.5959183673e-01   -1.0420355498e-02
-9.3938775510e-01   -1.0644411636e-02
-9.1918367347e-01   -1.0878348689e-02
-8.9897959184e-01   -1.1122813458e-02
-8.7877551020e-01   -1.1378523451e-02
-8.5857142857e-01   -1.1646278561e-02
-8.3836734694e-01   -1.1926937765e-02
-8.1816326531e-01   -1.2221457837e-02
-7.9795918367e-01   -1.2530899964e-02
-7.7775510204e-01   -1.2856413934e-02
-7.5755102041e-01   -1.3199293349e-02
-7.3734693878e-01   -1.3560967115e-02
-7.1714285714e-01   -1.3943015423e-02
-6.9693877551e-01   -1.4347217547e-02
-6.7673469388e-01   -1.4775557675e-02
-6.5653061224e-01   -1.5230256347e-02
-6.3632653061e-01   -1.5713833594e-02
-6.1612244898e-01   -1.6229127094e-02
-5.9591836735e-01   -1.6779360711e-02
-5.7571428571e-01   -1.7368213347e-02
-5.5551020408e-01   -1.7999895675e-02
-5.3530612245e-01   -1.8679268684e-02
-5.1510204082e-01   -1.9411929522e-02
-4.9489795918e-01   -2.0204415162e-02
-4.7469387755e-01   -2.1064364230e-02
-4.5448979592e-01   -2.2000768498e-02
-4.3428571429e-01   -2.3024295163e-02
-4.1408163265e-01   -2.4147709753e-02
-3.9387755102e-01   -2.5386377685e-02
-3.7367346939e-01   -2.6758987951e-02
-3.5346938776e-01   -2.8288513883e-02
-3.3326530612e-01   -3.0003494007e-02
-3.1306122449e-01   -3.1939829419e-02
-2.9285714286e-01   -3.4143338819e-02
-2.7265306122e-01   -3.6673431105e-02
-2.5244897959e-01   -3.9608482181e-02
-2.3224489796e-01   -4.3054221477e-02
-2.1204081633e-01   -4.7156585214e-02
-1.9183673469e-01   -5.2123090361e-02
-1.7163265306e-01   -5.8258865785e-02
-1.5142857143e-01   -6.6031940716e-02
-1.3122448980e-01   -7.6198613404e-02
-1.1102040816e-01   -9.0065672393e-02
-9.0816326531e-02   -1.1010279829e-01
-7.0612244898e-02   -1.4160628823e-01
-5.0408163265e-02   -1.9836377969e-01
-3.0204081633e-02   -3.3105508913e-01
-1.0000000000e-02   -1.0000000000e+00
1.0000000000e-02   1.0000000000e+00
1.9900000000e-02   5.0247943358e-01
2.9800000000e-02   3.3554422177e-01
3.9700000000e-02   2.5186838831e-01
4.9600000000e-02   2.0159587610e-01
5.9500000000e-02   1.6805285790e-01
6.9400000000e-02   1.4407981086e-01
7.9300000000e-02   1.2609249524e-01
8.9200000000e-02   1.1209789320e-01
9.9100000000e-02   1.0089939446e-01
1.0900000000e-01   9.1735122739e-02
1.1890000000e-01   8.4096947897e-02
1.2880000000e-01   7.7632966603e-02
1.3870000000e-01   7.2091747051e-02
1.4860000000e-01   6.7288860892e-02
1.5850000000e-01   6.3085957814e-02
1.6840000000e-01   5.9377221198e-02
1.7830000000e-01   5.6080336010e-02
1.8820000000e-01   5.3130307416e-02
1.9810000000e-01   5.0475132859e-02
2.0800000000e-01   4.8072710106e-02
2.1790000000e-01   4.5888588246e-02
2.2780000000e-01   4.3894305303e-02
2.3770000000e-01   4.2066141505e-02
2.4760000000e-01   4.0384171745e-02
2.5750000000e-01   3.8831536152e-02
2.6740000000e-01   3.7393871422e-02
2.7730000000e-01   3.6058862689e-02
2.8720000000e-01   3.4815889329e-02
2.9710000000e-01   3.3655746855e-02
3.0700000000e-01   3.2570425999e-02
3.1690000000e-01   3.1552923496e-02
3.2680000000e-01   3.0597073128e-02
