X    Y
-1.0000000000e+00   -1.0000000000e-03
-9.7961224490e-01   -1.0208120664e-03
-9.5922448980e-01   -1.0425088294e-03
-9.3883673469e-01   -1.0651479252e-03
-9.1844897959e-01   -1.0887921074e-03
-8.9806122449e-01   -1.1135098284e-03
-8.7767346939e-01   -1.1393759011e-03
-8.5728571429e-01   -1.1664722546e-03
-8.3689795918e-01   -1.1948888022e-03
-8.1651020408e-01   -1.2247244370e-03
-7.9612244898e-01   -1.2560881825e-03
-7.7573469388e-01   -1.2891005236e-03
-7.5534693878e-01   -1.3238949530e-03
-7.3495918367e-01   -1.3606197762e-03
-7.1457142857e-01   -1.3994402239e-03
-6.9418367347e-01   -1.4405409378e-03
-6.7379591837e-01   -1.4841289072e-03
-6.5340816327e-01   -1.5304369554e-03
-6.3302040816e-01   -1.5797279000e-03
-6.1263265306e-01   -1.6322995436e-03
-5.9224489796e-01   -1.6884906961e-03
-5.7185714286e-01   -1.7486884837e-03
-5.5146938776e-01   -1.8133372808e-03
-5.3108163265e-01   -1.8829496984e-03
-5.1069387755e-01   -1.9581202046e-03
-4.9030612245e-01   -2.0395421436e-03
-4.6991836735e-01   -2.1280291844e-03
-4.4953061224e-01   -2.2245426068e-03
-4.2914285714e-01   -2.3302263649e-03
-4.0875510204e-01   -2.4464526437e-03
-3.8836734694e-01   -2.5748817657e-03
-3.6797959184e-01   -2.7175420110e-03
-3.4759183673e-01   -2.8769375294e-03
-3.2720408163e-01   -3.0561965946e-03
-3.0681632653e-01   -3.2592789677e-03
-2.8642857143e-01   -3.4912718205e-03
-2.6604081633e-01   -3.7588217245e-03
-2.4565306122e-01   -4.0707817563e-03
-2.2526530612e-01   -4.4392100019e-03
-2.0487755102e-01   -4.8809642395e-03
-1.8448979592e-01   -5.4203539824e-03
-1.6410204082e-01   -6.0937694317e-03
-1.4371428571e-01   -6.9582504971e-03
-1.2332653061e-01   -8.1085553534e-03
-1.0293877551e-01   -9.7145122920e-03
-8.2551020408e-02   -1.2113720643e-02
-6.2163265306e-02   -1.6086671044e-02
-4.1775510204e-02   -2.3937469468e-02
-2.1387755102e-02   -4.6755725191e-02
-1.0000000000e-03   -1.0000000000e+00
1.0000000000e-03   1.0000000000e+00
1.9990000000e-03   5.0025012507e-01
2.9980000000e-03   3.3355570381e-01
3.9970000000e-03   2.5018764073e-01
4.9960000000e-03   2.0016012811e-01
5.9950000000e-03   1.6680567140e-01
6.9940000000e-03   1.4297969689e-01
7.9930000000e-03   1.2510947079e-01
8.9920000000e-03   1.1120996441e-01
9.9910000000e-03   1.0009008107e-01
1.0990000000e-02   9.0991810738e-02
1.1989000000e-02   8.3409792311e-02
1.2988000000e-02   7.6994148446e-02
1.3987000000e-02   7.1494959606e-02
1.4986000000e-02   6.6728947018e-02
1.5985000000e-02   6.2558648734e-02
1.6984000000e-02   5.8878944890e-02
1.7983000000e-02   5.5608074293e-02
1.8982000000e-02   5.2681487726e-02
1.9981000000e-02   5.0047545169e-02
2.0980000000e-02   4.7664442327e-02
2.1979000000e-02   4.5497975341e-02
2.2978000000e-02   4.3519888590e-02
2.3977000000e-02   4.1706635526e-02
2.4976000000e-02   4.0038436900e-02
2.5975000000e-02   3.8498556305e-02
2.6974000000e-02   3.7072736710e-02
2.7973000000e-02   3.5748757731e-02
2.8972000000e-02   3.4516084496e-02
2.9971000000e-02   3.3365586734e-02
3.0970000000e-02   3.2289312238e-02
3.1969000000e-02   3.1280302794e-02
3.2968000000e-02   3.0332443582e-02
3.3967000000e-02   2.9440339153e-02
3.4966000000e-02   2.8599210662e-02
3.5965000000e-02   2.7804810233e-02
3.6964000000e-02   2.7053349205e-02
3.7963000000e-02   2.6341437716e-02
3.8962000000e-02   2.5666033572e-02
3.9961000000e-02   2.5024398789e-02
4.0960000000e-02   2.4414062500e-02
4.1959000000e-02   2.3832789152e-02
4.2958000000e-02   2.3278551143e-02
4.3957000000e-02   2.2749505199e-02
4.4956000000e-02   2.2243971884e-02
4.5955000000e-02   2.1760417800e-02
4.6954000000e-02   2.1297440048e-02
4.7953000000e-02   2.0853752633e-02
4.8952000000e-02   2.0428174539e-02
4.9951000000e-02   2.0019619227e-02
5.0950000000e-02   1.9627085378e-02
5.1949000000e-02   1.9249648694e-02
5.2948000000e-02   1.8886454635e-02
5.3947000000e-02   1.8536711958e-02
5.4946000000e-02   1.8199686966e-02
5.5945000000e-02   1.7874698365e-02
5.6944000000e-02   1.7561112672e-02
5.7943000000e-02   1.7258340093e-02
5.8942000000e-02   1.6965830817e-02
5.9941000000e-02   1.6683071687e-02
6.0940000000e-02   1.6409583197e-02
6.1939000000e-02   1.6144916773e-02
6.2938000000e-02   1.5888652325e-02
6.3937000000e-02   1.5640396015e-02
6.4936000000e-02   1.5399778243e-02
6.5935000000e-02   1.5166451809e-02
6.6934000000e-02   1.4940090238e-02
6.7933000000e-02   1.4720386263e-02
6.8932000000e-02   1.4507050427e-02
6.9931000000e-02   1.4299809813e-02
7.0930000000e-02   1.4098406880e-02
7.1929000000e-02   1.3902598396e-02
7.2928000000e-02   1.3712154454e-02
7.3927000000e-02   1.3526857576e-02
7.4926000000e-02   1.3346501882e-02
7.5925000000e-02   1.3170892328e-02
7.6924000000e-02   1.2999844002e-02
7.7923000000e-02   1.2833181474e-02
7.8922000000e-02   1.2670738197e-02
7.9921000000e-02   1.2512355952e-02
8.0920000000e-02   1.2357884330e-02
8.1919000000e-02   1.2207180264e-02
8.2918000000e-02   1.2060107576e-02
8.3917000000e-02   1.1916536578e-02
8.4916000000e-02   1.1776343681e-02
8.5915000000e-02   1.1639411046e-02
8.6914000000e-02   1.1505626251e-02
8.7913000000e-02   1.1374881986e-02
8.8912000000e-02   1.1247075760e-02
8.9911000000e-02   1.1122109642e-02
9.0910000000e-02   1.0999890001e-02
9.1909000000e-02   1.0880327280e-02
