X    Y
-4.0000000000e-01   -2.5000000000e+00
-3.9950093575e-01   -2.5031230481e+00
-3.9900187149e-01   -2.5062539087e+00
-3.9850280724e-01   -2.5093926111e+00
-3.9800374298e-01   -2.5125391850e+00
-3.9750467873e-01   -2.5156936598e+00
-3.9700561447e-01   -2.5188560654e+00
-3.9650655022e-01   -2.5220264317e+00
-3.9600748596e-01   -2.5252047889e+00
-3.9550842171e-01   -2.5283911672e+00
-3.9500935745e-01   -2.5315855970e+00
-3.9451029320e-01   -2.5347881088e+00
-3.9401122895e-01   -2.5379987334e+00
-3.9351216469e-01   -2.5412175016e+00
-3.9301310044e-01   -2.5444444444e+00
-3.9251403618e-01   -2.5476795931e+00
-3.9201497193e-01   -2.5509229790e+00
-3.9151590767e-01   -2.5541746335e+00
-3.9101684342e-01   -2.5574345884e+00
-3.9051777916e-01   -2.5607028754e+00
-3.9001871491e-01   -2.5639795266e+00
-3.8951965066e-01   -2.5672645740e+00
-3.8902058640e-01   -2.5705580500e+00
-3.8852152215e-01   -2.5738599872e+00
-3.8802245789e-01   -2.5771704180e+00
-3.8752339364e-01   -2.5804893754e+00
-3.8702432938e-01   -2.5838168923e+00
-3.8652526513e-01   -2.5871530019e+00
-3.8602620087e-01   -2.5904977376e+00
-3.8552713662e-01   -2.5938511327e+00
-3.8502807236e-01   -2.5972132210e+00
-3.8452900811e-01   -2.6005840363e+00
-3.8402994386e-01   -2.6039636127e+00
-3.8353087960e-01   -2.6073519844e+00
-3.8303181535e-01   -2.6107491857e+00
-3.8253275109e-01   -2.6141552511e+00
-3.8203368684e-01   -2.6175702155e+00
-3.8153462258e-01   -2.6209941138e+00
-3.8103555833e-01   -2.6244269810e+00
-3.8053649407e-01   -2.6278688525e+00
-3.8003742982e-01   -2.6313197636e+00
-3.7953836556e-01   -2.6347797502e+00
-3.7903930131e-01   -2.6382488479e+00
-3.7854023706e-01   -2.6417270929e+00
-3.7804117280e-01   -2.6452145215e+00
-3.7754210855e-01   -2.6487111699e+00
-3.7704304429e-01   -2.6522170748e+00
-3.7654398004e-01   -2.6557322730e+00
-3.7604491578e-01   -2.6592568016e+00
-3.7554585153e-01   -2.6627906977e+00
-3.7504678727e-01   -2.6663339987e+00
-3.7454772302e-01   -2.6698867422e+00
-3.7404865876e-01   -2.6734489660e+00
-3.7354959451e-01   -2.6770207081e+00
-3.7305053026e-01   -2.6806020067e+00
-3.7255146600e-01   -2.6841929002e+00
-3.7205240175e-01   -2.6877934272e+00
-3.7155333749e-01   -2.6914036266e+00
-3.7105427324e-01   -2.6950235373e+00
-3.7055520898e-01   -2.6986531987e+00
-3.7005614473e-01   -2.7022926500e+00
-3.6955708047e-01   -2.7059419311e+00
-3.6905801622e-01   -2.7096010818e+00
-3.6855895197e-01   -2.7132701422e+00
-3.6805988771e-01   -2.7169491525e+00
-3.6756082346e-01   -2.7206381534e+00
-3.6706175920e-01   -2.7243371856e+00
-3.6656269495e-01   -2.7280462900e+00
