X    Y
1.0000000000e-02   1.0000000000e+02
1.0975000000e-02   9.1116173121e+01
1.1950000000e-02   8.3682008368e+01
1.2925000000e-02   7.7369439072e+01
1.3900000000e-02   7.1942446043e+01
1.4875000000e-02   6.7226890756e+01
1.5850000000e-02   6.3091482650e+01
1.6825000000e-02   5.9435364042e+01
1.7800000000e-02   5.6179775281e+01
1.8775000000e-02   5.3262316911e+01
1.9750000000e-02   5.0632911392e+01
2.0725000000e-02   4.8250904704e+01
2.1700000000e-02   4.6082949309e+01
2.2675000000e-02   4.4101433297e+01
2.3650000000e-02   4.2283298097e+01
2.4625000000e-02   4.0609137056e+01
2.5600000000e-02   3.9062500000e+01
2.6575000000e-02   3.7629350894e+01
2.7550000000e-02   3.6297640653e+01
2.8525000000e-02   3.5056967572e+01
2.9500000000e-02   3.3898305085e+01
3.0475000000e-02   3.2813781788e+01
3.1450000000e-02   3.1796502385e+01
3.2425000000e-02   3.0840400925e+01
3.3400000000e-02   2.9940119760e+01
3.4375000000e-02   2.9090909091e+01
3.5350000000e-02   2.8288543140e+01
3.6325000000e-02   2.7529249828e+01
3.7300000000e-02   2.6809651475e+01
3.8275000000e-02   2.6126714566e+01
3.9250000000e-02   2.5477707006e+01
4.0225000000e-02   2.4860161591e+01
4.1200000000e-02   2.4271844660e+01
4.2175000000e-02   2.3710729105e+01
4.3150000000e-02   2.3174971031e+01
4.4125000000e-02   2.2662889518e+01
4.5100000000e-02   2.2172949002e+01
4.6075000000e-02   2.1703743896e+01
4.7050000000e-02   2.1253985122e+01
4.8025000000e-02   2.0822488287e+01
4.9000000000e-02   2.0408163265e+01
4.9975000000e-02   2.0010005003e+01
5.0950000000e-02   1.9627085378e+01
5.1925000000e-02   1.9258545980e+01
5.2900000000e-02   1.8903591682e+01
5.3875000000e-02   1.8561484919e+01
5.4850000000e-02   1.8231540565e+01
5.5825000000e-02   1.7913121361e+01
5.6800000000e-02   1.7605633803e+01
5.7775000000e-02   1.7308524448e+01
5.8750000000e-02   1.7021276596e+01
5.9725000000e-02   1.6743407283e+01
6.0700000000e-02   1.6474464580e+01
6.1675000000e-02   1.6214025132e+01
6.2650000000e-02   1.5961691939e+01
6.3625000000e-02   1.5717092338e+01
6.4600000000e-02   1.5479876161e+01
6.5575000000e-02   1.5249714068e+01
6.6550000000e-02   1.5026296018e+01
6.7525000000e-02   1.4809329878e+01
6.8500000000e-02   1.4598540146e+01
6.9475000000e-02   1.4393666787e+01
7.0450000000e-02   1.4194464159e+01
7.1425000000e-02   1.4000700035e+01
7.2400000000e-02   1.3812154696e+01
7.3375000000e-02   1.3628620102e+01
7.4350000000e-02   1.3449899126e+01
7.5325000000e-02   1.3275804846e+01
7.6300000000e-02   1.3106159895e+01
7.7275000000e-02   1.2940795859e+01
7.8250000000e-02   1.2779552716e+01
7.9225000000e-02   1.2622278321e+01
8.0200000000e-02   1.2468827930e+01
8.1175000000e-02   1.2319063751e+01
8.2150000000e-02   1.2172854534e+01
8.3125000000e-02   1.2030075188e+01
8.4100000000e-02   1.1890606421e+01
8.5075000000e-02   1.1754334411e+01
8.6050000000e-02   1.1621150494e+01
8.7025000000e-02   1.1490950876e+01
8.8000000000e-02   1.1363636364e+01
8.8975000000e-02   1.1239112110e+01
8.9950000000e-02   1.1117287382e+01
9.0925000000e-02   1.0998075337e+01
9.1900000000e-02   1.0881392818e+01
9.2875000000e-02   1.0767160162e+01
9.3850000000e-02   1.0655301012e+01
9.4825000000e-02   1.0545742157e+01
9.5800000000e-02   1.0438413361e+01
9.6775000000e-02   1.0333247223e+01
9.7750000000e-02   1.0230179028e+01
9.8725000000e-02   1.0129146619e+01
9.9700000000e-02   1.0030090271e+01
1.0067500000e-01   9.9329525702e+00
1.0165000000e-01   9.8376783079e+00
1.0262500000e-01   9.7442143727e+00
1.0360000000e-01   9.6525096525e+00
1.0457500000e-01   9.5625149414e+00
1.0555000000e-01   9.4741828517e+00
1.0652500000e-01   9.3874677306e+00
1.0750000000e-01   9.3023255814e+00
1.0847500000e-01   9.2187139894e+00
1.0945000000e-01   9.1365920512e+00
1.1042500000e-01   9.0559203079e+00
1.1140000000e-01   8.9766606822e+00
1.1237500000e-01   8.8987764182e+00
1.1335000000e-01   8.8222320247e+00
1.1432500000e-01   8.7469932211e+00
1.1530000000e-01   8.6730268864e+00
1.1627500000e-01   8.6003010105e+00
1.1725000000e-01   8.5287846482e+00
1.1822500000e-01   8.4584478748e+00
1.1920000000e-01   8.3892617450e+00
1.2017500000e-01   8.3211982525e+00
1.2115000000e-01   8.2542302930e+00
1.2212500000e-01   8.1883316274e+00
1.2310000000e-01   8.1234768481e+00
1.2407500000e-01   8.0596413460e+00
1.2505000000e-01   7.9968012795e+00
1.2602500000e-01   7.9349335449e+00
1.2700000000e-01   7.8740157480e+00
1.2797500000e-01   7.8140261770e+00
1.2895000000e-01   7.7549437767e+00
1.2992500000e-01   7.6967481239e+00
1.3090000000e-01   7.6394194041e+00
1.3187500000e-01   7.5829383886e+00
1.3285000000e-01   7.5272864132e+00
1.3382500000e-01   7.4724453577e+00
1.3480000000e-01   7.4183976261e+00
1.3577500000e-01   7.3651261278e+00
1.3675000000e-01   7.3126142596e+00
1.3772500000e-01   7.2608458885e+00
1.3870000000e-01   7.2098053353e+00
1.3967500000e-01   7.1594773582e+00
1.4065000000e-01   7.1098471383e+00
1.4162500000e-01   7.0609002648e+00
1.4260000000e-01   7.0126227209e+00
1.4357500000e-01   6.9650008706e+00
1.4455000000e-01   6.9180214459e+00
1.4552500000e-01   6.8716715341e+00
1.4650000000e-01   6.8259385666e+00
1.4747500000e-01   6.7808103068e+00
1.4845000000e-01   6.7362748400e+00
1.4942500000e-01   6.6923205622e+00
1.5040000000e-01   6.6489361702e+00
1.5137500000e-01   6.6061106524e+00
1.5235000000e-01   6.5638332786e+00
1.5332500000e-01   6.5220935920e+00
1.5430000000e-01   6.4808813999e+00
1.5527500000e-01   6.4401867654e+00
1.5625000000e-01   6.4000000000e+00
1.5722500000e-01   6.3603116553e+00
1.5820000000e-01   6.3211125158e+00
1.5917500000e-01   6.2823935920e+00
1.6015000000e-01   6.2441461130e+00
1.6112500000e-01   6.2063615206e+00
1.6210000000e-01   6.1690314621e+00
1.6307500000e-01   6.1321477848e+00
1.6405000000e-01   6.0957025297e+00
1.6502500000e-01   6.0596879261e+00
1.6600000000e-01   6.0240963855e+00
1.6697500000e-01   5.9889204971e+00
1.6795000000e-01   5.9541530217e+00
1.6892500000e-01   5.9197868877e+00
1.6990000000e-01   5.8858151854e+00
1.7087500000e-01   5.8522311631e+00
1.7185000000e-01   5.8190282223e+00
1.7282500000e-01   5.7861999132e+00
1.7380000000e-01   5.7537399310e+00
1.7477500000e-01   5.7216421113e+00
1.7575000000e-01   5.6899004267e+00
1.7672500000e-01   5.6585089829e+00
1.7770000000e-01   5.6274620146e+00
1.7867500000e-01   5.5967538827e+00
1.7965000000e-01   5.5663790704e+00
1.8062500000e-01   5.5363321799e+00
1.8160000000e-01   5.5066079295e+00
1.8257500000e-01   5.4772011502e+00
1.8355000000e-01   5.4481067829e+00
1.8452500000e-01   5.4193198754e+00
1.8550000000e-01   5.3908355795e+00
1.8647500000e-01   5.3626491487e+00
1.8745000000e-01   5.3347559349e+00
1.8842500000e-01   5.3071513865e+00
1.8940000000e-01   5.2798310454e+00
1.9037500000e-01   5.2527905450e+00
1.9135000000e-01   5.2260256075e+00
1.9232500000e-01   5.1995320421e+00
1.9330000000e-01   5.1733057424e+00
1.9427500000e-01   5.1473426843e+00
1.9525000000e-01   5.1216389245e+00
1.9622500000e-01   5.0961905975e+00
1.9720000000e-01   5.0709939148e+00
1.9817500000e-01   5.0460451621e+00
1.9915000000e-01   5.0213406980e+00
2.0012500000e-01   4.9968769519e+00
2.0110000000e-01   4.9726504227e+00
2.0207500000e-01   4.9486576766e+00
2.0305000000e-01   4.9248953460e+00
2.0402500000e-01   4.9013601274e+00
2.0500000000e-01   4.8780487805e+00
2.0597500000e-01   4.8549581260e+00
2.0695000000e-01   4.8320850447e+00
2.0792500000e-01   4.8094264759e+00
2.0890000000e-01   4.7869794160e+00
2.0987500000e-01   4.7647409172e+00
2.1085000000e-01   4.7427080863e+00
2.1182500000e-01   4.7208780833e+00
2.1280000000e-01   4.6992481203e+00
2.1377500000e-01   4.6778154602e+00
2.1475000000e-01   4.6565774156e+00
2.1572500000e-01   4.6355313478e+00
2.1670000000e-01   4.6146746654e+00
2.1767500000e-01   4.5940048237e+00
2.1865000000e-01   4.5735193231e+00
2.1962500000e-01   4.5532157086e+00
2.2060000000e-01   4.5330915684e+00
2.2157500000e-01   4.5131445335e+00
2.2255000000e-01   4.4933722759e+00
2.2352500000e-01   4.4737725087e+00
2.2450000000e-01   4.4543429844e+00
2.2547500000e-01   4.4350814946e+00
2.2645000000e-01   4.4159858688e+00
2.2742500000e-01   4.3970539738e+00
2.2840000000e-01   4.3782837128e+00
2.2937500000e-01   4.3596730245e+00
2.3035000000e-01   4.3412198828e+00
2.3132500000e-01   4.3229222955e+00
2.3230000000e-01   4.3047783039e+00
2.3327500000e-01   4.2867859822e+00
