X    Y
-4.0000000000e-01   -2.5000000000e+00
-3.9901250000e-01   -2.5061871495e+00
-3.9802500000e-01   -2.5124049997e+00
-3.9703750000e-01   -2.5186537796e+00
-3.9605000000e-01   -2.5249337205e+00
-3.9506250000e-01   -2.5312450562e+00
-3.9407500000e-01   -2.5375880226e+00
-3.9308750000e-01   -2.5439628581e+00
-3.9210000000e-01   -2.5503698036e+00
-3.9111250000e-01   -2.5568091022e+00
-3.9012500000e-01   -2.5632809997e+00
-3.8913750000e-01   -2.5697857441e+00
-3.8815000000e-01   -2.5763235862e+00
-3.8716250000e-01   -2.5828947793e+00
-3.8617500000e-01   -2.5894995792e+00
-3.8518750000e-01   -2.5961382444e+00
-3.8420000000e-01   -2.6028110359e+00
-3.8321250000e-01   -2.6095182177e+00
-3.8222500000e-01   -2.6162600562e+00
-3.8123750000e-01   -2.6230368209e+00
-3.8025000000e-01   -2.6298487837e+00
-3.7926250000e-01   -2.6366962196e+00
-3.7827500000e-01   -2.6435794065e+00
-3.7728750000e-01   -2.6504986251e+00
-3.7630000000e-01   -2.6574541589e+00
-3.7531250000e-01   -2.6644462948e+00
-3.7432500000e-01   -2.6714753222e+00
-3.7333750000e-01   -2.6785415341e+00
-3.7235000000e-01   -2.6856452263e+00
-3.7136250000e-01   -2.6927866976e+00
-3.7037500000e-01   -2.6999662504e+00
-3.6938750000e-01   -2.7071841900e+00
-3.6840000000e-01   -2.7144408252e+00
-3.6741250000e-01   -2.7217364679e+00
-3.6642500000e-01   -2.7290714334e+00
-3.6543750000e-01   -2.7364460407e+00
-3.6445000000e-01   -2.7438606119e+00
-3.6346250000e-01   -2.7513154727e+00
-3.6247500000e-01   -2.7588109525e+00
-3.6148750000e-01   -2.7663473841e+00
-3.6050000000e-01   -2.7739251040e+00
-3.5951250000e-01   -2.7815444526e+00
-3.5852500000e-01   -2.7892057737e+00
-3.5753750000e-01   -2.7969094151e+00
-3.5655000000e-01   -2.8046557285e+00
-3.5556250000e-01   -2.8124450694e+00
-3.5457500000e-01   -2.8202777974e+00
-3.5358750000e-01   -2.8281542758e+00
-3.5260000000e-01   -2.8360748724e+00
-3.5161250000e-01   -2.8440399588e+00
-3.5062500000e-01   -2.8520499109e+00
-3.4963750000e-01   -2.8601051089e+00
-3.4865000000e-01   -2.8682059372e+00
-3.4766250000e-01   -2.8763527847e+00
-3.4667500000e-01   -2.8845460446e+00
-3.4568750000e-01   -2.8927861146e+00
-3.4470000000e-01   -2.9010733972e+00
-3.4371250000e-01   -2.9094082991e+00
-3.4272500000e-01   -2.9177912320e+00
-3.4173750000e-01   -2.9262226124e+00
-3.4075000000e-01   -2.9347028613e+00
-3.3976250000e-01   -2.9432324050e+00
-3.3877500000e-01   -2.9518116744e+00
-3.3778750000e-01   -2.9604411057e+00
-3.3680000000e-01   -2.9691211401e+00
-3.3581250000e-01   -2.9778522241e+00
-3.3482500000e-01   -2.9866348092e+00
-3.3383750000e-01   -2.9954693526e+00
-3.3285000000e-01   -3.0043563167e+00
-3.3186250000e-01   -3.0132961693e+00
-3.3087500000e-01   -3.0222893842e+00
-3.2988750000e-01   -3.0313364405e+00
-3.2890000000e-01   -3.0404378230e+00
-3.2791250000e-01   -3.0495940228e+00
-3.2692500000e-01   -3.0588055364e+00
-3.2593750000e-01   -3.0680728667e+00
-3.2495000000e-01   -3.0773965225e+00
-3.2396250000e-01   -3.0867770189e+00
-3.2297500000e-01   -3.0962148773e+00
-3.2198750000e-01   -3.1057106254e+00
-3.2100000000e-01   -3.1152647975e+00
-3.2001250000e-01   -3.1248779345e+00
-3.1902500000e-01   -3.1345505838e+00
-3.1803750000e-01   -3.1442832999e+00
-3.1705000000e-01   -3.1540766441e+00
-3.1606250000e-01   -3.1639311845e+00
-3.1507500000e-01   -3.1738474966e+00
-3.1408750000e-01   -3.1838261631e+00
-3.1310000000e-01   -3.1938677739e+00
-3.1211250000e-01   -3.2039729264e+00
-3.1112500000e-01   -3.2141422258e+00
-3.1013750000e-01   -3.2243762847e+00
-3.0915000000e-01   -3.2346757238e+00
-3.0816250000e-01   -3.2450411715e+00
-3.0717500000e-01   -3.2554732644e+00
-3.0618750000e-01   -3.2659726475e+00
-3.0520000000e-01   -3.2765399738e+00
-3.0421250000e-01   -3.2871759050e+00
-3.0322500000e-01   -3.2978811114e+00
-3.0223750000e-01   -3.3086562720e+00
-3.0125000000e-01   -3.3195020747e+00
-3.0026250000e-01   -3.3304192165e+00
-2.9927500000e-01   -3.3414084036e+00
-2.9828750000e-01   -3.3524703516e+00
-2.9730000000e-01   -3.3636057854e+00
-2.9631250000e-01   -3.3748154398e+00
-2.9532500000e-01   -3.3861000593e+00
-2.9433750000e-01   -3.3974603984e+00
-2.9335000000e-01   -3.4088972217e+00
-2.9236250000e-01   -3.4204113045e+00
-2.9137500000e-01   -3.4320034320e+00
-2.9038750000e-01   -3.4436744006e+00
-2.8940000000e-01   -3.4554250173e+00
-2.8841250000e-01   -3.4672561002e+00
-2.8742500000e-01   -3.4791684787e+00
-2.8643750000e-01   -3.4911629937e+00
-2.8545000000e-01   -3.5032404975e+00
-2.8446250000e-01   -3.5154018544e+00
-2.8347500000e-01   -3.5276479407e+00
-2.8248750000e-01   -3.5399796451e+00
-2.8150000000e-01   -3.5523978686e+00
-2.8051250000e-01   -3.5649035248e+00
-2.7952500000e-01   -3.5774975405e+00
-2.7853750000e-01   -3.5901808554e+00
-2.7755000000e-01   -3.6029544226e+00
-2.7656250000e-01   -3.6158192090e+00
-2.7557500000e-01   -3.6287761952e+00
-2.7458750000e-01   -3.6418263759e+00
-2.7360000000e-01   -3.6549707602e+00
-2.7261250000e-01   -3.6682103719e+00
-2.7162500000e-01   -3.6815462494e+00
-2.7063750000e-01   -3.6949794467e+00
-2.6965000000e-01   -3.7085110328e+00
-2.6866250000e-01   -3.7221420928e+00
-2.6767500000e-01   -3.7358737275e+00
-2.6668750000e-01   -3.7497070541e+00
-2.6570000000e-01   -3.7636432066e+00
-2.6471250000e-01   -3.7776833357e+00
-2.6372500000e-01   -3.7918286093e+00
-2.6273750000e-01   -3.8060802131e+00
-2.6175000000e-01   -3.8204393505e+00
-2.6076250000e-01   -3.8349072432e+00
-2.5977500000e-01   -3.8494851314e+00
-2.5878750000e-01   -3.8641742743e+00
-2.5780000000e-01   -3.8789759503e+00
-2.5681250000e-01   -3.8938914578e+00
-2.5582500000e-01   -3.9089221147e+00
-2.5483750000e-01   -3.9240692598e+00
-2.5385000000e-01   -3.9393342525e+00
-2.5286250000e-01   -3.9547184735e+00
-2.5187500000e-01   -3.9702233251e+00
-2.5088750000e-01   -3.9858502317e+00
-2.4990000000e-01   -4.0016006403e+00
-2.4891250000e-01   -4.0174760207e+00
-2.4792500000e-01   -4.0334778663e+00
