X    Y
1.0000000000e-02   7.7880078307e-01
1.0975000000e-02   7.3998411258e-01
1.1950000000e-02   6.9976812417e-01
1.2925000000e-02   6.5859989893e-01
1.3900000000e-02   6.1691440032e-01
1.4875000000e-02   5.7512719008e-01
1.5850000000e-02   5.3362803308e-01
1.6825000000e-02   4.9277551055e-01
1.7800000000e-02   4.5289272124e-01
1.8775000000e-02   4.1426410967e-01
1.9750000000e-02   3.7713342186e-01
2.0725000000e-02   3.4170275321e-01
2.1700000000e-02   3.0813262132e-01
2.2675000000e-02   2.7654297020e-01
2.3650000000e-02   2.4701499147e-01
2.4625000000e-02   2.1959363320e-01
2.5600000000e-02   1.9429065879e-01
2.6575000000e-02   1.7108811505e-01
2.7550000000e-02   1.4994207142e-01
2.8525000000e-02   1.3078649919e-01
2.9500000000e-02   1.1353717076e-01
3.0475000000e-02   9.8095472781e-02
3.1450000000e-02   8.4352042981e-02
3.2425000000e-02   7.2190157687e-02
3.3400000000e-02   6.1488814424e-02
3.4375000000e-02   5.2125471023e-02
3.5350000000e-02   4.3978418677e-02
3.6325000000e-02   3.6928780873e-02
3.7300000000e-02   3.0862142747e-02
3.8275000000e-02   2.5669825999e-02
3.9250000000e-02   2.1249832840e-02
4.0225000000e-02   1.7507488724e-02
4.1200000000e-02   1.4355817762e-02
4.2175000000e-02   1.1715687041e-02
4.3150000000e-02   9.5157567412e-03
4.4125000000e-02   7.6922722151e-03
4.5100000000e-02   6.1887323701e-03
4.6075000000e-02   4.9554660332e-03
4.7050000000e-02   3.9491447204e-03
4.8025000000e-02   3.1322566414e-03
4.9000000000e-02   2.4725630359e-03
4.9975000000e-02   1.9425542222e-03
5.0950000000e-02   1.5189191995e-03
5.1925000000e-02   1.1820393583e-03
5.2900000000e-02   9.1551391008e-04
5.3875000000e-02   7.0572207285e-04
5.4850000000e-02   5.4142486750e-04
5.5825000000e-02   4.1340758522e-04
5.6800000000e-02   3.1416255969e-04
5.7775000000e-02   2.3761078918e-04
5.8750000000e-02   1.7886016653e-04
5.9725000000e-02   1.3399754722e-04
6.0700000000e-02   9.9911576314e-05
6.1675000000e-02   7.4143061878e-05
6.2650000000e-02   5.4759688282e-05
6.3625000000e-02   4.0251971960e-05
6.4600000000e-02   2.9447545382e-05
6.5575000000e-02   2.1441086162e-05
6.6550000000e-02   1.5537466612e-05
6.7525000000e-02   1.1205968022e-05
6.8500000000e-02   8.0436708949e-06
6.9475000000e-02   5.7463880687e-06
7.0450000000e-02   4.0857459059e-06
7.1425000000e-02   2.8912357198e-06
7.2400000000e-02   2.0362513786e-06
7.3375000000e-02   1.4272992118e-06
7.4350000000e-02   9.9571352128e-07
7.5325000000e-02   6.9133656487e-07
7.6300000000e-02   4.7772766760e-07
7.7275000000e-02   3.2855418613e-07
7.8250000000e-02   2.2488959356e-07
7.9225000000e-02   1.5320306667e-07
8.0200000000e-02   1.0387267159e-07
8.1175000000e-02   7.0092393215e-08
8.2150000000e-02   4.7073470667e-08
8.3125000000e-02   3.1464243563e-08
8.4100000000e-02   2.0931199196e-08
8.5075000000e-02   1.3858195155e-08
8.6050000000e-02   9.1317704397e-09
8.7025000000e-02   5.9887893854e-09
8.8000000000e-02   3.9089384387e-09
8.8975000000e-02   2.5393021396e-09
8.9950000000e-02   1.6417447827e-09
9.0925000000e-02   1.0564103304e-09
9.1900000000e-02   6.7654305873e-10
9.2875000000e-02   4.3121522086e-10
9.3850000000e-02   2.7354455678e-10
9.4825000000e-02   1.7270228794e-10
9.5800000000e-02   1.0851854597e-10
9.6775000000e-02   6.7864903341e-11
9.7750000000e-02   4.2239915121e-11
9.8725000000e-02   2.6165853795e-11
9.9700000000e-02   1.6131937741e-11
1.0067500000e-01   9.8985020180e-12
1.0165000000e-01   6.0450110695e-12
1.0262500000e-01   3.6740464004e-12
1.0360000000e-01   2.2223531460e-12
1.0457500000e-01   1.3380474062e-12
1.0555000000e-01   8.0172632977e-13
1.0652500000e-01   4.7817514393e-13
1.0750000000e-01   2.8376412331e-13
1.0847500000e-01   1.6764056809e-13
1.0945000000e-01   9.8572083829e-14
1.1042500000e-01   5.7669335973e-14
1.1140000000e-01   3.3640645825e-14
1.1237500000e-01   1.9362955683e-14
1.1335000000e-01   1.1074252626e-14
1.1432500000e-01   6.4986238613e-15
1.1530000000e-01   3.6866509845e-15
1.1627500000e-01   2.2720048065e-15
1.1725000000e-01   1.2496670365e-15
1.1822500000e-01   6.3002936201e-16
1.1920000000e-01   4.2348347051e-16
1.2017500000e-01   2.1347368317e-16
1.2115000000e-01   2.1520563109e-16
1.2212500000e-01   2.1693757901e-16
1.2310000000e-01   0.0000000000e+00
1.2407500000e-01   0.0000000000e+00
1.2505000000e-01   0.0000000000e+00
1.2602500000e-01   0.0000000000e+00
1.2700000000e-01   0.0000000000e+00
1.2797500000e-01   0.0000000000e+00
1.2895000000e-01   0.0000000000e+00
1.2992500000e-01   0.0000000000e+00
1.3090000000e-01   0.0000000000e+00
1.3187500000e-01   0.0000000000e+00
1.3285000000e-01   0.0000000000e+00
1.3382500000e-01   0.0000000000e+00
1.3480000000e-01   0.0000000000e+00
1.3577500000e-01   0.0000000000e+00
1.3675000000e-01   0.0000000000e+00
1.3772500000e-01   0.0000000000e+00
1.3870000000e-01   0.0000000000e+00
1.3967500000e-01   0.0000000000e+00
1.4065000000e-01   0.0000000000e+00
1.4162500000e-01   0.0000000000e+00
1.4260000000e-01   0.0000000000e+00
1.4357500000e-01   0.0000000000e+00
1.4455000000e-01   0.0000000000e+00
1.4552500000e-01   0.0000000000e+00
1.4650000000e-01   0.0000000000e+00
1.4747500000e-01   0.0000000000e+00
1.4845000000e-01   0.0000000000e+00
1.4942500000e-01   0.0000000000e+00
1.5040000000e-01   0.0000000000e+00
1.5137500000e-01   0.0000000000e+00
1.5235000000e-01   0.0000000000e+00
1.5332500000e-01   0.0000000000e+00
1.5430000000e-01   0.0000000000e+00
1.5527500000e-01   0.0000000000e+00
1.5625000000e-01   0.0000000000e+00
1.5722500000e-01   0.0000000000e+00
1.5820000000e-01   0.0000000000e+00
1.5917500000e-01   0.0000000000e+00
1.6015000000e-01   0.0000000000e+00
1.6112500000e-01   0.0000000000e+00
1.6210000000e-01   0.0000000000e+00
1.6307500000e-01   0.0000000000e+00
1.6405000000e-01   0.0000000000e+00
1.6502500000e-01   0.0000000000e+00
1.6600000000e-01   0.0000000000e+00
1.6697500000e-01   0.0000000000e+00
1.6795000000e-01   0.0000000000e+00
1.6892500000e-01   0.0000000000e+00
1.6990000000e-01   0.0000000000e+00
1.7087500000e-01   0.0000000000e+00
1.7185000000e-01   0.0000000000e+00
1.7282500000e-01   0.0000000000e+00
1.7380000000e-01   0.0000000000e+00
1.7477500000e-01   0.0000000000e+00
1.7575000000e-01   0.0000000000e+00
1.7672500000e-01   0.0000000000e+00
1.7770000000e-01   0.0000000000e+00
1.7867500000e-01   0.0000000000e+00
1.7965000000e-01   0.0000000000e+00
1.8062500000e-01   0.0000000000e+00
1.8160000000e-01   0.0000000000e+00
1.8257500000e-01   0.0000000000e+00
1.8355000000e-01   0.0000000000e+00
1.8452500000e-01   0.0000000000e+00
1.8550000000e-01   0.0000000000e+00
1.8647500000e-01   0.0000000000e+00
1.8745000000e-01   0.0000000000e+00
1.8842500000e-01   0.0000000000e+00
1.8940000000e-01   0.0000000000e+00
1.9037500000e-01   0.0000000000e+00
1.9135000000e-01   0.0000000000e+00
1.9232500000e-01   0.0000000000e+00
1.9330000000e-01   0.0000000000e+00
1.9427500000e-01   0.0000000000e+00
1.9525000000e-01   0.0000000000e+00
1.9622500000e-01   0.0000000000e+00
1.9720000000e-01   0.0000000000e+00
1.9817500000e-01   0.0000000000e+00
1.9915000000e-01   0.0000000000e+00
2.0012500000e-01   0.0000000000e+00
2.0110000000e-01   0.0000000000e+00
2.0207500000e-01   0.0000000000e+00
2.0305000000e-01   0.0000000000e+00
2.0402500000e-01   0.0000000000e+00
2.0500000000e-01   0.0000000000e+00
2.0597500000e-01   0.0000000000e+00
2.0695000000e-01   0.0000000000e+00
2.0792500000e-01   0.0000000000e+00
2.0890000000e-01   0.0000000000e+00
2.0987500000e-01   0.0000000000e+00
2.1085000000e-01   0.0000000000e+00
2.1182500000e-01   0.0000000000e+00
2.1280000000e-01   0.0000000000e+00
2.1377500000e-01   0.0000000000e+00
2.1475000000e-01   0.0000000000e+00
2.1572500000e-01   0.0000000000e+00
2.1670000000e-01   0.0000000000e+00
2.1767500000e-01   0.0000000000e+00
2.1865000000e-01   0.0000000000e+00
2.1962500000e-01   0.0000000000e+00
2.2060000000e-01   0.0000000000e+00
2.2157500000e-01   0.0000000000e+00
2.2255000000e-01   0.0000000000e+00
2.2352500000e-01   0.0000000000e+00
2.2450000000e-01   0.0000000000e+00
2.2547500000e-01   0.0000000000e+00
2.2645000000e-01   0.0000000000e+00
2.2742500000e-01   0.0000000000e+00
2.2840000000e-01   0.0000000000e+00
