X    Y
1.0000000000e+01   1.2129139766e-02
2.0000000000e+01   6.1578123598e-03
3.0000000000e+01   4.1257752863e-03
4.0000000000e+01   3.1020216464e-03
5.0000000000e+01   2.4853027643e-03
6.0000000000e+01   2.0731310624e-03
7.0000000000e+01   1.7782209200e-03
8.0000000000e+01   1.5567641465e-03
9.0000000000e+01   1.3843576287e-03
1.0000000000e+02   1.2463301803e-03
1.1000000000e+02   1.1333310667e-03
1.2000000000e+02   1.0391187034e-03
1.3000000000e+02   9.5936758742e-04
1.4000000000e+02   8.9098544454e-04
1.5000000000e+02   8.3170297192e-04
1.6000000000e+02   7.7981713886e-04
1.7000000000e+02   7.3402492803e-04
1.8000000000e+02   6.9331240435e-04
1.9000000000e+02   6.5687875973e-04
2.0000000000e+02   6.2408311049e-04
2.1000000000e+02   5.9440647391e-04
2.2000000000e+02   5.6742410085e-04
2.3000000000e+02   5.4278501659e-04
2.4000000000e+02   5.2019667014e-04
2.5000000000e+02   4.9941326330e-04
2.6000000000e+02   4.8022677004e-04
2.7000000000e+02   4.6245994927e-04
2.8000000000e+02   4.4596085334e-04
2.9000000000e+02   4.3059847160e-04
3.0000000000e+02   4.1625924426e-04
3.1000000000e+02   4.0284425049e-04
3.2000000000e+02   3.9026692314e-04
3.3000000000e+02   3.7845117870e-04
3.4000000000e+02   3.6732987686e-04
3.5000000000e+02   3.5684354406e-04
3.6000000000e+02   3.4693930947e-04
3.7000000000e+02   3.3757001350e-04
3.8000000000e+02   3.2869345687e-04
3.9000000000e+02   3.2027176515e-04
4.0000000000e+02   3.1227084856e-04
4.1000000000e+02   3.0465994079e-04
4.2000000000e+02   2.9741120358e-04
4.3000000000e+02   2.9049938650e-04
4.4000000000e+02   2.8390153308e-04
4.5000000000e+02   2.7759672609e-04
4.6000000000e+02   2.7156586603e-04
4.7000000000e+02   2.6579147788e-04
4.8000000000e+02   2.6025754195e-04
4.9000000000e+02   2.5494934551e-04
5.0000000000e+02   2.4985335217e-04
5.1000000000e+02   2.4495708659e-04
5.2000000000e+02   2.4024903252e-04
5.3000000000e+02   2.3571854239e-04
5.4000000000e+02   2.3135575692e-04
5.5000000000e+02   2.2715153346e-04
5.6000000000e+02   2.2309738207e-04
5.7000000000e+02   2.1918540831e-04
5.8000000000e+02   2.1540826189e-04
5.9000000000e+02   2.1175909058e-04
6.0000000000e+02   2.0823149878e-04
6.1000000000e+02   2.0481951004e-04
6.2000000000e+02   2.0151753331e-04
6.3000000000e+02   1.9832033238e-04
6.4000000000e+02   1.9522299813e-04
6.5000000000e+02   1.9222092342e-04
